页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5047396761338927,光光肚皮-HZZ,2024-06-20 17:43:47,透过纸面的虽只寥寥数字，但依然看着让人火冒三丈，那一年的“我们”是经受了什么样的考验#苦难辉煌# ,0,1,1,浙江,杭州,浙江,中国
2,5046908924202340,卧迪酿嘞,2024-06-19 09:25:17,每日一善 #阳光信用# #每日一善# 【指🦌不吞必hui】 把苦难辉煌的过去、日新月异的现在、光明宏大的未来贯通起来，在乱云飞渡中把牢正确方向，在风险挑战面前砥砺胆识，激发为实现中华民族伟大复兴而奋斗的信心和动力，风雨无阻，坚毅前行。一个人的宽容，来自一颗善待他人的心。一个人的涵养，来自一颗包容的心。一个人的高度，来自一颗豁达的心。吃些亏又何妨，让他三分又如何。人人都需要被尊重，人人都渴望被理解。水深不语，人稳不言。学会淡下性子，学会忍住怒气面对不满。,0,18,17,天津,,天津,中国
2,5046571039983663,云听APP,2024-06-18 11:02:39,#再看我国首颗氢弹爆炸成功依然热血#  五十七年前，我国自主设计制造的氢弹成功爆炸，仅用两年八个月就从第一颗原子弹发展到第一颗氢弹，成为世界第四个掌握氢弹技术的国家。想了解更多关于这段历史的故事吗？点击评论区链接，在《军工记忆》里聆听那段苦难辉煌。 ,0,1,3,,,美国,美国
2,5045962297053413,Y十四划生Y,2024-06-16 18:43:44,小日子？大人生？ 所谓苦难辉煌，大概是说：有些人因为不能舒舒服服过好小日子，反而慢慢成就了丰功伟绩。正所谓“生于忧患，死于安乐”。 ,0,0,0,云南,昆明,云南,中国
2,5045190413254680,兰斌强,2024-06-14 15:36:31,【推荐《民艺》杂志社社长刘加民的新诗】中国文学外国奖仰视时代分外香如今进入新时代重新评价很正常苦难辉煌廿世纪改天换地慨而慷高歌猛进复兴路文化战士喜欲狂只有谟业戴墨镜只见黑暗不见光时代列车加速度立场不稳甩路旁西方政客觅知音一拍即合给封赏鼓励引导费心机文化渗透里边藏苏联亡党又亡国理想信念都泡汤莫用真话打掩护蜣螂真话史珍香文学艺术非小事振奋精神第一桩成大事者双司令文艺也是机关枪围绕核心和大局齐心协力志如钢中华民族有志气文明之巅放光芒华夏儿女心里明幸福要靠共产党吹毛求疵不管用睚眦必报小肚肠站在高处放眼看廿一世纪看东方,10,7,57,湖北,武汉,湖北,中国
2,5045437763683238,一个资深肥宅妞爸,2024-06-15 07:59:25,一个霸权的虚幻的气泡被戳破了，这才是胡塞武装袭击美国航母最大的意义。 金一南 苦难辉煌 #金一南#    美国航母被袭？金一南最新分析评论 ,2,1,3,北京,北京,北京,中国
2,5045160903971981,Edi文,2024-06-14 13:39:17,下雨，凉快，看书，还书，在图书馆管理员的帮助下找到一直没找到的书，骑车，买西瓜，回家继续看书，爽歪歪！#下雨天骑车##苦难辉煌# ,0,0,1,辽宁,沈阳,辽宁,中国
2,5045124365552170,给我糖就走,2024-06-14 11:14:05,任何民族都需要自己的英雄。真正的英雄具有那种深刻的悲剧意味：播种，但不参与收获。         这就是民族的脊梁。                                          —《苦难辉煌》金一南  #股票#a股# 致我们欣欣向荣的市场和体制 ,1,0,1,北京,,北京,中国
2,5044382040067570,剑下诗书,2024-06-12 10:04:21,#生活手记#很好的人生，苦难辉煌 ,0,0,1,广东,广州,广东,中国
2,5044365066504396,豆芽的野妈妈,2024-06-12 08:56:54,#摘抄# 朱德保留南昌起义的火种——金一南《苦难辉煌》为了反抗国民党的屠杀政策，从1927年4月中旬的海陆丰农民起义开始，中国共产党人先后发动广80余次武装起义。历次起义——包括规模最大、影响最大的南昌起义——都失败了。但因为保留下来了革命火种，它们又没有失败。保留火种的工作，首推朱德。在最困难、最无望因而也最容易动摇的时刻表现出磐石一般的革命坚定性，使朱德成为这支部队无可争议的领袖。仅存的两位团职干部一团级政治指导员陈毅、团参谋长王尔琢成为他的主要助手。部队被改编为一个纵队。朱德任纵队司令员，陈毅任纵队政治指导员，王尔琢任纵队参谋长。下编一个士兵支队，辖三个步兵大队；还有一个特务大队。剩下一门82迫击炮，两挺手提机关枪，两挺重机关枪合编为一个机炮大队。多余下来的军官编成一个教导队，直属纵队部，共计800人。这就是全部家底。可以想象在当时条件下，天心圩留下来的这800人队伍中，没有几人能想到共产党人22年后百万雄师过大江夺取全国政权。但每一个自愿留下来的人，内心深处都从朱德、陈毅、王尔琢身上感受到了共产主义一定胜利的信念。这800人后来成为中国人民解放军建军的重要基础、战斗力的核心。蒋介石兵败大陆，其军事力量主要被歼于东北战场和华东战场。指挥东北野战军的林彪，指挥华东野战军的陈毅、粟裕，1927年10月，皆站在天心圩被朱德稳定下来的800人队伍中。1955年人民解放军授衔，朱德名列十大元帅之首。天心圩离队的师长周士第授衔上将，他手下的七十三团三营七连连长林彪名列十大元帅之三，七十三团政治指导员陈毅名列十大元帅之六，七十四团班长粟裕名列十大将之首。《中国人民解放军战史》评价说，这支队伍在极端困难的情况下能够保存下来，朱德、陈毅“为中国革命事业做出了重大贡献”。没有朱德，南昌起义的最后火种能够保留下来吗？没有三河坝分兵，朱德也跟着南下潮汕，又会是什么结局？历史中确实有很多东西难以预测。当年四散撤退的南昌起义领导人，哪一个能够想到，起义过程中并未担负主要领导、不是担任开路就是担任殿后的朱德，最后竟然是他收拢南昌起义残部坚持斗争，从而成为中国人民解放军的第一军人一中国工农红军总司令、中国人民解放军总司令。历史又正因为不可预测，所以才充满机会。,0,0,0,辽宁,大连,辽宁,中国
