页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5038666577874937,奶一口玲玲,2024-05-27 15:33:09,#阅享盛世书香共建文化校园# 在阅读的灯光下，感受生活的温暖与美好，让我们与书为伴，共同度过每一个美好时刻！💡📚 阅享盛世书香，共建文化校园阅读书籍：《红星照耀中国》阅读时间：2024年5月27日好词好句：“这是不言而喻的，因为最优先的先锋队也这能表达几万人的意识、意志、热情和想象;而革命却是在人的一切才能特别高度和集中地表现出来的时候，由千百万被最尖锐的阶级斗争所激励的人的意识、意志、热情和想象来实现的。”,0,0,0,广西,崇左,广西,中国
2,5036429130604300,闲谈静思,2024-05-21 11:22:20,毛主席语录欣赏：“要造就一大批人，这些人是革命的先锋队。这些人具有政治远见。这些人充满着斗争精神和牺牲精神。这些人是胸怀坦白的，忠诚的，积极的与正直的。这些人不谋私利，唯一的为着民族和社会的解放。这些人不怕困难，在困难面前总是坚定的，勇敢向前的。这些人不是狂妄分子，也不是风头主义者，而是脚踏实地富于实际精神的人们。中国要有一大群这样的先锋分子，中国革命的任务就能够顺利的解决。”这是 1937年10月23日，毛主席为陕北公学的题词。,0,0,0,西藏,山南,西藏,中国
2,5034768736982820,石木云1,2024-05-16 21:24:31,"托洛茨基主义是反革命资产阶级的先锋队。正因为如此，对托洛茨基主义，哪怕是对已被击溃的和暗藏的托洛茨基主义采取自由主义态度就是糊涂到近乎犯罪，近乎背叛工人阶级。                                 ——斯大林：《论布尔什维主义历史中的几个问题》,《列宁主义问题》，第435页。《斯大林全集》第13卷，第89页。",0,0,9,内蒙古,鄂尔多斯,内蒙古,中国
2,5033767779959014,3763554674_666,2024-05-14 03:07:04,‘五四’以来，中国青年们起了什么作用呢？起了某种先锋队的作用，这是全国除开顽固分子以外，一切的人都承认的。什么叫做先锋队的作用？就是带头作用，就是站在革命队伍的前头。”——节选自1939年5月4日在延安青年群众举行的五四运动二十周年纪念会上的讲演“在北京参加五四运动的青年，是真正的模范青年，因为他们反对卖国政府，在五四运动中流了血，参加了那样的斗争。这些青年是革命的先锋队，为了中华民族的解放、独立、自由、幸福，进行了那样的斗争，英勇得很。”——节选自1939年5月30日在延安庆贺模范青年大会上的讲话　“数十年来，中国已出现了一个很大的知识分子群和青年学生群。……他们在现阶段的中国革命中常常起着先锋的和桥梁的作用。”——节选自1939年12月发表的《中国革命和中国共产党》“工农青年、知识青年和部队中的青年，他们英勇积极，很有纪律，没有他们，革命事业和建设事业就不能胜利。”——节选自1953年6月接见青年团二大主席团时的指示“青年是整个社会力量中的一部分最积极最有生气的力量。他们最肯学习，最少保守思想，在社会主义时期尤其是这样。”——节选自1959年为《中山县新平乡第九农业生产合作社的青年突击队》一文写的按语　“每个青年现在必须和过去不同，一定要下一个大决心，把全国的青年团结起来，把全国的人民组织起来，一定要把日本帝国主义打倒，一定要把旧中国改造为新中国。这就是我所希望于你们的。”——节选自1939年5月4日在延安青年群众举行的五四运动二十周年纪念会上的讲演　“世界是属于你们的。中国的前途是属于你们的。”——节选自1957年11月17日在莫斯科大学会见中国留学生时的讲话　“世界是青年的，长江后浪催前浪，譬如积薪、后来居上。”——节选自1958年5月8日在中共八大二次会议上的讲话青年人“生力旺盛，迷信较少，顾虑少，天不怕、地不怕，敢想敢说敢干。如果党再对他们加以鼓励，不怕失败，不泼冷水，承认世界主要是他们的，那就是会有很多的发明创造。”——节选自《毛主席读文史古籍批语集》“首先是学一个政治方向。政治方向可以有许多不同的方向，你们要学一个正确的政治方向，这就是要打日本、怎样打日本、为什么日本帝国主义一定能打倒的正确的政治方向。”——节选自1938年4月9日在延安抗日军政大学第四期第三大队开学典礼上的讲话模范青年“在政治上要有一个正确的方向，但是光有这个正确的政治方向是不够的，过了三年五年，就把它丢了，那还不是枉然？所以，有了正确的政治方向后，还要坚定，就是说，要有‘坚定正确的政治方向’。这个方向是不可动摇的，要有‘富贵不能淫，贫贱不能移，威武不能屈’的骨气来坚持这个方向。这样的青年，才是真正的模范青年。这样的道德，才算是真正的政治道德”。——节选自1939年5月30日在延安庆贺模范青年大会上的讲话“不论是知识分子，还是青年学生，都应该努力学习。除了学习专业之外，在思想上要有所进步，政治上也要有所进步，这就需要学习马克思主义，学习时事政治。没有正确的政治观点，就等于没有灵魂。”——节选自1957年2月27日在最高国务会议第十一次（扩大）会议上的讲话“从古以来，发明家在开始都是年轻的，学问比较少的，被人看不起的，被压迫的。为什么这些人能变成发明家？这是因为他们的方向对。学问再多，方向不对，等于无用。”——节选自1958年5月8日在中共八大二次会议上的讲话“同学们毕业后，要更努力地工作。一方面不要偷懒，这个机会主义的倾向是要不得的，我们应该积极工作，艰苦奋斗。另一方面，我们也要反对急性病，那种一天就要胜利的心理也要铲除。”——节选自1938年3月3日对陕北公学毕业同学的临别赠言　“中国的青年运动有很好的革命传统，这个传统就是‘永久奋斗’。我们共产党是继承这个传统的，现在传下来了，以后更要继续传下去。”——节选自1939年5月30日在延安庆贺模范青年大会上的讲话“什么是模范青年？就是要有永久奋斗这一条。其他的当然也要有，如刚才冯文彬同志讲过的智育、德育、体育、美育、群育等等，但据我看来，‘永久奋斗’才是最主要的一条，没有这一条，什么都是空的。”——节选自1939年5月30日在延安庆贺模范青年大会上的讲话“要使全体青年们懂得，我们的国家现在还是一个很穷的国家，并且不可能在短时间内根本改变这种状态，全靠青年和全体人民在几十年时间内，团结奋斗，用自己的双手创造出一个富强的国家。社会主义制度的建立给我们开辟了一条到达理想境界的道路，而理想境界的实现还要靠我们的辛勤劳动。”——节选自1957年2月27日在最高国务会议第十一次（扩大）会议上的讲话“十四岁到二十五岁的青年们，要学习，要工作，但青年时期是长身体的时期，如果对青年长身体不重视，那很危险。……我给青年们讲几句话：一、祝贺他们身体好；二、祝贺他们学习好；三、祝贺他们工作好。”——节选自1953年6月30日接见中国新民主主义青年团第二次全国代表大会主席团的谈话“我只给你们讲三句：第一，青年人既要勇敢又要谦虚；第二，祝你们身体好、学习好、将来工作好；第三，和苏联朋友要亲密团结。”——节选自1957年11月17日在莫斯科大学会见中国留学生时的讲话“看一个青年是不是革命的，拿什么做标准呢？拿什么去辨别他呢？只有一个标准，这就是看他愿意不愿意、并且实行不实行和广大的工农群众结合在一块。愿意并且实行和工农结合的，是革命的。”——节选自1939年5月4日在延安青年群众举行的五四运动二十周年纪念会上的讲演“中国的知识青年们和学生青年们，一定要到工农群众中去，把占全国人口百分之九十的工农大众，动员起来，组织起来。没有工农这个主力军，单靠知识青年和学生青年这支军队，要达到反帝反封建的胜利，是做不到的。所以全国知识青年和学生青年一定要和广大的工农群众结合在一块，和他们变成一体，才能形成一支强有力的军队。”——节选自1939年5月4日在延安青年群众举行的五四运动二十周年纪念会上的讲演“你们的前途是光明的，你们要代表全国大多数的老百姓，代表一切爱国的人，抗日的人，求中国独立、自由、幸福的人，并且是要永远的代表他们。”——节选自1939年5月30日在延安庆贺模范青年大会上的讲话“要造就一大批人，这些人是革命的先锋队。这些人具有政治远见。这些人充满着斗争精神和牺牲精神。这些人是胸怀坦白的，忠诚的，积极的，与正直的。这些人不谋私利，唯一的为着民族与社会的解放。这些人不怕困难，在困难面前总是坚定的，勇敢向前的。这些人不是狂妄分子，也不是风头主义者，而是脚踏实地富于实际精神的人们。中国要有一大群这样的先锋分子，中国革命的任务就能够顺利的解决。”——节选自1937年10月23日为陕北公学成立写的题词“我看你们都是没有胡须的，没有胡须的人名之曰青年，青年人是有勇气的，但你们要到长了胡须的时候（自然女同志是不会生胡须的），到老到死，都不动摇，不退缩。革命的过程，像在波涛汹涌的江河中行船，怯懦者常常会动摇起来，不知所措。在革命的大浪潮中遇到困难便动摇退缩的人在历史上是有的，希望你们中间没有这样的人，你们要为中华民族的解放，为建设新中国而永不退缩，勇往直前。”——节选自1938年4月9日在延安抗日军政大学第四期第三大队开学典礼上的讲话,0,0,0,广东,东莞,广东,中国
2,5029951939545861,凌晨12点的猫,2024-05-03 14:24:17,我发现交通处长李克农﹣﹣戴着厚玻璃的近视眼镜﹣﹣在嘲笑我。他扯扯我的袖管，对我说：&quot;你可以叫他'小鬼'，或者可以叫他同志，可是，你不能叫'喂'。这里什么人都是同志。这些孩子是少年先锋队队员，他们是革命的儿童，所以自愿到这里来帮助我们。他们不是奴仆。他们是未来的红色战士。&quot;这个时候，冷水来了。&quot;谢谢你，同志！&quot;我很抱歉地说。那个少年先锋队队员勇敢地看着我。&quot;不要紧，&quot;他说，&quot;你不要为了这种事情感谢一位同志！&quot;——《红星照耀中国》,0,0,0,北京,,北京,中国
2,5029632822741840,用户6069701214,2024-05-02 17:16:14,七岁半的入党仪式 和我妈一起宣的誓，那时候还觉得自己像革命烈士一样，17岁的时候加入共青团，感觉自己像青年先锋队一样，虽然我还是不知道入党的确切时间，但总感觉我是预备党员。 绿洲 ,0,0,0,四川,宜宾,四川,中国
2,5028857575375684,不会游泳的虫V5,2024-04-30 13:55:40,一般历史，特别是革命的历史，总是比最优秀的政党、最先进阶级的最觉悟的先锋队所想象的更富有内容，更多种多样，更生动活泼，更巧妙。这是不言而喻的，因为最优秀的先锋队也只能表达几万人的意识、意志、热情和想象；而革命却是在人的一切才能特别高度集中地表现出来的时候，由千百万被最尖锐的阶级斗争所激励的人的意识、意志、热情和想象来实现的。——列宁,0,0,0,湖南,益阳,湖南,中国
2,5027006599924775,游北君,2024-04-25 11:20:33,果然无论在哪里，学生都是革命运动先锋队啊，看了看时间，快五四了//@幕后BOSS安妮罗洁:当地但凡有个美国驻纽约总领事馆…//@强盗豺狼全埋葬:再说一次，没有“我们的媒体”这种东西//@下水了吗:我们的有些媒体呢,43,3,23,北京,北京,北京,中国
2,5026419434849104,_1218陈,2024-04-23 20:27:22,#SASU读书正好时#  @四川文理学院学生会 因为最优秀的先锋队也只能表现几万人的意识、意志、热情和想象，而革命却是在人的一切才能特别高度和集中地表现出来的时候，有千百万被最尖锐的阶级斗争所激励的人的意识、意志、热情和想象来实现的。 ,0,0,4,四川,达州,四川,中国
3,5026004311212823,江淮晨报,2024-04-22 16:57:49,【开国少将李书全亲属在安徽六安捐赠多件革命文物】4月16日，六安市在皖西宾馆举行开国少将李书全革命文物捐赠仪式。现场，李书全的子女共捐赠了27件（套）革命文物和59张生前影像资料。李书全，今六安市金安区人。1929 年参加少年先锋队，同年参加六霍农民起义。1930 年参加中国工农红军。1931年加入中国共青团。1934年由团员转为中共党员。先后参加了土地革命、抗日战争、解放战争。新中国成立后，李书全历任西北军区炮兵政治部主任，济南军区炮兵政委。山东省第四届政协常委。1955 年被授予少将军衔。荣获二级八一勋章、二级独立勋章、二级解放勋章。1986年10 月，李书全在济南病逝。仪式现场，李书全的子女向大别山革命历史纪念馆无偿捐赠了父亲的二级八一勋章、二级解放勋章、人民功臣章、少将军衔任命书、军装、印章、部分手稿等27件（套）革命文物和59张生前影像资料。（合肥通客户端-合报全媒体记者 任海怡）图片：捐赠物品一览,0,0,1,,合肥,安徽,中国
