页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048021528349656,皮猴小百合,2024-06-22 11:06:23,切·格瓦拉为何注定失败？#皮猴小百合##切格瓦拉# 革命需要什么？首先，得需要军队。枪杆子里出政权，没有军队，搞不了暴力革命。英国所谓的“光荣革命”，号称一滴血也没流，那也是有军队托底。第二，得有革命信仰。没有信仰的革命队伍，那就是一群乌合之众。队伍有信仰，行动有力量，革命才有希望。第三，得有周密的行动计划。细节决定成败，这句话永远都是真理，干革命这种脑袋别裤腰带上的营生，更是如此。第四，得有人民群众的支持。革命需要用政治宣传，团结一切可以团结的力量，才能有源源不断的资源补给。《让子弹飞》表达得很清楚，有鹅城百姓支持，你就是县长马邦德，没鹅城百姓支持，你就是麻匪张麻子。最后，那就是最重要的——实事求是、因地制宜。一方水土养一方人，一个地方有一个地方的情况。没有深入了解当地的情况，就硬拿他国的革命成功经验往上套。这样做的后果，轻者水土不服走弯路，重者兵败身死走绝路。切·格瓦拉就是这样的典型例子。鉴于网上已经有很多成功的大UP讲了他的生平，那不成功的我，就从另一个角度给大家分析下，这位国际共产主义革命家，是为何失败的。 皮猴小百合的微博视频,2,1,3,天津,天津,天津,中国
2,5047965305013668,九七五三一onetwothreefour,2024-06-22 07:22:58,清廉网6月22日公布：习近平主席6月17日至19日在陕西延安召开中央军委政治工作会议。强调：要坚持党对军队绝对领导，贯彻落实新时代政治建军方略，牢牢把握政治建军时代要求，聚焦打好实现建军100年奋斗目标攻坚战。要发扬彻底的自我革命精神，持续深化政治整训，锻造政治坚定.能力过硬的坚强党组织，锻造忠诚干净担当.堪当强军重任的高素质干部队伍，为强军事业提供坚强政治保证。党的18大以来，党中央果断决策，召开古田全军政治会议，以整风精神推进政治整训，坚定不移全面从严治党.全面从严治军，决心之大前所未有.力度之大前所未有，新时代政治建军取得了历史性成就。如果没有政治上的革命性锻造，就不可能有新时代人民军队的伟大变革。当前.世情.国情.党情.军情都在发生复杂深刻变化，我军在政治上.面临的考验错综复杂。要牢牢把握政治建军时代要求，一刻不停推进政治建军，确保人民军队永葆性质宗旨，始终敢打必胜.始终团结奋斗，始终人才辈出.始终纯洁光荣.始终法纪严明，在新时代的条件下，不断增强我军政治优势。这些问题主要表现在政治.思想.组织.作风.纪律等方面，根子在于理想信念.党性修养.官的人品上。各级党委特别是高级干部要把自己摆进来，拿出抛开面子.揭短亮丑的勇气，已深挖根源.触动灵魂的态度，深刻反思.认真整改，解决好思想根子问题，推动政治建军走深走实。新征程上，推进政治建军要抓好六个方面工作。一.增强思想改造的自觉性和彻底性。持续抓好党的创新理论武装，持续读原著.学原文.悟原理，坚持学思用贯通.知信行统一，坚持高级干部先受教育，推动好我军政治思想教育体系落地，立牢以实际成效检验学习成果的导向。二.提高党组织领导力.组织力.执行力。增强政治判断力.政治领悟力.政治执行力，提高抓备战打仗能力，把党的领导贯穿到备战打仗各领域和全过程。严格落实民主集中制，优化党委议事规则，加强重大决策咨询评估工作。强化党委书记管党治党的第一责任人责任。三.加强干部队伍建设。贯彻新时代党的组织路线，完整准确理解把握军队好干部标准，把这一标准全面落实到干部工作的各环节。改进干部的考核工作，提高知事.识人的穿透力.精准度。贯彻全链条抓建理念，要把将才的培养作为战略任务来抓，提高干部队伍建设整体效能。四.铲除腐败滋生的土壤条件。要坚持严的基调不动摇，标本兼治.系统施治，贯通压实党委的主体责任.纪委的监督责任.行业部门廉政主管责任，不断扩展反腐败斗争的深度广度。完善权力配置和运行制约机制，丰富惩治新型腐败和隐形腐败的工具箱，加强各级干部履职用权的全方位监管。五.提振干部创业精神状态。构建科学的政绩考核评估体系，实时动态更新形式主义.官僚主义问题清单，深入纠治＂五多＂为基层减负。打通军人待遇的保障等政策制度落实＂最后一公里＂，实实在在为基层解难帮困，增强官兵的获得感和归属感。六.恢复和弘扬政治工作优良传统。坚持实事求是.坚持身教胜于言教，各级特别是高级干部要以身作则.率先垂范，以过硬的作风和形象感召带动部队。推动政治建军，是全军共同的责任，军委要加强统一领导，军委政治工作部.纪检检查委员会.政治委员会要加强协调配合，各单位各部门要履职尽责，努力开创政治建军新局面，把我们党领导的这支英雄军队锻造的更加坚强，以优异的成绩迎接建军100周年。（中央政治委员.中央军委副主席张又侠.何卫东，中央军委委员刘振立.苗华.张升民出席会议。军委机关各部委.均为各直属机构.军委联指中心.各战区.各军兵种.军委各直属单位.武警部队主要负责同志等参加会议。在会议之前，17日下午，习近平主席带领军委一班人和各部门单位负责人瞻仰王家坪革命遗址，弘扬和传承红色基因，分别来到毛泽东，周恩来，朱德等开创中华人民共和国先烈纪念遗址，弘扬和缅怀他们为国为民服务的丰功伟绩…）（邸宝贵）发布,0,0,0,天津,,天津,中国
2,5047265095321761,吉林共青团,2024-06-20 09:00:35,习近平：如果没有政治上的革命性锻造，就不可能有新时代人民军队伟大变革。（央视新闻）  #中央军委政治工作会议在延安召开##吉团分享##贯彻落实新时代政治建军方略# 吉林共青团的微博视频 ,7,1,63,,长春,吉林,中国
2,5047812907605397,sssssssbdlzzz,2024-06-21 21:17:24,黄埔军校是以孙中山的“创造革命军队，来挽救中国的危亡”为宗旨；一方面积极进行孙中山的三民主义教育；一方面介绍马克思列宁主义的思想。,0,0,0,广东,深圳,广东,中国
2,5047647469831065,六安发布,2024-06-21 10:20:00,#红色六安# 【黄埔军校中的裕安人】黄埔军校是第一次国共合作的产物，是我国第一所培养革命军队干部的学校。致黄埔军校建校100周年之际向大家介绍一下黄埔军校中的4位裕安人。       杨溥泉（1900—1927），裕安区城南镇人。1920年秋，考取安庆安徽省立第一甲种工业学校。1924 年春，杨溥泉同许继慎一起去上海大学社会学系学习。1924年4月考入黄埔军校第一期，1924 年 11月，杨溥泉从黄埔军校第一期毕业，被派到教导一团当排长。1925 年2月，第一次东征时，任连党代表。同年 10月，第二次东征，在攻打惠州城时再立战功，旋即被调回黄埔军校任政治部组织科组织员。北伐战争期间，杨溥泉被派往国民革命军第四军某师担任营长。1927年7月下旬，叶挺、贺龙等部由九江开往南昌。8月1日，杨溥泉率所部参加南昌起义。5 日，起义军主动撤离南昌，沿赣东山地，经抚州、宜黄、广昌、石城，向南挺进。9月14日，起义部队进入广东境内，占领韩江上游大浦、松口、三河坝等地，前锋直指潮汕。9月 23日占领潮州，24 日占领汕头。起义军占领汕头后，周恩来即派杨溥泉率部分兵力到潮州，协助农民军打击地主民团。战斗中，杨溥泉不幸被枪弹击中，壮烈牺牲。时年27岁。       许继慎(1901-1931)，裕安区青山乡人，1920年考入安庆安徽省立第一甲种工业学校，次年转入省立第一师范学校。在校期间，积极参加反帝反封建的学生运动，被选为安徽省学联常委兼联络部部长，参与了安庆党团组织的创建活动。1923年4月加入社会主义青年团，同年转为中国共产党党员。1924年4月考入黄埔军校第一期。毕业后留校，先后担任新编教导第一团排长、连长，在两次东征战役中屡立战功。1926年7月，北伐战争开始。任国民革命军第四军叶挺独立团二营营长、参谋长，参加了强渡汨罗江，攻打平江、汀泗桥、贺胜桥等战斗。土地革命时期任中国工农红军第1军军长、鄂豫皖特委委员、红11师长。取得了东西香火岭大捷、独山大捷、双桥镇大捷等一系列胜利。1989年，许继慎被中央军委确定为中国人民解放军 33位军事家之一。2009年9月，许继慎入选100位为新中国成立作出突出贡献的英雄模范人物名录。       王逸常(1896-1986)，裕安区平桥乡。1921年加入共青团，1923年9月加入中国国民党，同年11月加入中国共产党。1924年春，考入黄埔军校第一期第一队学习，毕业后留校，历任军校政治部干事，中共黄埔军校第一期支部宣传委员、第二期支部候补干事，军校政治部组织科少校科员、代理政治部秘书，兼中国青年军人联合会秘书。1924年4月，任黄埔军校教导团第三营少校营党代表，国民革命军第一军第三师第一补充团中校团党代表，黄埔军校潮州分校政治部中校秘书，第一军政治部上校组织科长。1928年在上海党中央军事部工作，1929年任中共六安、霍山联合县委书记;1932年脱离中共，入国民党中央政治学校学习和任教。1935年任军事委员会北平分会政训处上校处员，东北军第五十三军政训处上校处长。抗日战争爆发后，历任保定行营政训处上校处长兼特别党部执行委员等职。1941年4月任第一战区司令长官部政治部少将副主任。1943年4月任军事委员会政治部少将部附。1946年退役，1947年8月授陆军少将，未出任军职，任重庆私立中学校长。1949年，转入重庆市人民政府干部文化学校任班主任。1962年，调任武汉市政府文史研究馆任馆员。       毛正初（1901—1931），原名毛本忠，1921年，考入芜湖安徽省立第二甲种农业学校。1923年，入芜湖私立求是中学，后转入安徽省立第五中学。1926年秋，考入黄埔军校第六期，同年参加中国共产党。1927年6月，毛正初受党组织派遣回六安开展革命活动。10月，根据中共六安特别区委员会决定，毛正初在家乡徐集以教书做掩护进行秘密活动。1928年秋，毛正初利用社会关系打入徐集民团，并担任队长，11月25日晚10点后，毛正初率领突击队包围了民团驻地老佛堂，在起义团丁接应下，一举占领民团团部，徐集民团起义获得成功，成立六安四区红军游击大队，毛正初任大队长。毛正初带领游击大队策应支援李野樵领导的江店民团起义，然后一同开至王桥子，成立了六安四区革命委员会，揭开了河西农民武装起义的序幕。1931年2月下旬，六安四区红军游击大队改编为游击师，毛正初任师长。不久又改称六安赤卫军总司令部，毛正初任司令。5月2 日夜，毛正初领导举行河西起义，连克火星、郭店、单王、丁集等地，使上自西两河口、下至马头集的淠河西岸广大地区连成一片完整的革命根据地。5月，毛正初任赤卫军总指挥兼县独立团团长，统率6个赤卫军团，计2.5万余人枪。同年夏，毛正初被任命为中共皖西北特委军事委员会常委。,0,0,0,,六安,安徽,中国
2,5047399963428904,以色列知行-小以哥,2024-06-20 17:56:30,‼️恐怖组织名单 加拿大把伊朗伊斯兰革命卫队列入了恐怖主义组织名单，将对其进行制裁。伊朗有两套军队体系，除了伊朗国家军队之外，还有伊斯兰革命卫队。这是1979年伊朗伊斯兰革命之后成立的，负责保卫最高宗教领袖、教士集团和革命成果。 ,10,15,105,北京,北京,北京,中国
2,5047396926490237,洪源,2024-06-20 17:44:26,【政治建军：党和军队生命线】恰逢百年未有之大变局、人民军队建军一百周年，人民军队从古田会议、延安整风一路走来，党指挥枪、牢牢把握党对军队绝对领导、自我革命就是人民军队从无到有、从小变大、由弱到强的秘籍法宝，现打造出各级新钢铁党组织，保证人民军队从胜利走向胜利！,16,6,46,北京,北京,北京,中国
2,5047357301332788,Ergouzarrrr,2024-06-20 15:06:59,#黄埔军校建校100周年# 1924年，孙中山先生将这样一副对联挂上黄埔军校的大门上：上联是“升官发财请往他处”，下联是“贪生怕死莫入此门”，横批为“革命者来”。从黄埔军校走出了许多优秀的共产党人，有“共和国大将”陈赓，有“少年英雄”卢德铭，有““布衣元帅”徐向前……他们不但是军队中的骨干，更是战场上的先锋，他们用青春与生命为中国革命史留下了光彩夺目的篇章。新时期青年要读懂“黄埔贺信”中的殷殷期许，从中“爱国、革命”的黄埔精神中汲取澎湃“奋进之力”，不忘先辈遗志，勇担时代重任。,0,0,3,四川,遂宁,四川,中国
2,5047309501728146,考研政治杨加宁,2024-06-20 11:57:02,#一起做个题# 本题应选C。领导人在贺信中指出，黄埔军校是第一次国共合作的产物，是我国第一所培养革命军队干部的学校。黄埔军校同学会是中国共产党领导下联系海内外黄埔同学及其亲属的爱国群众团体，（未完）考研杨加讲 #时事杨加讲# #决战考研#,0,0,2,北京,,北京,中国
2,5047260267939849,向海图强LSO飞鲨,2024-06-20 08:41:24,把我们党领导的英雄军队锻造得更加坚强我军在革命性锻造中浴火重生，在历史性重塑中强筋壮骨，在迎接风险挑战中向强进发，最根本的是靠习主席领航掌舵、靠习近平强军思想科学指引。实践充分证明，“两个确立”是推动党和国家事业取得历史性成就、发生历史性变革的决定性因素，是战胜一切艰难险阻、应对一切不确定性的最大确定性、最大底气、最大保证。,0,0,0,河北,沧州,河北,中国
