页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048487010107664,新的时候-,2024-06-23 17:56:02,阅读马拉松的第十六天：红色起点，是革命精神的摇篮，也是奋斗历程的见证。它如一面鲜艳的旗帜，引领我们勇往直前 ,0,0,0,四川,成都,四川,中国
2,5048475677626512,霖技术,2024-06-23 17:11:00,贺峻霖传承红色革命精神，争做时代优秀少年！感谢@精神的力量 邀请【正能量偶像】@时代少年团-贺峻霖 庆建党百年，忆红色初心，困苦中诞生，磨难中成长，百年风雨，百年历程，感悟党史，吾辈自强！ ,0,0,0,江苏,扬州,江苏,中国
2,5048442713276926,知识历史,2024-06-23 15:00:00,#知识历史# 《辛亥档案》全8集完整版，第一集风起云涌、第二集保路运动、第三集武昌起义、第四集袁氏出山、第五集南北议和、第六集清帝退位、第七集复辟闹剧、第八集孙中山最后的岁月揭秘、第九集黄埔军创校始末。《辛亥档案》以丰富翔实的史料档案，全景式地反映了辛亥革命波澜壮阔的伟大历程。小毅读历史的微博视频,27,2,22,江西,抚州,江西,中国
2,5048070792546364,长治市消防救援支队,2024-06-22 14:22:08,【#壶关县消防组织队员参观红色基地#】为进一步深化全体消防救援人员理想信念，教育引导全体消防救援人员向革命先辈学习，继承发扬优良革命传统，忠诚履行职责使命，6月21日，长治市壶关县消防救援大队组织队员参观红色基地，重温老一辈革命先辈的艰辛历程，传承红色精神。 ,11,6,16,,长治,山西,中国
2,5048020173588993,明光发布,2024-06-22 11:01:00,"【我市组织县级老干部赴滁州参观学习】6月19日，我市组织县级老干部赴滁州市老干部局党建共享基地参观学习。参观现场，老干部一行边听边看，了解老干部工作沿革，回顾党的光辉历程和中国共产党人的精神谱系。通过离退休干部党建工作掠影，深切体会广大老干部的革命初心和忧党爱国为民的情怀。参观学习前，老干部们还庄严宣读入党誓词,重温入党初心。通过参观学习，老干部们接受了一次深刻的党性教育和精神洗礼，大家纷纷表示，今后要始终保持离岗不离党、退休不褪色”的初心本色，继续发挥余热，为我市各项事业发展作出自己的贡献。",0,3,4,,滁州,安徽,中国
2,5047782186946261,北京奥运博物馆,2024-06-21 19:15:19,“七一”将至，为弘扬伟大建党精神，追溯红色记忆，传承五四精神，从党的百年伟大奋斗历程中汲取前进的智慧和力量，激发青年干部更加奋发有为地推动奥博各项事业高质量发展，6月19日下午，北京奥运博物馆青年理论学习小组全体成员赴北大红楼（中国共产党早期北京革命活动纪念馆）参观学习。#北京奥运博物馆# 详见：赓续红色血脉凝聚青春力量——北京奥运博物馆青年干部赴北大红楼参观学习 赓续红色血脉凝聚青春力量——北京奥运博物馆青年干部赴北大红楼参观,0,0,1,,北京,北京,中国
2,5047658597318883,廉洁青白江,2024-06-21 11:04:12,【保护和运用好红色资源】回望过往历程，眺望前方征途，我们必须保护和运用好红色资源，用党的奋斗历程和伟大成就鼓舞斗志、指引方向，用党的光荣传统和优良作风坚定信念、凝聚力量，用党的历史经验和实践创造启迪智慧、砥砺品格，努力创造不负革命先辈期望、无愧于历史和人民的新业绩。网页链接,0,0,0,,成都,四川,中国
2,5047657590685851,欧洲大地,2024-06-21 11:00:12,#奥迪A8L与时间同行# 和刘德华一样历久弥新坚持突破的奥迪A8L已经走过了三十多年的历程。这款车自1994年问世以来，坚持着奥迪品牌百年传承的认真打磨精神。第一代A8L搭载了革命性的ASF轻量化全铝车身，1997年引入了quattro全时四驱系统。2000年首次使用W12发动机，开创了新的技术高度。随后每一代A8都以智能科技和豪华体验继续引领行业。奥迪A8L的发展不仅是技术的快速迭代，更是稳定和可靠的体现。每一代车型的创新，都离不开奥迪对细节的专注和对品质的坚持。三十年的积淀，奥迪始终是时间的见证者和科技的先锋。,1,0,3,,,,
2,5047641056740399,热剧贩卖馆,2024-06-21 09:54:31,由中央电视台精心打造的大型历史剧《换了人间》，聚焦重大革命历程，祈愿中俄深厚情谊永恒长存！[花束][花束][花束] #历史# 热剧贩卖馆的微博视频 ,0,0,0,北京,北京,北京,中国
2,5047621160799692,天津和平,2024-06-21 08:35:28,【“使命之源”红色线路4.0版上线！】近代历史看天津。百年之前，五四爱国运动的热血火种席卷津城，自此，天津紧紧追随中国革命的脚步，在中国共产党的带领下，走上了国家富强、民族振兴、人民幸福的康庄大道。回首光辉历程，有天津英雄儿女留下的足印；热血津沽大地，涌现出无数可歌可泣的故事。   今年是中国共产党建党103周年，为深入学习贯彻习近平总书记视察天津重要讲话精神，由和平区融媒体中心、融美公司共同开发的“使命之源”红色线路4.0版正式上线，邀请广大党员干部开启一段“时空穿越”之旅，以“沉浸式、体验式、全媒体”的方式走进和平区各大红色文旅景点，追寻红色记忆，感受积淀百年的红色根脉，体会天津独具特色的红色文化底蕴。    在“使命之源”红色线路4.0版中↓各位游客将来到利顺德大饭店，参观天津利顺德博物馆和利顺德名人房，感受近代中国看天津，百年天津看和平的历史变迁，观看由融美公司自编自导自演的红色微话剧《信仰》；↓随后来到毛泽东主席曾下榻过的润园，感受伟人风采，并参观《前进，沿着光辉的足迹！——毛泽东和天津人民在一起》展览。自2021年起，和平区融媒体中心、融美公司以红色资源为依托，开辟了“使命之源”红色旅游线路，自编自导自演了4部红色微话剧。这条新的红色旅游线路途经多处红色旧址，以“沉浸式、体验式、全媒体”为理念，让游客既能参观红色旧址，又能观赏红色微话剧、聆听主题党课。同时，线上渠道还开辟“享走使命路”打卡活动，京津冀地区的游客通过关注天津和平微信公众号，可在游览红色旧址时同步打卡，赢取红色明信片、纪念章、书籍等文创纪念品。截至目前，这条新的红色旅游线路已吸引超10万人次参观游览。,3,3,3,,天津,天津,中国
