页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5046385749531048,飞跭小星,2024-06-17 22:46:23,【《寻路》刘岳版陈赓大变装革命剧注入新鲜活力】近日，史诗性巨制《寻路》登陆央视一套黄金档，该剧是金牌编剧王朝柱继《长征》、《解放》、《辛亥革命》之后的又一重大革命历史题材电视剧，获得了观众的极大关注。 ,0,0,0,广西,,广西,中国
2,5046342177522128,冰吸线性代餐拿铁,2024-06-17 19:53:13,一想起你产两个人，从革命走出来的两个人（黑鸟），从es1走向es2的两个人（link）都是你们两个，真不知道是像史诗还是童话一样不可思议又美妙的故事... ,0,0,0,吉林,长春,吉林,中国
2,5046280415348580,北京音乐广播,2024-06-17 15:47:49,一段青春、一腔热血、一种信仰、一世忠诚。文旅史诗#长征第一渡# 主题歌曲《从此》，由作词人、编剧喻江作词，著名作曲家舒楠作曲，青年女高音龚爽演唱，带观众重返那段充满离别与希望的革命岁月。 北京音乐广播的微博视频 ,2,0,0,,北京,北京,中国
2,5046061743999373,燃爆视界,2024-06-17 01:18:54,野性力量觉醒，猿族领袖震撼逆袭，引领同类冲破牢笼束缚#史诗剧情#动物传奇#猩球革命# 燃爆视界的微博视频 ,0,4,0,北京,北京,北京,中国
2,5045466544474374,森屿与暖树z,2024-06-15 09:53:47,瞻仰革命先烈、追寻红色足迹、体验红色研学……，清明节来临之际，红色研学活动持续升温。爱国教育读物中国红军西路军连环画《血战河西》一套10册精装 该套连环画以中国工农红军西路军征战河西历史事实为题材，全景式再现了红西路军恢宏震撼的史诗场景和悲壮历程。 该书淡化说教传统和政治色彩，突出历史的真实性和艺术性。 出    版：连环画出版社 发    行：连环画出版社,0,0,1,甘肃,张掖,甘肃,中国
2,5044540060468711,情系沃水,2024-06-12 20:32:16,   1964年的大型音乐舞蹈史诗《东方红》缘何没写“八·一”南昌起义？　　“八·一”南昌起义，是中国人民有了自己的武装力量的标志。因此，它被定为我军的建军节。要写当代中国的革命历史，不提“八·一”南昌起义，当然是不可思议的事情。　　然而，被称之为中国当代革命历史形象教材的音乐舞蹈史诗《东方红》，写了那么多的当代革命历史事件，那么多的场面，那么多的歌舞，却惟独没有“八·一”南昌起义，没有中国人民解放军建军节。从头到尾，只字未提。　　这究竟是怎么一回事呢？　　事情还需要从头说起。由周恩来总理提议并亲自在全国范围内调兵遣将，组织了浩大的创演队伍，于１９６４年８月１２日开始了音乐舞蹈史诗《东方红》大歌舞这一载入中国文化史册的浩大文化工程，仅用了五十来天就完成了。　　可以说，国家总理周恩来，是这个文化工程的总策划、总导演。他几乎每天在忙完了一天的国务之后，于深夜一两点钟就来到《东方红》大歌舞剧组，和编导们一起讨论这项文化工程。大到指导思想，小到具体词曲，他都亲自参与。　　按照常识，这样的艺术史诗，必然要写到“八·一”南昌起义。事实上，创编班子最初的动议，也要写“八·一”南昌起义。但是，这个动议，被周恩来否定了。不写“八·一”南昌起义，当然地就不成其为完整的当代革命历史。所以，有些创编人员，还是想把“八·一”南昌起义列为音乐舞蹈史诗《东方红》的一章。特别是部队的同志，坚持要在史诗中表现这一重大的历史事件，并当着周恩来的面提出了他们的主张。这件事，再一次被周恩来否定。周恩来指出，这部革命史诗，一定要突出表现毛泽东对当代革命的正确领导和卓越贡献。就这样，在音乐舞蹈史诗《东方红》当中，最终没有出现“八·一”南昌起义的内容。　　周恩来为什么坚持不同意在音乐舞蹈史诗《东方红》中出现“八·一”南昌起义的场面呢？其实，稍微有点革命历史知识的人，都会能意识到周恩来的初衷。因为，“八·一”南昌起义是周恩来亲自指挥的一次革命斗争，要写“八·一”南昌起义，必然要涉及到周恩来的指挥和功勋，甚至出现周恩来的艺术形象。周恩来所以坚持不同意，就是为了避免宣传自己。这件事，充分地表现出了周恩来谦虚谨慎、甘当无名英雄的高尚风格。    另外，原先还有一部分表演抗美援朝的舞蹈毛主席也建议删掉，他说建国后的事情就让后来的人去写吧。　,0,0,0,北京,,北京,中国
2,5044155221019397,玳瑁色山猫,2024-06-11 19:03:03,#阳光信用 每日一善#阳光信用阳光信用新中国70年，何等波澜壮阔，何等辉煌灿烂！历经革命、建设和改革，中国取得了震撼世界的巨大成就，中国人民写下了感天动地的奋斗史诗，广大中华儿女怀着无比的自信迈向未来。时至新中国成立70周年，让我们一起表白祖国，为祖国“庆生”。 #阳光信用#,0,0,1,广东,梅州,广东,中国
2,5043528680081901,玫绿绿,2024-06-10 01:33:24,12年伦敦奥运开幕 一场工业化史诗序幕。圈地运动工业革命妇女运动科幻童话的叙述，太美了太美了 ,0,0,0,河南,郑州,河南,中国
2,5043107105867332,-從蕶開始-,2024-06-08 21:38:13,刘之冰【战争史诗电影《黄埔军人》官宣定档6月16日首映礼在广州中山纪念堂举行】跨越百年再现革命初心 ,1,0,4,辽宁,丹东,辽宁,中国
2,5043008128420108,香山革命纪念馆,2024-06-08 15:04:55,【毛泽东诗词中的史诗合一】 #香山革命纪念馆#,0,0,0,,,北京,中国
