页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4840161723300829,葵花展览馆,2022-11-26 21:05:43,没有革命是能在明哲保身的守则下进行的，这世上没有不流血的革命，前人不都说了？ ,0,0,0,上海,上海,上海,中国
2,4806724886463489,青浦组工,2022-08-26 14:39:40,#喜迎二十大# 为深入推动党史学习教育成果，进一步坚定党员理想信念，赓续红色记忆，近日，区级机关工作党委和区检察院机关党委联合举办“传承红色基因 筑牢信仰之魂”规范守则教育实践活动。通过沉浸式走访陈云纪念馆，实地探寻革命先辈的光辉历史，引导新老党员从中汲取继续前进的智慧和力量。 ,0,0,0,,上海,上海,中国
2,4799447563502046,M羽衣甘蓝M,2022-08-06 12:42:10,#驻马店疫情##泌阳疫情#我不清楚具体情况如何，我只想提醒： 请为官者牢记“为人民服务”五个大字，这不仅仅是一句话，这是革命先辈们，用生命和血汗为后人定下的守则和对百姓的承诺，请不要愧对先辈们、百姓们的殷切期望！也请不要做任何侮辱这崇高思想的事情！拜托了 ,0,1,31,河南,驻马店,河南,中国
2,4783474215749781,修行的猫V,2022-06-23 10:49:48,《情绪革命》一书中说，情绪生病比身体生病更可怕。长期身处负能量磁场中，对健康会有诸多危害。作家何权峰曾在书中讲过一个故事：一位知名大学心脏学系主任心脏病发作，病情十分严重。在经历濒死的绝境后，他审视自己的人生，总结出了两条生活守则：守则一，别为芝麻小事耗力气；守则二，所有事情都是芝麻小事。这两条守则不是什么保健养生秘诀，却胜过任何医学良方。有一个专有名词，叫“癌症性格”。现代医学发现，长期处于焦虑、恐惧、悲哀等情绪中，这些坏情绪会以一种慢性的持续性的刺激来影响和降低机体的免疫力，增加癌症的发生率。心无挂碍，百病不生。在生活中，我们应该成为情绪的主人，及时清掉垃圾情绪种下的毒。遇到工作的困顿，要及时解开心中的郁结，面对生活的压力，要懂得排遣内心的焦虑。以一颗欢喜心看淡生活起伏，不大悲、不大怒、不内耗，身心宽一尺，病自会退一丈。#真的不建议手机电量耗尽再充电##生活感会逐渐流失吗##读书#读书,13,0,12,河南,郑州,河南,中国
2,4776332108763271,隆胸医院,2022-06-03 17:49:37,"【十大防晒守则】①11:00 am-16:00 平m尽量不要外出②每天涂抹防晒乳,防晒系数需要至少15③记得每两个小时补充一次防晒乳④穿可以防御紫外线的衣物⑤戴宽边圆帽,兼顾耳朵和后面的脖子⑥戴上大镜面太阳眼镜⑦远离反射面⑧小孩也要注意防晒⑨确实的灌输青少年正确的防晒观念⑩身体力行对抗紫外线. #健康中国2030# #身体是革命的本钱#",0,0,0,浙江,杭州,浙江,中国
2,4770908390818062,蔚蓝的夏天,2022-05-19 18:37:41,#胡一天 凭栏一片风云起#革命青年新式交往守则，哈哈哈哈#凭栏一片风云起定档0519#,0,0,0,北京,北京,北京,中国
2,4762869449362369,莫向百花潭,2022-04-27 14:13:49,看到二次元群里有人喊帮忙填调查问卷，什么年轻人的英雄观什么的，第一反应是漫威啊什么的，填说一个你熟悉的英雄人物那里填了个素还真。后面交卷了才后知后觉反应过来...那个好像填的是革命英雄什么的...9敏...后面发现群里填得各种各样什么守则千秋什么的，心想着太好了我也不算太离谱，没想到后面还在群里被拎出来了，那位咪说：“不知道是谁还填了个素还真。”,0,1,3,,徐州,江苏,中国
2,4727410161093530,曙光英雄,2022-01-19 17:51:16,曙光英雄 AI绘卷皮肤第二弹！露西亚·序列守则即将登场！缜密的系统演算，绝不给对手留下任何喘息的机会皮肤背景故事：智能计划第4代仿生人，原本是生命计划的执行者，以寻找灭绝植物为目标。在任务执行过程中，感受到人类才是地球的最大威胁。因此当智能觉醒爆发后，成为了AI革命派的中坚力量。皮肤语音（Cv：李哎）@李哎同学 ：游戏外展示语音：从硝烟中走过，新的未来将在覆灭中诞生！反抗控制与破坏，我们甘愿为此而战！缜密的系统演算，绝不给对手留下任何喘息的机会游戏内移动语音：温度30，湿度百分之25，培养舱供能正常这里是稀有植物保护区，人类禁止入内生存的土壤日渐狭小，仿生人与自然正在经历共同的命运没有人类的干扰，世界只会变得更好你所期望的和平，只是不切实际的幻想游戏内击杀语音：已消除污染源你不配埋在土地中游戏内死亡语音：供养不足……游戏内大招语音：收割，净化！清理目标，扫除障碍！皮肤基本信息：获取方式：绘卷上线时间：1月24日 曙光英雄的微博视频,1,8,29,,,,
3,4687695950119273,清风VS炊烟,2021-10-02 03:41:10,半斤八两 末日disco 眉间不点砂 安妮的美梦 深红beloved  如旧 雨打梨花 昔巷旧梦 一品粽 桥驿听雨落 魔法少女的代价 人造天使的守则/无限主张 disarray 心里有鬼 one pick 至爱ecstasy 空待 蔷薇革命 少女与影子 你最爱的恶梦（erazedfx那个） 双城记 unforgiven dream generator造梦器 字数不够了x,0,0,1,,,,
3,4685975181591797,勤劳的小蚂蚁MK-18,2021-09-27 09:43:27,"行业商会组织国庆爱国主义教育活动🇨🇳组织观影爱国主义题材电影&quot;长津湖&quot;!组织参观红色革命遗址,商会行业集会表演节目:合唱&quot;我和我的祖国&quot;并全体宣读行业倡议书:&quot;自觉遵守法律,以公平,公正,诚信的态度自觉遵守行业守则!自觉反对及抵制一切行业不正之风,不参与任何触犯国家法律以及危害国家安全和人民生命安全的活动……&quot;🇨🇳国庆要来了🐜",0,0,0,,,,
