页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4657524768772895,福建新闻广播fm1036,2021-07-10 21:31:40,#红色文物里的福建印记#【生产出大量“精神炮弹”的国家一级文物】长汀县博物馆馆藏有一台红军印刷厂的石印机。手摇式，长方体，长127厘米、宽62厘米、高105厘米，重260公斤。这台石印机原本是长汀“毛铭新印刷所”的机器，后来印刷了大量的革命宣传品，为国家一级文物。生产出大量“精神炮弹”的国家一级文物 | 红色文物里的福建印记（11） ,3,0,20,,,,
2,4646465932886889,济南烟台爷们,2021-06-10 09:07:48,网上看到一篇文章，红色旅游演艺：让文化扎根，让演艺有魂，让革命历史活起来。看题目明白是什么意思，但是，文化扎根不扎根，能不能扎根？真不是喊出来的？！对待文化，真不能这样做！文化的不实，将导致精神有恙。这么多年社会的种种现象，我们受宣传品文化的影响真可以说是根深蒂固，导致文化异样！ ,0,0,0,,,,
2,4608385372915852,YY56岁,2021-02-25 07:09:15,带你走遍全世界——九百零一十八站，地下印刷所纪念馆，在1904至1906年间，斯大林与其他革命者曾经在这里秘密印制革命报刊和宣传品。苏联时期，这里被建成设施齐全的纪念馆，接待来自世界各地的来访者。现在，这里一切维护费用都靠格-员自酬资金解决。 ,0,0,1,,,,
2,4593212193510663,旗影照征程,2021-01-14 10:16:27,文艺创作上也是老问题。官方想要一个强效宣传品，资本家只想赚钱，文艺工作者只想写自己乐意写的东西（乐意写=只能写出这东西）。三方大战，三方还都很任性，在每一个历史时期都充满了三方的角力，往往还很激烈。我一直认为，只有革命战争题材，才能同时满足以上三个要求。前提是，该文艺工作者具备这方面的创作素养。,0,0,0,,,,
2,4540401279836703,红色计忆时代信仰,2020-08-21 16:44:44,#八闽青春献祖国# #我的社会初体验# 福建农林大学实践队员在芝山红楼坐北朝南 红砖砌墙🧱故有红楼之美称走进小楼红军攻克漳州留下的革命口号还清晰可见攻克漳州的照片 战利品 宣传品甚至游击队用过的武器 袖章一一陈列在我们眼前或许革命年代的刀光剑影已暗淡无影 鼓角铮鸣远去不可溯但我们心中的丰碑却永不倒塌@福建农林大学团委 @福建农林大学计信院团委,4,5,11,,,,
2,4529140915770413,中国文博,2020-07-21 15:00:04,#文物动态#7月20日，为迎接中国共产党成立100周年，山东省党史陈列馆近日发布《关于广泛征集中共山东早期党组织相关文物和史料的公告》，向社会征集中共山东早期党组织相关文物、革命遗物和史料。本次征集自即日起截至9月30日。征集范围为新中国建立前，特别是五四运动前后、党的创立时期、大革命时期和土地革命战争时期，与中共山东党组织、工人运动、群团组织、武装组织、重大历史事件、重要领导人、革命烈士等有关的文物、革命遗物和史料。主要包括：与五四运动、中国共产党成立、山东各地各级党组织创建等重大历史事件有关的图片、文献、档案等历史资料；济南早期党组织、社会主义青年团、中共济南地执委、山东地执委、山东省委，以及山东各地早期党组织留存下来的日记、手稿、回忆录及办公用品等；王尽美、邓恩铭、“四五烈士”“八一九烈士”“泺口九烈士”等重要党史人物和著名烈士使用过、留存的各种物品；重大历史事件亲历者的采访记录、回忆录、口述历史、影像资料；与这段历史有关的手迹、信札、奖章、纪念章、证书、证件、字据凭条等物品；与这段历史有关的书籍、画报、报纸、木刻、邮品、专著、论文、绘画作品和文学艺术作品等文化宣传品；与这段历史有关的枪支、刀、矛、匕首、地图、旗帜、军服等军需用品。,1,0,7,,,,
3,4496375507035971,大舜书局,2020-04-22 05:02:02,多少拉黑名单，曾经互道晚安。多少反目成仇，曾经一起喝粥。收到《陈炯明叛国史》。两个男人之间的相爱相杀，恩怨情仇。《陈炯明叛国史》（孙方面的倒陈宣传品）引用当时报刊报导和原始文电，对陈炯明自辛亥革命后在广东的各项重要活动，以及他是如何由革命党人沦为广东地方军阀的由来与发展等，均有所论述，其中尤详于1921年前后广东军政府内部的纷争与矛盾。《陈炯明叛国史批判》何时问世，不知道，因为一个字还没写呢。,0,0,0,,,,
3,4496030953555265,小明的喇叭,2020-04-21 06:12:54,特朗普为代表的大资本家受到了疫情管控带来的巨大经济损失，属于热锅上的蚂蚁，上串下跳。他们不顾普通老百姓的生命，购买宣传品，小旗子，喇叭，组织一些人上街进行抗议，特朗普以“解放密歇根州。。。”的革命语言进行宣传，后边的人则上街呼应，很“自发”。可预见的是美国疫情需要拖很长时间了。,0,0,0,,,,
3,4447343354789583,弘毅文史,2019-12-08 21:45:46,汉族 今天是12月8日，1905年的今天，民族革命家陈天华蹈海殉国；陈天华生前最有名革命宣传品《猛回头》中有一句：“怕只怕，做非洲，永为牛马；怕只怕，做南洋，服事犬羊。”辛亥革命已经过去108年。如今，非洲和南亚的洋大人们，在中国有了漂亮媳妇。非洲不再是牛马，南洋不再服侍犬羊。时代确实不同了 弘毅文史的微博视频,51,33,173,,,,
3,4442255861343755,互联网小e,2019-11-24 20:49:53,【笑迎黑衣   王进洋引“暴”入东涌】總體而言，王進洋的義工團目標亦非常明確，宣傳品派發主要對象是年輕人特別是黑衣人，義工團亦不時有意無意在街上叫「光復香港、時代革命」或其他針對近日「修例風波」的口號，企圖繼續炒作，爭取更多暴力支持者的選票。 ,0,0,2,,,,
3,4436315670111814,一品威客网,2019-11-08 11:25:41,#一品分享##一品威客网#【如何设计宣传品单页 宣传品单页设计要点】商业宣传品，即是专门为商业传播而订制的宣传续着一般宣传品的用途和作用，并针对商业策略出现在活动中。从简单文字信息传递到现在品类繁多个性化商业宣传小品，无论是从形式、功能还是品质都发生了革命性的变迁。其功能随着商业宣传品种类的细分也产生了深刻的转变。一般来说，商业广告宣传品的用途大致分为以下四个类别：传递商品信息、装饰产品、将商品进行文化包装、引导消费。网页链接,0,0,0,,,,
3,4430530893993551,活力内蒙古,2019-10-23 12:19:03,#你不知道的内蒙古##我们的核心价值观# #永远做草原上的红色文艺轻骑兵#  喜讯！集宁战役红色纪念园管理处·集宁战役红色纪念园系列文创产品及对外宣传品书签、格日勒皮艺·乌兰牧骑、无·红色书签、格日勒皮艺·乌兰牧骑成功入围全国优秀红色旅游文创产品名录。沧海桑田七十载，红色文创旅游商品包涵了文化底蕴和历史渊源，将革命优良传统植入其中，存活在民族的血液和基因里。@京郊草原·避暑之都·乌兰察布 @乌兰察布日报微博 @内蒙古旅游报@活力集宁 （内蒙古文化和旅游厅）,0,0,2,,,,
