页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048875112993275,斯芬克斯夜与雾,2024-06-24 19:38:13,纯粹的革命家是没有职业的。 ,1,0,8,浙江,,浙江,中国
2,5048860903478363,热爱阅读和美的思思,2024-06-24 18:41:45,农民能入党，就是无产革命家级别的，这教养绝了。,0,0,0,上海,,上海,中国
2,5048859653573694,小白BabyI,2024-06-24 18:36:47,百色起义是中国共产党领导的一次重要武装起义，它在中国革命史上具有重要的历史地位。1929年12月11日，邓小平、张云逸和韦拔群等老一辈无产阶级革命家在广西百色成功发动了起义，建立了中国工农红军第七军和右江革命根据地，这是中国共产党在少数民族地区领导的第一次大规模武装起义，也是中国共产党独立领导武装斗争和创建革命根据地的光辉典范。        百色起义的胜利，不仅开辟了广西革命的新局面，而且为后来的革命斗争积累了宝贵经验。它展现了中国共产党人坚定的理想信念和英勇的革命精神，鼓舞了全国各族人民的革命斗志，为中国人民的解放事业作出了重要贡献。        在新时代，我们纪念百色起义，就是要继承和发扬革命先辈的光荣传统和革命精神，不忘初心，牢记使命，继续推进中国特色社会主义伟大事业，为实现中华民族伟大复兴的中国梦而不懈奋斗。百色起义的光辉历史，将永远激励着我们为实现中华民族的伟大复兴而努力奋斗。#百色起义##不忘历史##发扬革命精神#,0,1,2,广西,河池,广西,中国
2,5048840965328905,红锡之路,2024-06-24 17:22:32,无锡红色文旅第二站——张闻天旧居时间:2024.6.24地点:张闻天旧居张闻天旧居位于无锡市汤巷45号，是一幢建于上世纪30年代的仿西班牙式红色小楼。他是杰出的无产阶级革命家、中国共产党在上世纪30年代重要领导人，1975年8月25日从肇庆迁居于此，1976年7月1日病逝。感悟:在新时代，我们要学习张闻天同志等先辈们的革命精神和奉献精神，不断提高自身素质，为实现中华民族伟大复兴的中国梦贡献自己的力量。#暑期三下乡##无锡太湖学院##无锡##大学生##三下乡#,0,0,0,江苏,南京,江苏,中国
2,5048838045827214,云南日报,2024-06-24 17:10:55,#同心圆梦彩云南#【电影《金沙水暖》首映式在京举行】6月24日，红色革命历史题材院线电影《金沙水暖》首映式在京举行。  《金沙水暖》，主要讲述1936年红二、六军团长征经过云南的故事，讴歌老一辈革命家为了实现解放全人类的伟大理想，不惜抛头颅洒热血的大无畏奉献精神。网页链接 ,1,0,0,,昆明,云南,中国
2,5048824509499838,冰蛇陛下,2024-06-24 16:17:08,是《摩托日记》，拉美的革命家格瓦拉写的游记，对于年轻的梦梦来说，这等浪漫的革命者的所谓浪漫行径实在是太无法想象了……我跟她吐槽说：清朝覆灭的时候，连军阀都能叫革命者呢，你不要拿初代目他们来衡量别的国家的革命者啊哈哈哈哈//@鼠鼠的三楼实验室:梦梦到底打开了什么呀,0,1,6,河南,驻马店,河南,中国
2,5048819404770192,辣叶摧秋,2024-06-24 15:56:51,大肆招揽各类“特聘专家”“院士专家”“客座教授”……无话不敢说、无牛不能吹的各种专家教授满天飞，难怪了！ #决定对中国管理科学研究院撤销登记# 中国管理科学研究院出身非凡，使命独特：1987年，经老一辈无产阶级革命家批示设立，旨在成为一个不同于体制内智库的市场化科研机构。利欲熏心！！！你们这些人毫无敬畏之心，对得起钱老他们吗？对得起老一辈的殷殷嘱托和厚望吗？#辣叶记事#,1,1,1,浙江,丽水,浙江,中国
2,5048676749672662,中国历史研究院,2024-06-24 06:30:00,#习近平总书记论历史科学#          要保护好这份珍贵的历史文化遗产，为铸牢中华民族共同体意识、促进民族团结进步作出新贡献。要向老一辈革命家学习，把新时代党的统战工作、民族工作、宗教工作做得更好。        ——2024年6月18日至19日，在青海考察时强调 ,10,1,85,,,北京,中国
2,5048733244588401,人民政协报,2024-06-24 10:14:29,【#人民政协学习座谈会的由来#】#政协掌千秋# 重视学习、崇尚学习，是人民政协的优良传统。中华人民共和国成立后，在毛泽东、周恩来等老一辈革命家的积极倡导和身体力行下，学习成为人民政协的重要任务和重要基础性工作之一。学习座谈会是人民政协在上个世纪50年代创立的一种学习组织形式，在提高民主党派和无党派人士理论政策水平、广泛凝聚智慧建设新中国等方面，发挥了重要作用。人民政协学习座谈会的由来,1,1,1,,北京,北京,中国
2,5048732712173809,人民政协网,2024-06-24 10:12:21,【#人民政协学习座谈会的由来#】#政协掌千秋# 重视学习、崇尚学习，是人民政协的优良传统。中华人民共和国成立后，在毛泽东、周恩来等老一辈革命家的积极倡导和身体力行下，学习成为人民政协的重要任务和重要基础性工作之一。学习座谈会是人民政协在上个世纪50年代创立的一种学习组织形式，在提高民主党派和无党派人士理论政策水平、广泛凝聚智慧建设新中国等方面，发挥了重要作用。 人民政协学习座谈会的由来,0,0,0,,北京,北京,中国
