页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048784677768451,New名利淼,2024-06-24 13:38:52,夫妻宫相冲有很多种意思最多的体现是吵架，感情有矛盾或者双方家庭问题多比如婆婆妈惹人烦，丈母娘借钱内部家庭问题会间接影响两个人感情再有些会体现配偶出问题比如配偶运势遇到问题，突然卧床生病不起还有就是异地，两地分居爱而不得也算比如《潜伏》里面孙红雷和姚晨演的革命夫妻因为得潜伏身份，两个人不得不分离男人换了新身份去了香港，女人留在农村女人每天抱着孩子在村口望男人这也算是大运夫妻宫冲破刑感情两个人应该是没问题的所以，理解到事情上，可能性非常多总体可以理解为两个人很难黏黏糊糊甜甜蜜蜜在一起最怕的是，有些宝宝理解只理解字面意思我说夫妻宫冲破，两个人感情有问题她说，不对！感情没问题，是双方家长阻碍那这也算是两个感情发展不顺利夫妻宫冲破，整体可以理解为感情不顺利最小的损失体现是有些体现两个人异地，但是感情仍旧不错但是有些是异地，感情又出问题#淼淼旧文# 所以具体还得看双方如何引导提前铺垫,0,0,1,上海,上海,上海,中国
2,5048758519203172,yushengjiang,2024-06-24 11:54:55,【百年后依然有人读的史学著作】为什么要读欧洲史？ 读人类文明的起点：古希腊古罗马； 读影响人类历史的结构性变化：文艺复兴、启蒙运动、工业革命，两次世界大战、冷战等； 读观念与制度的力量：议会制度、xian政精神、陪审团制度、普通法精神等如何改变世界。…… 不了解这些，可能我们就不知道，人类文明走到了今天，对于我们只是接受不接受而已。 推荐一部极有分量的欧洲通史：《企鹅欧洲史》。历史作家劳伦斯·里斯：一百年后还会有人读的史学著作不多，这很可能是其中一部。推荐理由： 1.学术上无可挑剔，世界最大的出版社企鹅兰登的镇社之宝，牛津、剑桥近十位顶尖学者，耗费10年心血写就。是罕见的写欧洲上下4000年的通史。 2.篇幅大却不难读，文笔生动精彩，“几乎每页都是金句”。 3.最重要的是，好的历史著作都会超越历史的叙述和制度的研究，成为一种观念的结晶。《企鹅欧洲史》借助故事和历史进程的细节，把西方文明观念阐释得淋漓尽致，让我们理解欧美学者对西方文明的深度认识！ 本书近两年才引入国内，甫一问世，半小时内断货两次。。点击链接，即可一键收藏，会员还可享专属优惠：《企鹅欧洲史》（七卷） 网页链接,0,0,0,内蒙古,包头,内蒙古,中国
2,5048714603530991,二师兄财商启蒙-麒麟会,2024-06-24 09:00:25,#英伟达GB200驱动的PCB新机遇# 周末的市场热点在于PCB产业的突袭：英伟达GB200系列的革命性影响。随着英伟达GB200系列的推出，PCB产业正经历一场技术革新。这一升级不仅涉及材料和面积的优化，更在整体集成度和匹配性能上实现了质的飞跃。HDI用量的激增，预示着在AI-GC产业的推动下，PCB需求将迎来爆发式增长。沪电股份、胜宏科技、鹏鼎控股作为行业龙头，其技术积累和市场布局将直接影响产业的未来走向。#英伟达发布gb200#,0,0,1,福建,厦门,福建,中国
2,5048602022119147,老雅痞,2024-06-24 01:33:03,MicroStrategy董事长Michael Saylor在最近的播客中表示，比特币代表着“经济永生”，他认为比特币可以消除公司死亡的挑战，并能使公司永存。他强调比特币作为纯数字资本，能够对个人、家庭、公司、机构甚至国家产生革命性的影响。Saylor还提到比特币在中国的采用将推动其价格上涨，并认为比特币不仅仅是金融收益，而是新经济稳定和增长的基础。关键点- Michael Saylor称比特币帮助消除公司死亡。- Saylor认为比特币具有改变全球经济的潜力。- 比特币代表纯数字资本，能够实现全球支付。 - Saylor强调比特币在中国的采用将推动其价格上涨。,0,0,3,新加坡,,新加坡,新加坡
2,5048577732378983,indigo98,2024-06-23 23:56:32,"第一次看无字幕电影，看的还是Les Miserable 这难度上得够大的虽然理解细节上有缺失，但不影响观影体验。经典不愧是经典，这部爱与革命的罗曼史就是超越时代的。以及被点醒的迷思：男性创作者写的东西再好，笔下的女性总是充满了男凝意味。她们基本上都是起不到实质作用的角色——要么是真善美的白月光（which means zero combat abilities), 要么是为男性角色服务要被寄出去的炮灰。这一点女性作者做的会好很多，我指的是没有性别优待或者偏好性强的性描写，只是真诚地写故事这一点。比如《我的阿勒泰》。",0,0,0,上海,上海,上海,中国
2,5048557718209201,黄鱼Veda,2024-06-23 22:37:00,有“对冲基金界的乔丹”之称的亿万富翁史蒂夫·科恩 (Steve Cohen) 决心加速布局AI投资，发行一个专注于押注AI和半导体领域的新基金。他说：对AI技术前景表现得信心满满，他认为AI将给企业带来&quot;革命性&quot;影响，为它们节省数百万美元成本：当出现这种技术变革时，令我想起上世纪90年代，那个时期孕育了最优秀的新公司。不过，他也强调，这个领域&quot;必将会有赢家和输家”。,4,0,3,广东,河源,广东,中国
2,5048544743915565,变学霸-变美女,2024-06-23 21:45:26,《人面桃花》绝对今年影响我最大的书现在还记得刚看完它那天哭到了凌晨两点就是觉得秀米好痛苦呀好像一辈子都在追求，从爱情到革命理想，再到后期对亲情、温情的追求，她好像总是运气不太好地“差那么一点点”多像一场雾霭迷蒙的梦啊又像人们在给秀米送葬的路上唱出的一曲悲歌其实更像一个小曲，它是纤弱的书中的氛围简直和我的心境不谋而合越临近毕业，我就越害怕自己好像还没有得以安身立命的技能，向前无能为力向后也没人可以托住我只可以抓住自己那一点点的努力，但努力好像也不够，效果不够，我付出的也不够所以我也痛苦，我也追求但好像一直以来也一无所获，而且顾此失彼最后，我对自己说：一切都是一场梦呢，我作为梦中的一个小元素，无关紧要主体性被消解了，主体的痛苦随之烟消云散但我还是痛苦我不是我了，我是什么？所以我去看了存在主义它让我坚持选择自由但问题又来了，我好像不知道自己想要什么为什么？我不是一个成年人了吗为什么我不知道自己的理想、爱好、性格、未来好吧，不想思考了《人面桃花》好像给出了一个答案：桃花源在人们互相爱护的时候会出现。,0,1,0,湖南,长沙,湖南,中国
2,5048538539230791,Stal7,2024-06-23 21:20:48,2024世界智能产业博览会 #周末去哪儿##ai带来的产业革命将会如何影响我们##小米#小鹏汽车TeslaVR ,0,0,1,天津,,天津,中国
2,5048520069878443,我所有前任都住德州,2024-06-23 20:07:24,榜样示范法是指用榜样人物的高尚思想、模范行为、优异成就来影响学生的思想、情感和行为的方法。其基本方式包括典范、示范和典型。典范主要包括历史伟人、民族英雄、革命导师、科学家、思想家和文学家等各行各业的杰出人物。示范主要是指家长与教师，他们的言行举止、仪态作风、志趣爱好和为人处世等都会对学生产生示范作用。典型主要是学生中涌现出来的优秀个人，如三好学生、优秀少先队员、优秀团员和优秀学生干部等。B项正确。,0,0,0,江苏,南京,江苏,中国
2,5048156064845236,女性历史文学,2024-06-22 20:00:59,【投稿】       美国革命虽然没有从根本上改变性别关系格局，没有明显提升妇女的地位，但它对妇女产生了“难以抹去的影响”，从许多方面改变了妇女的生活。这种影响主要不是显现在法律和政治等公共领域，而是在私人领域，具体反映在家庭组织、个人志向、自我评价的变化等方面。妇女在革命中参与和观察了反英运动的各种活动及仪式，这对她们的思想意识有所触动；一旦经济抵制发生，妇女的家庭制作活动就具备了政治意义，从而使政治领导人留意到家务领域，改变了以往对女性角色的低下定位。而且，在革命年代，女性领域的边界也发生了变动，妇女开始主动介入政治，还有人提出了建立全国性妇女组织的动议。独立战争爆发以后，男性奔赴战场，白人女子不仅要承担家庭事务，而且还要处理从前不得涉足的公共事务。战争结束以后，受战时经验和意识形态变化的影响，美国的男子和妇女都开始反思关于女性特性和角色的负面观念，越来越多的家庭出现了较为平等的婚姻关系，父母对子女教养和婚姻的专断程度有所减轻，妇女的教育也开始受到重视。诺顿写道: “在革命前的世界里，没有人曾费力去界定家庭生活：私人领域看来是不重要的，而且妇女也难以逃离她们无法摆脱的命运。在革命后的世界里，家务和家庭的社会意义得到了承认，同时妇女也开始能选择不同的生活方式。”她的结论是， 虽然对妇女来说“美国革命的遗产”是“含混的”，但是革命的平等话语为妇女争取权利的运动提供了语汇，共和主义教育也培养了最初的妇女领导人。 从这个意义上说，美国革命也是一场妇女的革命。《意识形态与美国革命的历史叙事》| 李剑鸣#女性历史#,5,2,66,陕西,西安,陕西,中国
