页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5049088813041126,山西晚报,2024-06-25 09:47:23,【唐登杰率中共代表团访问津巴布韦和坦桑尼亚】应津巴布韦非洲民族联盟—爱国阵线、坦桑尼亚革命党邀请，经党中央批准，中共中央委员、山西省委书记唐登杰率中共代表团于6月17日至23日访问津巴布韦和坦桑尼亚。代表团以习近平外交思想为指导，深入宣介习近平新时代中国特色社会主义思想，积极推动落实习近平总书记同两国元首达成的重要共识，并就双边关系、党际交往、地方合作等与津、坦各方深入交换意见。（来源：山西日报） 唐登杰率中共代表团访问津巴布韦和坦桑尼亚,0,0,1,,太原,山西,中国
2,5049087802737450,杜利勇,2024-06-25 09:43:22,中国新闻#山西要闻# 【唐登杰率中共代表团访问津巴布韦和坦桑尼亚】应津巴布韦非洲民族联盟—爱国阵线、坦桑尼亚革命党邀请，经党中央批准，中共中央委员、山西省委书记唐登杰率中共代表团于6月17日至23日访问津巴布韦和坦桑尼亚。代表团以习近平外交思想为指导，深入宣介习近平新时代中国特色社会主义思想，积极推动落实习近平总书记同两国元首达成的重要共识，并就双边关系、党际交往、地方合作等与津、坦各方深入交换意见。在津巴布韦，唐登杰分别会见津民盟副主席、津副总统莫哈迪，津民盟总书记姆波夫，津高教、创新和科技发展部长穆尔维拉，津矿业部长奇坦杜，北马塔贝莱兰省长莫约等。唐登杰表示，中国同津巴布韦传统友好。近年来，在习近平主席与姆南加古瓦总统共同引领下，两国政治互信持续深化，务实合作成果丰硕。中方愿同津巴布韦一道，共同落实好两国元首重要共识，进一步加强政治互信，深化党际交流，提升务实合作水平，携手推动中津全面战略合作伙伴关系深入发展。山西与津巴布韦有较强的产业匹配度，我们将深化与津在基建、民生、经贸、产业、人文等各领域的合作，加强友城交流，为中津关系发展作出积极贡献。津方钦佩中国发展取得的巨大成就，感谢中方支持帮助津实现经济转型。津方表示，中国是津实现长远发展的战略伙伴，愿学习借鉴中国经济发展和治国理政经验，落实好中非合作论坛框架下合作项目，开启津中合作新篇章。在坦桑尼亚，唐登杰分别会见坦总理马贾利瓦、坦革命党总书记恩钦比。唐登杰表示，中坦关系历经国际风云变幻考验，历久弥坚。坦赞铁路是两国人民的共同美好记忆。今年是中坦建交60周年，习近平主席同哈桑总统互致贺电，为中坦关系进一步发展指明了方向。中方期待同坦方一道，以两国元首重要共识为指引，赓续传统友谊，筑牢政治互信，不断丰富中坦全面战略合作伙伴关系内涵，为构建高水平中非命运共同体作出更大贡献。山西与坦桑尼亚有着良好合作基础，我们将积极服务和融入高质量共建“一带一路”，不断深化双方务实合作，为赓续中坦传统友谊添砖加瓦。坦方高度赞赏中国在习近平主席杰出领导下实现划时代的经济社会发展成就，高度评价坦中合作丰硕成果。坦方表示，我们视中国为真正的最重要的朋友，将加强同中国在国际事务中的沟通协作，深化经贸、人文、基础设施等各领域交流合作，推动双边关系不断迈上新台阶。开展党际交流交往，讲好中国共产党故事，是代表团此行的重要任务。在津民盟契特波思想政治学院、坦桑尼亚尼雷尔领导力学院和坦革命党滨海省基巴哈区支部，唐登杰结合中国式现代化山西实践，就习近平新时代中国特色社会主义思想的核心要义、推进党的自我革命、加强基层组织建设等问题与两党专家学者、党员干部等深入交流，并分享了中国经济社会发展的成就经验。唐登杰表示，习近平总书记高度重视发展与非洲各国政党关系，我们期待同非方加强党际联系和治国理政经验交流互鉴。唐登杰还向非方赠送了《习近平谈治国理政》第一至四卷，《习近平著作选读》第一、二卷，《中国共产党的一百年》等书籍英文版。非方高度赞赏中国共产党在习近平新时代中国特色社会主义思想指引下，成功探索出符合中国国情的现代化道路，表示相信中国式现代化也必将助力广大发展中国家创造更加美好的未来。国之交在于民相亲，民相亲在于心相通。近年来，我省积极参与非洲基础设施建设和民生事业发展，有力提升了非洲人民的福祉。访问期间，代表团出席省教育厅与津巴布韦高教部、省地勘局与坦桑尼亚水利部有关合作协议签约仪式，观摩津巴布韦哈拉雷理工技术学院“中文+职业技能”培训班授课，为中津哈拉雷华冶学院揭牌，参观省地勘局承建的坦桑尼亚达累斯萨拉姆市八区域供水工程和山西建投集团承建的达累斯萨拉姆理工学院教学楼项目，看望慰问我省海外职工。在非期间，代表团一行还同中国驻津巴布韦大使周鼎、驻坦桑尼亚大使陈明健进行了工作会谈。,0,0,0,山西,晋中,山西,中国
2,5049086048995005,东营政务,2024-06-25 09:36:24,市政府党组理论学习中心组举行集体学习 陈必昌主持      6月24日，市政府党组理论学习中心组举行集体学习，深入学习习近平总书记关于党的自我革命的重要思想、关于全面加强党的纪律建设的重要论述，深研细读新修订的《中国共产党纪律处分条例》（以下简称《条例》），紧密结合思想和工作实际，围绕党的“六项纪律”开展集中研讨。市委副书记、市长、市政府党组书记陈必昌主持会议。      会议指出，习近平总书记关于党的自我革命的重要思想、关于全面加强党的纪律建设的重要论述，为我们做好相关工作指明了努力方向、提供了根本遵循。市政府党组及成员要深入学习领会，树立更高标准，落实更严要求，以实际行动推动党纪学习教育高质量开展、全面从严治党向纵深发展。      会议强调，加强纪律建设，是党的光荣传统和独特优势，是全面从严治党的治本之策，是高水平现代化强市建设的坚强保障。要把学习贯彻习近平总书记的重要思想重要论述作为党纪学习教育的重要任务，原原本本学、融会贯通学、联系实际学，坚持与学习《条例》贯通起来，一体感悟、一体把握、一体贯彻，不断增强遵规守纪的政治自觉、思想自觉、行动自觉。要加强纪律约束和党性修养，以《条例》为准绳，从维护和尊崇党章抓起，严格遵守和执行党的各项纪律，强化政治纪律和组织纪律，带动廉洁纪律、群众纪律、工作纪律、生活纪律全面从严，切实做到守住底线、不踩红线、不碰高压线。要坚持两手抓两促进，把开展党纪学习教育和推动经济社会高质量发展结合起来，强化经济运行调度，加快构建现代化产业体系，培育发展新质生产力，高效统筹发展与安全，圆满完成各项任务。,0,0,0,,东营,山东,中国
2,5049041504700203,绣虎carol,2024-06-25 06:39:24,伟大的文学家、思想家、革命家鲁迅先生，我们敬爱你呀//@还在嘴硬23:省流：神话生物迅哥儿翻译死灵书san值掉都没掉，硬吃一发致死咒术只当有人发癫,0,0,0,河北,唐山,河北,中国
2,5048964411818938,uan_nnnnnn,2024-06-25 01:33:04,一次自我的思想革命 ,0,0,0,广东,广州,广东,中国
2,5048939522821320,启航2023_,2024-06-24 23:54:10,用党规党纪校正思想和行动纪律是管党治党的“戒尺”，也是党员、干部约束自身行为的标准和遵循。没有铁的纪律，就没有党的团结统一，党的凝聚力和战斗力就会大大削弱，党的领导能力和执政能力就会大大削弱。我们党是用革命理想和铁的纪律组织起来的马克思主义政党，组织严密、纪律严明是党的优良传统和政治优势，也是我们的力量所在。红军初创时期，毛泽东同志就高度重视整肃军纪，从“不拿群众一个红薯”的规定，到“三大纪律六项注意”（后来发展成“三大纪律八项注意”），为人民军队的优良作风奠定了坚实基础；辽沈战役期间，锦州乡间的苹果熟了，行军路过的解放军战士虽然饥渴难耐，但一个苹果都不去拿，无论是挂在树上的、收获在百姓家里的、还是掉在地上的；解放上海后，为了不打扰市民，战士们严格执行“不入民宅”的纪律，和衣抱枪露宿在雨后湿漉漉的街头……“加强纪律性，革命无不胜。”一百多年来，正是由于有了建立在高度政治觉悟基础上的铁的纪律，我们党才能始终赢得人民群众爱戴和拥护，团结带领人民取得革命、建设、改革的一个又一个胜利。党的十八大以来，以习近平同志为核心的党中央将纪律建设作为全面从严治党的治本之策，纳入新时代党的建设总体布局，坚持不懈用严明的纪律管全党、治全党，从根本上扭转了管党治党宽松软的状况，为党和国家事业发展提供了坚强纪律保障。新征程上，党面临的国际国内形势越复杂、肩负的改革发展稳定任务越艰巨，就越要加强纪律建设，越要维护党的团结统一，确保全党统一意志、统一行动、步调一致前进。知纪明纪方能遵纪守纪。本次修订后的《中国共产党纪律处分条例》全面贯彻习近平新时代中国特色社会主义思想和党的二十大精神，从党章这个总源头出发，坚持严的基调，坚持问题导向和目标导向相结合，与时俱进完善纪律规范，进一步严明政治纪律和政治规矩，带动各项纪律全面从严，释放越往后执纪越严的强烈信号。要聚焦解决一些党员、干部对党规党纪不上心、不了解、不掌握等问题，组织党员特别是党员领导干部认真学习《条例》，搞清楚党的纪律规矩是什么，弄明白能干什么、不能干什么。准确掌握《条例》的主旨要义和规定要求，进一步明确日常言行的衡量标尺，把遵规守纪刻印在心，内化为言行准则，进一步强化纪律意识、加强自我约束、提高免疫能力，增强政治定力、纪律定力、道德定力、抵腐定力。,0,0,0,河北,邢台,河北,中国
2,5048894579542725,Sophie日常记录,2024-06-24 20:55:34,古希腊之后出现了罗马、罗马，之后出现了基督教欧洲。基督教欧洲之后出现了文艺复兴，文艺复兴之后出现了启蒙运动，启蒙运动的政治民主带来了工业革命，工业革命和民主思想的碰撞，反过来推动了美国的出现。其中蕴含着追求生命自由和幸福权利的真理。我突然意识到，这正是我一直学到的故事，西方政治成功、文化优势和道德胜利的颂歌。但这种历史观存在着误区，看待历史还可以有其他不同的角度，而不只是从近代胜利者的立场去观察过去。 宁波·宁波奉化惠政老街亚朵酒店,0,0,0,浙江,绍兴,浙江,中国
2,5048883966642696,长庆油田,2024-06-24 20:13:24,#聆听红色故事# 6月20日，长庆油田第一采油厂采气作业区党支部在照金革命根据地开展“学党史 悟思想 铸忠魂 担使命”主题党日活动。（马睿）#党建声音##基层党建# @长庆油田采油一厂 长庆油田的微博视频 ,4,3,4,陕西,西安,陕西,中国
2,5048855580117999,ai豆豆奶,2024-06-24 18:20:36,这里是军旗升起的地方， 是文脉绵长的国家历史文化名城。 天下英雄城， 在革命的摇篮中脱胎换骨， 战争结束、 思想解放、 而属于南昌的故事还未完待续…… ,0,0,0,江西,南昌,江西,中国
3,5048827744884884,龙华英烈,2024-06-24 16:30:00,#龙华魂# 6月28日（本周五），来@龙华英烈 看《狱中的哨声》！此次情景党课以大型话剧《前哨》为蓝本、以牺牲在龙华的左联五烈士为原型，展现无产阶级文学家“以笔为刀枪”，放下个人情感，在狱中坚强斗争，用生命吹响启迪民众思想之“前哨”的革命故事。 ,0,0,2,,上海,上海,中国
