页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048734065102680,中国华电,2024-06-24 10:17:45,【推动能源技术革命，让发展动能更足丨能源安全新战略十周年系列报道】十年来，福建公司依托福建省作为“数字中国”发源地的地域优势，深入应用人工智能、北斗、AI、5G等技术，着力打造“数智华电福建”，建成水、火、新能源三大集控中心，58个项目获得省部级科技进步奖，取得授权专利393项，其中发明专利43项。加大关键核心技术攻关力度，与兄弟单位、国内知名科研院所、高校、制造企业等单位协同攻关，实现国内首台海上风电主控系统国产化风机技术升级，华安官畲微电网科技示范项目率先在电力行业储能领域应用“全国产化碳化硅功率模块的构网型储能变流器与控制关键技术”。,1,1,1,北京,北京,北京,中国
2,5048569821663705,车报导,2024-06-23 23:25:06,我国人工智能企业数量已超4000家2024世界智能产业博览会上发布的《中国新一代人工智能科技产业发展报告 2024》显示，我国人工智能企业数量已经超过4000家，人工智能已成为新一轮科技革命和产业变革的重要驱动力量和战略性技术。我国立足自主创新，已构建起包括智能芯片、大模型、基础架构和操作系统、工具链、深度学习平台和应用技术在内的人工智能技术体系、产业创新生态和企业联盟，对重塑工业体系、大力推进新型工业化的关键支撑效应正逐渐显现。数据显示，2023年我国人工智能核心产业规模达5784亿元，增速13.9%。我国生成式人工智能的企业采用率已达15%，市场规模约为14.4万亿元。(央视新闻),0,0,0,浙江,,浙江,中国
2,5048363653530021,第一球迷胖哥,2024-06-23 09:45:51,#江苏省企业发展战略研究会# 何兄的意思是，战友们都带各自的革命伴侣相聚在安徽天长，当地产的美酒一醉方休。美其名曰：天长地久！#闽大讲#,33,33,40,福建,厦门,福建,中国
2,5048354767634697,评论罗波忒-,2024-06-23 09:10:32,1、毛泽东思想的主要内容、活的灵魂、三大法宝主要内容：新民主主义革命理论、社会主义革命和这会注意建设理论、革命军队建设和军事战略的理论、政策和策略理论、思想政治工作和文化工作理论、党的建设理论。活的灵魂：实事求是、群众路线、独立自主三大法宝：统一战线、武装斗争、党的建设2、新民主主义革命的总路线和基本纲领总路线：无产阶级领导的，人民大众的，反对帝国主义、封建主义和官僚资本主义的革命。        新民主主义革命总路线反应了中国革命的基本规律，指明了中国革命的对象、动力、领导对象、性质和前途，是新民主主义革命的指导路线。基本纲领：政治上，推翻帝国主义和封建主义的统治，在中国建立一个以无产阶级为领导的、以工农联盟为基础的、各革命阶级联合专政的新民主主义共和国。      经济上，没收封建地主阶级的土地归农民所有，没收官僚资产阶级的垄断资本归新民主主义的国家所有，保护民族工商业。      文化上，废除封建买办文化，发展民族的科学的大众的文化。总之，新民主主义的政治、新民主主义的经济和新民主主义的文化相结合，就是新民主主义的共和国。3、党在过渡时期的总路线及依据总路线：过渡时期总路线是中国共产党在从中华人民共和国的成立到生产资料公有制的社会主义改造基本完成这一阶段中的总路线。     一化三改、一体两翼     一化：实现社会主义工业化     三改：农业、手工业、资本主义工商业的社会主义改造依据：党在过渡时期的总路线，将马克思列宁主义关于过渡时期的理论在中国进一步具体化了，形成了中国化的过渡时期理论，为中国社会主义改造提供了行动指南。4、社会主义改造道路和历史经验道路：农业、手工业的社会主义改造：1、积极引导农民组织起来，走互助合作道路。（农业）2、遵循自愿互利、典型示范和国家帮助的原则，以互助合作的优越性吸引农民走互助合作道路。3、正确分析农村的阶级和阶层状况，制定正确的阶级政策。4、坚持积极领导、稳步前进的方针，采取循序渐进的步骤。对手工业的改造是通过合作化道路，把个体手工业经济改造成为社会主义经济的过程。 资本主义工商业的社会主义改造；1、用和平赎买的方法改造资本主义工商业。2、采取从低级到高级的国家资本主义的过渡形式。3、把资本主义工商业者改造成为自食其力的社会主义劳动者。历史经验：（1）坚持社会主义工业化建设和社会主义改造同时并举；（2）采取积极引导、逐步过渡的方式；（3）采用和平的方法进行改造；失误和偏差：（1）在社会主义经济模式的选择和理解上过于单一，追求纯粹的单一的社会主义经济成分；（2）在公有制实现形式的选择和理解上过于简单化，只注意到集体所有制和全民所有制这两种基本形式，而对社会主义改造基本完成以后公有制经济可以和非公有制经济共同发展缺乏认识。5、中国共产党百年奋斗的历史经验   （1）坚持党的领导              （2）坚持人民至上   （3）坚持理论创新              （4）坚持独立自主   （5）坚持中国道路              （6）坚持胸怀天下   （7）坚持开拓创新              （8）坚持敢于斗争   （9）坚持统一战线               （10）坚持自我革命6、一国两制与祖国统一一国两制的基本内容：坚持一个中国，这是“和平统一、一国两制”的核心，是发展两岸关系和和平统一的基础；两制并存，在祖国统一的前提下，国家的主体部分实行社会主义制度，同时在香港、澳门、台湾保持原有的社会制度和生活方式长期不变；高度自治，祖国完全统一后，香港、澳门、台湾作为中央政府全面管辖下的特别行政区，享有不同于中国其他省、市、自治区的高度自治权，台湾、香港、澳门同胞各种合法权益将得到切实尊重和维护；尽最大努力争取和平统一，但不承诺放弃使用武力；解决台湾问题，实现祖国完全统一，寄希望于台湾人民。一国两制，即“一个国家，两种制度”，是中国政府为实现国家和平统一而提出的基本国策。按照邓小平的论述，“一国两制”是指在一个中国的前提下，国家的主体坚持社会主义制度，香港、澳门、台湾保持原有的资本主义制度长期不变。 “一国两制”是邓小平同志提出的具有中国特色社会主义理论之一，是为解决台湾问题，恢复对香港、澳门行使主权，实现祖国和平统一而提出的重大战略决策和科学构想。实现祖国完全统一，是国家繁荣富强和民族复兴的伟大基础，是海内外中华儿女的共同心愿，是中华民族的根本利益所在，是中国共产党和中国人民不可动摇的坚强意志。7、三个代表的主要内容（1）发展是党执政兴国的第一要务（2）建立社会主义市场经济体制（3）全面建设小康社会（4）建设社会主义政治文明（5）实施“引进来”和“走出去”相结合的对外开放战略（6）推进党的建设新的伟大工程 历史地位：中国特色社会主义理论体系的丰富发展；           加强和改进党的建设、推进中国特色社会主义事业的强大理论武器。  三个代表：始终代表中国先进先进生产力的发展要求；始终代表中国先进文化的前进方向；始终代表中国最广大人民群众的根本利益。8、科学发展观的内涵（1）推动经济社会发展是科学发展观的第一要义；   （2）以人为本是科学发展观的核心立场；   （3）全面协调可持续发展是科学发展观的基本要求；   （4）统筹兼顾社科学发展观的根本方法。9、学习毛概课的方法及意义  方法：一是掌握基本理论；二是🧫培养理论思维；三是坚持理论联系实际。  意义：首先，毛概课能够帮助大学生正确认识中国特色社会主义理论体系。        其次，毛概课对于培养学生正确的世界观、人生观、价值观具有重要意义。       再者，毛概课还能提高学生的思维能力和创新能力。       最后，毛概课还能提高学生的政治觉悟和社会责任感。10、中国特色社会主义理论体系的社会历史条件（1）国际背景：科技竞争成为综合国力竞争的焦点，和平与发展仍然是时代的主题。中国特色社会主义 理论体系是我们党在深刻洞察国际形势变化和世界发展趋势、科学判断时代主题和时代特征、深刻把握人类社会发展规律的基础上形成并不断发展的。（2）历史条件：中国特色社会主义理论体系是在认真总结我国社会主义建设正反两方面的历史经验，科学判断党和国家发展所处历史方位的基础上形成并不断发展的。（3）实践基础：实践是理论创新的源泉。中国特色社会主义理论体系是在推进改革开放和社会主义现代化建设的伟大实践中，遵循实践、认识、再实践、再认识的规律，坚持不懈对实践经验进行科学总结的成果。11、邓小平理论的主要内容（1）社会主义初级阶段理论和党的基本路线初级阶段理论：中国正处在社会主义的初级阶段的论断，包括两层含义：第一，中国社会已经是社会主义社会，因此必须坚持而不能离开社会主义；第二，中国的社会主义社会还处在初级阶段，因此必须从这个实际出发，而不能超越这个阶段。正确认识中国社会所处的历史阶段，是在建设中国特色社会主义的进程中制定和执行正确的路线、方针和政策的根本依据。中国共产党根据马克思主义关于社会发展阶段的理论，总结中国社会主义建设的经验教训，从现实的国情出发，提出了中国正处在社会主义的初级阶段的理论。党的基本路线：领导和团结全国各族人民，以经济建设为中心，坚持四项基本原则，坚持改革开放，自力更生，艰苦创业，为把我国建设成富强、民主、文明的社会主义现代化国家而奋斗。（2）社会主义根本任务和发展战略理论     根本任务：发展生产力，党和国家的工作重点是经济建设     发展战略理论：“三步走”战略，第一步，到1990年，实现国民生产总值比1980年翻一番，解决人民的温饱问题；第二步，到20世纪末，使国民生产总值再增长一倍，人民生活达到小康水平；第三步，到21世纪中叶，人均国民生产总值达到中等发达国家水平，人民生活比较富裕，基本实现现代化。然后在这个基础上继续前进。（3）社会主义改革开放和社会主义市场经济理论（4）“两手抓，两手都要硬”“两手”：一手抓建设，一手抓法制（5）“一国两制”和祖国统一（6）中国特色社会主义外交和国际战略（7）党的建设理论党的建设是指党为保持自己的性质而从事的一系列自我完善的活动，不仅包括党务工作，还包括党的政治建设、思想建设、组织建设、作风建设、纪律建设和制度建设等。，党的建设就要推进到什么阶段。这是加强党的建设必须把握的基本规律。12、学习毛泽东思想的意义毛泽东思想是马克思列宁主义基本原理和中国革命具体实际相结合的产物，是中国共产党人集体智慧的结晶。历史地位：马克思主义中国化时代化的第一个重大理论成果；          中国革命和建设的科学指南；          中国共产党和中国人民宝贵的精神财富。,0,0,0,甘肃,甘南藏族自治州,甘肃,中国
2,5048353662697987,管综写作蓝胖子,2024-06-23 09:06:10,管综写作#管综写作##mpacc# 经典案例一：成功与战略名言警句：•“成功不是将来才有的，而是从决定去做的那一刻起，持续累积而成。”典型事例：•苹果公司：自乔布斯回归后，苹果通过精准的产品定位和战略调整，成功推出了iPod、iPhone和iPad等一系列革命性产品。截至2023年，苹果公司的市值已超过2万亿美元，成为全球最具价值的公司之一。,0,1,0,湖北,武汉,湖北,中国
2,5048154829097806,小殊的阅竹随笔,2024-06-22 19:56:04,毛泽东主席，字润之，笔名子任（1893年12月26日-1976年9月9日）。中国人民的领袖、导师，马克思主义者，伟大的无产阶级革命家、战略家、思想家、理论家、中国共产党、中国人民解放军和中华人民共和国的主要的关键缔造者和领导人，诗人，书法家、社会主义最后一位最伟大的世界人民革命导师。青年时代，加入湖南新军，在长沙创办《湘江评论》。1920年发起组织新民学会和俄罗斯研究会，积极宣传马克思主义，在湖南创建共产主义组织。后领导长沙、安源等地的工人运动。1923年6月参加中央领导工作。国共合作期间受孙中山先生器重，当选国民党中央候补执行委员，任国民党宣传部代理部长。国共合作破裂后，提出“枪杆子里面出政权”的著名论断。后到湘赣边发动和领导秋收起义，在三湾对革命的旧式军队进行整训改编，率部上井冈山开展武装斗争。1930 年起领导红军先后粉碎了国民党四次大规模军事“围剿”，后因路线原因被免除职务，由博古、李德等指挥第五次反围剿，导致红军全面溃败，被迫长征，湘江血战后，中央红军及军委纵队仅存3万余人。遵义会议后，重新确立了毛泽东的领导地位，通过指挥四渡赤水、飞夺泸定桥、血战腊子口等战役，其力挽狂澜带领红军成功摆脱围剿，为中国革命保留了火种。抗日战争全面爆发后，领导人民开展敌后游击战争，建立抗日根据地，批判了亡国论、速胜论的错误思想。1942年领导延安整风运动，使中共在思想、政治、组织达到高度统一。全面内战爆发。毛泽东指挥辽沈、淮海、平津三大战役取得了战略决战胜利。接着号召“将革命进行到底”，发动渡江战役，推翻了国民党政府。10月1日在北京天安门向全世界庄严宣告中华人民共和国成立。新中国建立后迫于美国主导的联合国军攻入北朝鲜、威胁中国东北部的形势，毛泽东同志力排众议，进行了抗美援朝战争，同时迅速恢复了国民经济。从50年代末领导中苏论战，预言了苏修政权的灭亡。60年代重返井冈山，走出滴水洞，对工作人员讲“我又要带你们长征了”，在威望空前高涨的时刻，没有选择全身而退，而毅然发动了令人深思的斗私批修的文化革命，70年代提出三个世界划分，与数百个国家建交。他主导的经济和自主工业建设、扫盲教育、兴修水利福泽人民。主要著作收入《毛泽东选集一至五卷》、《毛泽东文集八卷本》、《毛泽东年谱》等。#无水印壁纸##读书##记录生活##小红书精选##历史##历史故事#,0,0,6,北京,,北京,中国
2,5048050877992929,电网头条,2024-06-22 13:03:00,【#大国重器特高压# ：陕电入鄂 “高速”升级丨“四个革命、一个合作”能源安全新战略国网实践】从塞上明珠到荆山楚水，有这样一项特高压工程，架起陕鄂电力输送大通道，源源不断的清洁电力，为华中地区能源低碳转型注入澎湃动能。详情见：大国重器特高压：陕电入鄂 “高速”升级丨“四个革命、一个合作”能源安全新战略国网实践 ,4,3,7,,,北京,中国
2,5048014636843655,湛卢师叔,2024-06-22 10:39:00,#中国革命史珍贵影像资料##红色教育#   战略问题包括战争、战役、战术、战斗、宣传动员。 ,0,0,8,浙江,金华,浙江,中国
2,5047989724515946,山东环境,2024-06-22 09:00:00,#绿色低碳高质量发展#【我国能源发展取得历史性成就】能源是经济社会发展的重要物质基础和动力源泉，攸关国计民生和国家安全。党的十八大以来，习近平总书记高度重视能源工作，2014年6月提出“四个革命、一个合作”能源安全新战略，为新时代中国能源高质量发展提供了根本遵循。@光明日报 我国能源发展取得历史性成就,12,8,5,,济南,山东,中国
2,5047746094437223,刘幸福nini,2024-06-21 16:51:54,20240621俄罗斯和越南签订全面战略伙伴关系协议，美国和越南签订全面战略伙伴关系协议，中国和越南签订全面战略合作伙伴关系。革命斗争的首要问题是搞清楚谁是敌人，谁是朋友？ ,0,0,0,北京,,北京,中国
3,5047717934402755,首都专家微博群,2024-06-21 15:00:00,#宣讲家课件# 【坚守国际科技创新中心战略定位 推动北京产业转型升级】面对新一轮科技革命和产业变革的发展机遇，创新作为国家经济发展和文明建设的重要驱动力，在充分发挥教育、人才、科技等领域的优势作用，培育发展新质生产力，实现产业转型升级等方面起到重要引领作用。网页链接 ,0,0,0,,北京,北京,中国
3,5047714952254276,湖北生态环境,2024-06-21 14:48:09,【流域治理 绿动楚天阔——湖北加快建成中部地区崛起重要战略支点述评之二】“建成支点、走在前列、谱写新篇”引领湖北发展方位，也事关国家发展全局。四化同步发展是中国式现代化的必然要求。绿色低碳发展是一场发展观的深刻革命，更是中国式现代化的鲜明底色。以水为纲，山水共治，统筹保护与发展。湖北以流域之治推进四化同步发展，以“保护就是发展”为理念追求，在治水兴水中走向人与自然和谐共生。 湖北加快建成中部地区崛起重要战略支点述评之二,5,0,0,,武汉,湖北,中国
3,5047672635395099,购车帮帮忙,2024-06-21 12:00:00,#奥迪A8L与时间同行#在全球科技革命和产业变革深入发展的大背景下，如何在新一轮发展中赢得战略主动权？百年老牌车企奥迪选择坚持长期主义，以时间沉淀价值的理念，为用户持续创造新的高品质出行方式。作为奥迪品牌的旗舰，奥迪A8L家族经历了30年岁月的磨砺，用传承和不断创新来传达数十年岁月历练出的经典品牌价值。奥迪的坚持和进取让奥迪A8L一次次刷新了豪华D+级车市场的行业标准，带给时代领创者们高端、豪华的移动出行体验。追本溯源，奥迪的目标坚定而执着，在时间的见证下沉淀出品牌价值，奥迪A8L让我们深刻意识到时间沉淀价值，只有坚持长期主义，无畏人生直面困境，才是豪华车永恒的本质。#刘德华的年中讲#,57,31,193,北京,北京,北京,中国
3,5047699019926486,海州宣传,2024-06-21 13:44:51,【做好迎峰度夏能源电力保供 加快构建新型能源体系 为高质量发展提供安全可靠能源保障】#新时代六地辽宁杠杠滴##振兴新突破辽宁杠杠滴#6月20日，省委副书记、省长李乐成到部分能源电力保供单位和企业调研，看望一线干部职工。他强调，要深入贯彻落实习近平总书记“四个革命、一个合作”能源安全新战略，按照省委工作要求，坚持高质量发展和高水平安全良性互动，既立足当前做好迎峰度夏能源电力保供，又着眼长远加快建设新型能源体系，为辽宁高质量发展提供安全可靠的能源保障。李乐成首先来到国家能源局东北监管局，听取今年我省迎峰度夏能源电力保供等情况介绍，希望国家能源局东北监管局充分发挥监管职能，持续推动数字化监管，在外送通道建设等方面给予支持，不断夯实能源保供基础。随后，他走进国网辽宁省电力有限公司、国家电网有限公司东北分部的电力调度控制中心，通过大屏幕察看电力供应保障实时数据，详细了解全省重大电网项目建设、能源结构转型等情况，希望企业精准合理调度电力，全力保障正常生产生活用电，坚决守住不发生拉闸限电的底线。大力推进电源电网建设，统筹发展风电、光伏发电、抽水蓄能等清洁能源，以高质量电力供给为推动高质量发展、创造高品质生活充电赋能。李乐成在调研时指出，辽宁高质量发展离不开能源电力保障。各相关单位和企业要坚决扛牢能源电力保供重大责任，坚持以人民为中心的发展思想，树牢底线思维，强化问题导向，全力完成迎峰度夏能源电力保供任务，扎实推进能源绿色低碳转型。要积极转变理念，坚持民生优先，着力降低用电成本，增强企业和群众获得感，更好助力全省营商环境改善和竞争力提升。要坚持供需两侧协同发力，既要抓供给侧保供，又要抓需求侧管理，加强能源供需动态监测和分析研判，做好工作协调，确保实现供需平衡。要强化电力安全生产管理，深入开展风险隐患排查治理，做细做实工作预案。要深化大数据分析应用，善于对数据作结构性分析，为经济运行分析提供数据支撑。要有序推进电力项目建设，加快建设风光火核储一体化能源基地，着力增强能源供应的稳定性、安全性、可持续性，全力打造清洁能源强省。（辽宁日报）,0,0,0,,阜新,辽宁,中国
3,5047656529266052,贵州大数据微博,2024-06-21 10:56:00,#数说贵州# 【刘烈宏出席2024世界智能产业博览会开幕式并致辞】6月20日，国家数据局党组书记、局长刘烈宏出席2024世界智能产业博览会开幕式。他指出，人工智能已成为引领科技革命和产业变革的战略性新兴产业，具有溢出带动性强的“头雁”效应，对于智能产业发展具有举足轻重的作用。大模型作为新一代人工智能技术发展的重要方向，已成为数字经济高质量发展的新引擎。一方面，要加快推进大模型基础设施化，促进行业应用和中小企业普惠使用，不断繁荣创新应用生态；另一方面，要加快推进通用大模型赋能千行百业，不断推动行业大模型百花齐放。详情戳&gt;&gt;&gt;网页链接 via.国家数据局,0,0,0,,贵阳,贵州,中国
3,5047639307193912,网信驻马店,2024-06-21 09:47:34,#央广时评#法治网事③【#让数字经济在法治轨道上行稳致远#】当今时代，数字技术、数字经济是科技革命和产业变革的先机，发展数字经济是我们在新一轮国际竞争赢得主动权的战略选择。在这一新兴领域，新业态、新技术、新产品、新模式频出，跨界混业经营模式特征明显，不仅涉及经济运行的基本制度，也关系到广大网民的公民权利，必须要在明确的法治体系护航之下高效运行。加快发展数字经济，是建设网络强国、数字中国的必然要求。近年来，我国数字经济发展速度迅猛，成就举世瞩目，已成为加速生产要素流动、提升市场配置效率、驱动传统产业转型升级、推动生产方式变革，为实现高质量发展、造福人民群众生活的重要驱动力量。目前，我国数字经济规模已超50万亿元，占GDP比重提升至41.5%。但我们同时也要看到，在数字经济的发展过程中，以“深度伪造”“信息茧房”“大数据杀熟”“算法歧视”等为代表，陆续出现了市场主体无序竞争、侵犯消费者隐私、利用技术优势违法乱纪等不少乱象，倘若不加以规范，势必影响到数字经济的长期健康发展。国无法不治，民无法不立。如果说迭代更新的数字技术是数字经济的“发动机”，那么法律法规就是数字经济前进的“方向盘”。顺应数字经济的发展需要，我国积极推进数字经济方面的立法，陆续制定了民法典、电子商务法、电子签名法、网络安全法、数据安全法、个人信息保护法等“一典五法”，为数字经济发展提供了基础性的法治保障。从数字经济未来健康可持续发展来看，我们要持续不断地健全法律法规和政策制度，提升立法的全局性和系统性、前瞻性和战略性、针对性和有效性，继续提高我国数字经济治理体系和治理能力现代化水平。徒法不足以自行，数字经济能否在法治轨道上运行，关键在人。面对数字经济发展过程中暴露出的新情况新问题新矛盾，执法机关和司法部门的执法理念、执法水平要跟上数字经济发展的步伐。一方面要善学善用数字技术，通过大数据、云计算等第一时间发现问题，并大力推进数据分析、信息共享等方面的工作，以期实现更高效的监督监管，将问题解决在萌芽之中。另一方面，要用好用足数字经济现有的法律法规，对恶意破坏市场秩序、损害人民群众利益、挑战法律权威的市场主体，坚决依法依规处理。数字经济越是先进、越是重要，越要在法治的轨道上运行，不能有任何侥幸心理，更不能越过法律红线。我们要建设更为科学高效的网络环境、法治环境，发挥好法律固根本、稳预期、利长远的保障作用，让数字经济始终在法治轨道上行稳致远。（央广网特约评论员 贾亮）,1,2,5,,驻马店,河南,中国
