页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048745383431441,珠山茶艺馆-仓库管理员,2024-06-24 11:02:43,南京·珠山茶艺馆 📢珠山茶艺馆，你不可错过的绝佳之选📢在南京下关，有一个独特的地方——珠山茶艺馆。它坐落于古外秦淮河入江口，地理位置绝佳。紧临着庄严的革命教育基地渡江胜利纪念馆，在这里，你能感受到浓厚的历史气息与坚定的信仰力量。同时，它还比邻南京名校树人中学，文化氛围十分浓郁。这是一家集茶艺、餐饮、文创、艺术品鉴赏以及休闲于一体的品牌老店。在这里，你可以畅游独特的江淮美景，沉浸在那如诗如画的氛围中。来珠山茶艺馆，品一杯香茗，让茶香在唇齿间流转；尝一尝美食，满足味蕾的享受；赏一赏文创，感受艺术的魅力。无论是宴请宾客，还是与好友聚会，这里都是最理想的好地方，能让你体会到深深的人文价值。珠山茶艺馆，期待您的光临，一同领略这与众不同的美好体验。💖#珠山茶艺馆 #下关美景 #渡江胜利纪念馆 #树人中学 #茶艺餐饮文创,0,0,0,江苏,南京,江苏,中国
2,5048716834638369,杨小七游记,2024-06-24 09:09:17,#知旅中国# /红色修水：修水铸造了秋收起义的“三个第一”丰碑，全县有红色革命遗址遗迹60余处，秋收起义修水纪念馆是全国爱国主义教育基地。修水历史悠久，文化底蕴深厚，是北宋“诗书双绝”黄庭坚、近现代“陈门五杰”等文化名人的故里。@中国城知旅杂志,1,0,1,北京,,北京,中国
2,5048642480636194,邹城市图书馆,2024-06-24 04:13:49,寻访革命遗迹，铭记初心使命 尼山区红色教育基地 鲁南人民抗日游击总队纪念馆 越峰村忠魂谷 林丰村革命遗迹 ,0,0,0,,济宁,山东,中国
2,5048351654937374,忠明法师,2024-06-23 08:58:11,喝水不忘挖井人，新中国幸福生活来之不易！今年是建国七十五周年，参观渡江战役纪念馆与革命爱国主义教育基地🙏 ,1,0,4,四川,成都,四川,中国
2,5048262249939482,红安县革命传统教育基地接待中心,2024-06-23 03:02:55,走进中国第一将军县湖北红安开展红色主题活动 红安革命传统教育基地首家红色接待中心 O7I3-535I688#红安干部教育基地# 黄冈·红安 ,0,0,0,湖北,黄冈,湖北,中国
2,5048178476846395,香山革命纪念馆,2024-06-22 21:30:02,6月21日下午，2024“‘京’彩文化 青春绽放”行动计划“红色行”之流动的爱国主义教育课堂——北京爱国主义教育基地精品展览进校园项目走进北京印刷学院。香山革命纪念馆“永葆青春活力——香山时期中国共产党自我革命实践专题展览”图片展在北京印刷学院新创大厦一层红色出版展厅展出。#香山革命纪念馆#  【“京”彩行动】“永葆青春活力”主题巡展走进北京印刷学院,0,0,0,,北京,北京,中国
2,5048094750938787,滁州文化旅游,2024-06-22 15:57:20,#皖美夏日##520安徽文旅惠民消费季# 【龙岗古镇红色文化园】龙岗古镇红色文化园位于天长市铜城镇，古称“芙蓉冈”，有“千年古镇”、“皖东水乡”、“状元福地”、“革命摇篮”之称。这里是“中国人民抗日军政大学第八分校”所在地，是全国国防教育示范基地、安徽省重点文物保护单位，也是国家AAA级旅游景区。#西南政法大学设立显松自强不息奖#,1,4,5,,滁州,安徽,中国
2,5048070792546364,长治市消防救援支队,2024-06-22 14:22:08,【#壶关县消防组织队员参观红色基地#】为进一步深化全体消防救援人员理想信念，教育引导全体消防救援人员向革命先辈学习，继承发扬优良革命传统，忠诚履行职责使命，6月21日，长治市壶关县消防救援大队组织队员参观红色基地，重温老一辈革命先辈的艰辛历程，传承红色精神。 ,11,6,16,,长治,山西,中国
2,5047955000131696,赵林-甘露公益,2024-06-22 06:42:01,【南梁革命纪念馆】南梁革命纪念馆，矗立在甘肃省庆阳市华池县，诉说着那段波澜壮阔的革命历史。馆内珍藏了众多珍贵文物，展览生动再现了南梁革命的峥嵘岁月。作为全国爱国主义教育示范基地，这里不仅是历史的见证，更是精神的传承。每天，成千上万的游客来到这里，感受那份红色记忆，汲取前行的力量。南梁革命纪念馆，铭记历史，传承精神，让我们不忘初心，砥砺前行。#万千气象看甘肃# #厚道甘肃# #庆阳老区气象新# 庆阳,4,12,8,甘肃,兰州,甘肃,中国
2,5047799679030384,九哥行者,2024-06-21 20:24:50,富平（古称频阳），一个人口仅60万左右的渭北小县城，近几年陆续🈶了高铁、地铁，恢复了2河绕城景观公园，🈶唐5帝陵园，有大国重器大飞机制造工业（西飞制造基地），也是著名的革命老区与红色教育基地。 九哥行者的微博视频 ,0,0,1,陕西,宝鸡,陕西,中国
