页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5005368679465134,ZZU寒假实践小队,2024-02-25 18:19:10,#郑在实践##时代有我豫有样# @郑州大学青年集结号 @郑州大学  @河南共青团 @豫教思语 @郑大材料青年团 郑州大学为体悟革命历程，弘扬革命精神，了解并改善红色革命教育基地的发展现况，使其更好地发挥育人作用，弘扬中华优秀传统文化，推动各类文化传承，郑州大学材料科学与工程学院&quot;踏寻革命足迹，传承民俗文化&quot;2024寒假社会实践团队来到了河南省登封市袁桥古村进行实践调研活动。在进行实践活动前，我们通过各种媒体报道了解到袁桥古村的发展现状，并与当地工作人员取得了联系。2024年1月20日，我们来到袁桥古村，在袁桥古村工作人员以及当地村民的带领和介绍下，我们深入了解了袁桥古村的四大名片：登封红一大、中原古村落、河南孝贤村、千亩梨树园，参观了袁桥农耕博物馆，目睹了百年古村落焕发出新光彩。最后，我们自由参观，相互表述了自己对袁桥古村传承发展的见解，提出了例如袁桥古村为何能走出如此乡村振兴之路，新时代青年如何在其中发挥作用等问题，并通过激烈的讨论得出了结论。在大家的积极分享中，本次活动圆满结束。在之后的寒假中，我们对此次寒假实践活动进行了总结和宣传。,0,3,5,河南,郑州,河南,中国
2,5004162292779531,瞎想的神经元,2024-02-22 10:25:26,中国的未来发展路径：世界工厂（国内房地产）--新工业（包括新能源、新材料以及人工智能）--金融教育及服务业--新技术革命；任何经济社会的发展脱离不了发展周期，产业发展-产能过剩-新产业（旧产业转移）；技术是第一生产力，在全球一体化的时代，GDP发展必然是从低向高处越迁，必然遭到山顶人的围堵。,0,0,0,江西,景德镇,江西,中国
2,5003900622471619,博物南京,2024-02-21 17:05:38,#渡江胜利纪念馆##红色典藏##革命文物##军纪#这是解放战争时期，中国人民解放军在渡江战役前后颁发的《军队礼节暂行规定之一部》，由中原军区军事政治大学第一总队教育处编印。主要内容是对军人的礼仪规定，包括站姿、敬礼等细则要求。该规定为渡江战役前夕解放军颁发的整训动员材料，体现了人民解放军军纪严明。,0,0,3,,南京,江苏,中国
2,4998363011351062,木子航lh,2024-02-06 10:21:09,姚文元报送的《为创办社会主义理工科大学而奋 斗》和《上海理工科大学教育革命座谈会纪要》两份材料。第一份材料由驻清华大学工人、解放军毛泽东思想宣传队提出，主要讲如何走上海机床厂从工人中培养技术人员的道路，办好社会主义的理工科大学。这份总结材料共六个部分:(一)工人阶级必须在斗争中牢牢掌握教育革命的领导权。(二)对原有教师坚持边改造、边使用，建立三结合的教师队伍。(三)开门办学，厂校挂钩，校办工 厂，厂带专业，建立教学、科研、生产三结合的新体制。(四)培养 工农兵学员，必须坚持以阶级斗争为主课，坚持理论与实践的统一。 (五)大破买办洋奴哲学、爬行主义，编写无产阶级新教材。(六)结合生产、科研任务，坚持群众路线，实行新的教学方法。第二份材料介绍了一九七〇年六月二日上海召开理工科大学教育革命座谈会的情况。这次会议主要座谈了两个问题:一是对清华大学教育革命总结材料的感想和意见。二是上海有关大学和工厂的教育革命经验、体会以及需要研究、讨论的问题。这两份材料，发表在七月二十一日出版的《红旗》杂志第八期和七月二十二日《人民日报》。 绿洲,0,0,0,山东,烟台,山东,中国
2,4975523359622849,延安生态环境,2023-12-05 09:44:32,市生态环境局党组开展主题教育现场教学活动根据党组主题教育工作安排，11月30日，市生态环境局县级领导、机关党委各党支部书记及党小组组长到延安革命纪念馆、延安新材料产业园区开展主题教育现场教学活动，重温党的历史，瞻仰革命旧址，进一步体悟党的光荣革命传统，深刻感悟习近平新时代中国特色社会主义思想的真理力量和实践伟力，不断增强坚定拥护“两个确立”、坚决做到“两个维护”的政治自觉、思想自觉、行动自觉。在延安革命纪念馆，大家认真聆听中国共产党领导和带领全国人民取得解放战争、抗日战争胜利的光辉历史，缅怀老一辈革命家的丰功伟绩，深刻领悟延安精神的时代价值及丰富内涵，接受了一次深刻的革命传统教育，重温了习近平总书记在瞻仰延安革命纪念地时的重要讲话精神。大家表示，要坚持学好用好习近平新时代中国特色社会主义思想，坚持用“延安精神”滋养初心、淬炼灵魂，认真贯彻落实习近平总书记历次来陕考察重要讲话重要指示，始终在政治立场、政治方向、政治原则、政治道路上同以习近平同志为核心的党中央保持高度一致。在延安新材料产业园区，大家实地察看园区标准厂房、配套设施建设进展情况，详细了解了低碳近零碳园区试点项目建设情况和入园企业发展情况。大家表示，要认真落实中省市关于碳达峰碳中和部署要求，以经济社会发展全面绿色转型为引领，以减污降碳协同增效为抓手，以能源绿色低碳高效利用为重点，推动煤油气等传统产业绿色发展，推进清洁能源转化替代，积极开展零碳近零碳排放试点示范建设，充分发挥试点示范的引领带动作用，助推我市经济社会绿色低碳高质量发展。市生态环境局将把学习贯彻习近平新时代中国特色社会主义思想作为长期任务，用好延安丰富的红色文化资源和历史文化资源，持续在以学增智上求深入、见实效，持续从党的科学理论中悟规律、明方向，准确把握生态环境保护面临的形势任务，从党的光荣传统中受洗礼、强信念，不断提振干事创业的信心和决心。同时，紧紧围绕新时代延安加快中国式现代化建设“一六四”工作布局，深入学习贯彻落实习近平生态文明思想，持续深入打好污染防治攻坚战，扎实推动绿色低碳高质量发展，深入开展生态环境保护督察执法，加快健全现代化环境治理体系，以高品质生态环境支撑高质量发展，努力建设人与自然和谐共生的美丽延安。来源：市局党办  李佩琳,1,0,0,,延安,陕西,中国
2,4962316996576502,心企投行札记,2023-10-29 23:07:10,#培训与教育# 君子不器什么是“器”？就是依靠专一技能糊口的人。这样的人，对应到今天就是司机、码农、社畜、写材料的，在领导眼里与“器物”无异。孔子说这样的人没有前途，君子要避免成为这样的人。“好学生” 们恰恰是被现代教育所“器化”的人。自从工业革命以后，现代教育的目的就是培养专才、尽可能地把人“器化”，成为听话又好用的劳动工具。孔子讲“君子不器”，就是讲君子不能把注意力放在学专技，而要学驭人之术——这正是“好学生”们所忽视的。 为什么“好学生”反而混不好？,0,0,0,上海,上海,上海,中国
2,4945105938286210,冰曦微吟,2023-09-12 11:16:34,【冯淼｜革命与圣火：女工夜校与二十世纪三十年代上海的劳工教育】本文聚焦基督教女青年会建立的工人夜校，结合基督教青年会和左翼革命文艺大众化运动的档案材料与研究，也运用了女工夜校学生、教师的回忆录，深度跟踪女工夜校建立以及发展过程中师资来源的变化，聚焦夜校教师与学生的互动，识别劳工教育如何发生及其意识形态内涵。并试图说明，女工夜校的成功之处在于其建立和发展过程融合了女青年会内部的进步主义力量和此时隐匿在城市中的左翼革命文化力量。同时，左翼革命知识分子的教育实践深刻改变了夜校教育的内容和形式，使得女工夜校的劳工教育更具革命性。冯 淼｜革命与圣火：女工夜校与20世纪30年代上海的劳工教育,0,0,0,浙江,杭州,浙江,中国
2,4940720844049040,山西教育杂志社官博,2023-08-31 08:51:46,#山西教育早知道# 【省委副书记、省长金湘军调研国科大太原能源材料学院建设】8月30日，省委副书记、省长金湘军深入中国科学院大学太原能源材料学院，现场调研指导推进学院建设等工作。他强调，要深入贯彻习近平总书记考察调研山西重要讲话重要指示精神，扛牢抓实开展能源革命综合改革试点重大使命，落实省委、省政府决策部署，进一步凝聚四方共建合力，深化科教融合，加快将学院打造成为能源科技创新突破的重要策源地，推动“四个革命、一个合作”能源安全新战略在山西落地生根、取得丰硕成果。详情戳☞金湘军调研国科大太原能源材料学院建设,5,1,1,,太原,山西,中国
2,4937927013958012,清华经管学院高管教育中心,2023-08-23 15:50:04,科技革命和双碳目标催生新基础设施时代，中国现代化产业体系建设正面临历史性机遇。以物联网、新材料、人工智能代表的新技术，催生产业新业态，塑造市场新格局。在技术创新引领下，我国高端装备和汽车产业链不断完善，全球优势不断拓展。围绕这些问题，清华大学经济管理学院高管教育中心举办EE产业周之“数·聚价值 智·造未来”高峰论坛，汇聚智能制造、新能源和智能网联汽车等产业从业者和前沿研究专家，探讨数字化变革下的制造业智能转型，汽车产业链、价值链创新方向，推动完善现代产业体系建设以更好迈向制造强国、汽车强国。  清华经管学院高管教育中心的微博直播 清华EE产业周 | 数聚价值 智造未来,21,0,1,北京,,北京,中国
2,4935367645724843,济南教育电视台,2023-08-16 14:20:03,#大学生暑期社会实践##追梦青年强国有我#  【踏志愿之行，立青春之志】2023年7月7日枣庄学院化学化工与材料科学学院奔赴山东省滕州市滨湖镇南陈村，开展大学生暑期“三下乡”社会实践活动。本次活动旨在发掘红色文化的教育意义，了解革命故事，弘扬红色精神。同时将继续带领实践团队增强红色文化的知识储备，结合自身专业优势把红色基因带进千家万户，以实际行动展现枣庄学院化工院学子的独特魅力，让青年的声音为讲述红色文化而发、为回答时代之问而鸣，为民族复兴伟业注入青年力量。实践团队将赓续红色精神，砥砺奋进力量!@枣庄学院团委 @枣庄学院,0,0,1,,济南,山东,中国
