页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5042570770252711,中国文博,2024-06-07 10:07:01,#文物动态#6月6日，由国家文物局指导，四川、陕西、重庆三省（市）文物局共同主办的川陕革命文物保护利用片区工作联席会议在四川仪陇召开，国家文物局副局长罗文利出席会议并讲话。罗文利强调，川陕片区革命历史厚重，红色资源丰富，要深化价值研究，挖掘革命精神，加强川陕片区文物文献、史料档案、口述资料的调查、征集、梳理，深入挖掘革命文物背后的历史故事和精神内涵。要加强系统保护，构建大保护格局，统筹实施一批片区连片保护、整体展示、环境整治、保护性设施建设项目，加强对革命旧址历史环境的研究和识别，维护历史真实性、风貌完整性。要提升展示水平，讲好革命故事，建立片区主题革命旧址展示体系，打造片区革命场馆展陈精品，突出本土化、特色化，丰富史料、实物展示，增强历史感、现场感。要强化保障力度，形成工作合力，深化协同保护机制，保障片区规划落实落地。川陕革命文物保护利用片区为中央宣传部、财政部、文化和旅游部、国家文物局公布的第一批革命文物保护利用片区之一，涉及川陕渝三省（市）62个县（市、区）。,1,0,4,,,北京,中国
2,5041312940425520,广州市情,2024-06-03 22:48:50,5月31日，市委党史文献研究室召开党纪学习教育专题读书班，套开市委党史文献研究室理论学习中心组第6次集体学习扩大会，集中一天时间深入学习贯彻习近平总书记关于加强党的纪律建设的重要论述精神、党的建设和党的自我革命的重要思想，认真学习新修订的《中国共产党纪律处分条例》（以下简称《条例》），围绕组织纪律、廉洁纪律进行集体学习研讨。室主任、一级巡视员黄小晶主持读书班集体研讨并讲话。室领导胡巧利、常国光、刘新峰、罗满园及全体党员干部50多人参加学习。读书班采取个人自学、辅导教学和集体研讨相结合的方式进行。31日上午全体党员干部个人原原本本学习《条例》，并通过广东省干部培训网络学院学习《习近平总书记关于严明党的纪律和规矩的重要论述》辅导讲座。在集体研讨环节，室主任黄小晶传达学习了习近平总书记在重庆、山东考察时关于开展党纪学习教育的重要讲话精神。副主任胡巧利，一级调研员贺红卫、张书英、谢建新、李启伦，年鉴工作处处长张丽蓉围绕学习《条例》的组织纪律、廉洁纪律作专题研讨发言。副主任胡巧利结合学习《条例》内容，从学习贯彻、领会理解、适用范围和严格执行方面阐述了加强《条列》学习的重要性和必要性，指出学习贯彻《条列》是一项重要的政治任务和政治要求，严格的党纪法规是对每一名干部的关心爱护，要严格遵守、彻底贯彻。一级调研员贺红卫从部门职能、岗位职责、个人行为三个层面，提出党史文献部门要加强党的纪律建设史研究，党员干部要把条例的学习贯穿于工作全过程全方位，贯穿于日常生活和人际交往中。一级调研员张书英围绕《条例》的组织纪律，分析了民主集中制、选人用人、党员权利、出入境等规定和要求，指出要以《条例》为标尺从严检身正己，把他律转化为自律，把遵规守纪刻印在心、落实在行动。一级调研员谢建新围绕《条例》第七章第七十八条、第七十九条和《党章》第三条关于对不落实组织决定行为的处分规定相关内容，指出党组织纪律是严肃的，是处理党组织之间和党组织与党员之间关系的纪律，执行党的决定，服从组织，积极完成党的任务是每一名党员必须履行的义务。一级调研员李启伦认为廉洁纪律是各级组织和全体党员在从事公务活动或者其他活动中应当遵守的廉洁用权的行为规则，《条例》明确了对各类违反廉洁纪律行为的处分规定，需要熟悉各内容要求并贯彻落实，杜绝一切违规行为，不用公权谋私利。年鉴处处长张丽蓉认为党的政治纪律和组织纪律是党的生命线，也是党外干部必须遵循的纪律规范，违反组织纪律行为是对党的团结统一领导的严重破坏，要结合我们史志单位工作实际深刻领会遵守党纪党规的重要性。黄小晶主任总结并强调，要深入学习领会习近平总书记关于加强党的纪律建设的重要论述精神，加强警示教育，以案促学，以案说纪，引导党员、干部守住法纪底线、守住公私边界、守住权责边界，真正把纪律规矩转化为政治自觉、思想自觉、行动自觉，真正让心存敬畏、手握戒尺成为日常自觉，在遵规守纪前提下，放手干事、锐意进取、积极作为。为推动学习好宣传好贯彻好《党史学习教育工作条例》，推动开展“广州党史，我来讲”“广州故事，我来讲”“新时代，我来讲”活动，学习会上，还学习交流了我室宣教展陈部党支部5名党员自编自讲自拍的5个微视频。,0,0,0,,深圳,广东,中国
2,5040397755878457,麒璁,2024-06-01 10:12:14,#微博知识+##儿童节# 70年代的上海：计划生育有哪些好处？英国伦敦的威斯特敏斯特大学（University of Westminster）中国视觉艺术文献中心（China Visual Arts Project Archive）收藏有一幅“文革”时期的计划生育海报《为革命实行计划生育》（Put birth control into practice for the revolution），作于1974年，构图设计非常仔细。海报主体部分是一个写实风格的女性妇幼保健工作者，她左手举《计划生育手册》，右手持口服避孕药，身上的围裙写着“抓革命，促生产”的口号。图像下部是巨大的“为革命实行计划生育”海报主题。海报的背景部分是民间木刻图画与相关标语。左边描绘了计划生育后的女性家庭生活，三个小图分别对应“有利于学习马列主义、毛泽东思想”“有利于教养后代”和“有利于妇女、儿童的身体健康”；右侧两个小图分别对应“有利于'抓革命，促生产，促工作，促战备'”和“有利于民族的繁荣”。图像与文字相互呼应，背景与前景相辅相成，形成了一套严密的视觉体系。这个海报的尺寸为77.6 cm × 54.2 cm，由上海市印刷一厂印制，新华书店上海发行所发行；1974年3月第1版，1974年8月第4次印刷，售价0.11元。1978年上海同一个发行方的另一幅计划生育宣传海报《计划生育好》（Birth control is a good thing），也是类似的构图和内容。画面主体是一位身着黄衣的劳动妇女手握“避孕片1号”药瓶，背景是红梅和麦子，旁边有《计划生育》和《计划生育常识课本》两本书。这两幅海报的相关标语也基本一样。1978年这幅海报下方的文字写着“（计划生育好）有利于学习马列主义毛泽东思想；有利于教育后代；有利于妇女儿仝[身]体伣康；有利于抓革命，促生产，促工作，促战备；有利于民族的[繁]荣；有利于移风[易]俗”。不过有趣的是，这幅海报用了二简字。这个1978年的海报由马泳春设计，尺寸为53.7 cm × 77.8 cm，印刷与发行方与上一幅一样；1978年2月第1版，1978年2月第1次印刷，售价也是0.11元。#历史云讲堂#,24,6,36,英国,,英国,英国
2,5039886098499952,育葵微博日记,2024-05-31 00:19:05,多年以后再次遇见：我很仰慕的历史文献收藏家、中国革命文献研究中心主任詹洪阁，彼此相聊甚欢。 沈阳·沈阳劳动模范纪念馆 ,0,0,6,辽宁,沈阳,辽宁,中国
2,5038763096937656,社会主义接班人_OmaRe,2024-05-27 21:56:41,内容资源“真实”建，满足广大党员个性化需求。编纂一批纸本教材。联合区委党史办，邀请党史专家、革命后人、民间学者等组成团队，收集整理有关革命历史的回忆录、革命人物传记、革命故事等红色文献资料，编纂《红色耀羊里》《红色塔子村》《嬴源》等纸质教材。开发一批常规党课。以区委党校师资为基础，结合各培训阵地特点，针对不同培训主体科学开发《党建引领奔小康乡村振兴共富裕》《扎根基层服务群众做党和人民信赖的法律服务工作者》《我心归处是人民》《扎根基层三十载愿将初心化痴心》等省市级优秀党课8堂。打磨一批视频教材。聚焦基层一线、先进典型、重要节点、重大活动，筛选硬事迹，切入小角度，提炼大主题，采取“中心主导+合作开发”和“广泛征集+技术支持+精品再造”两种模式，推出《一个老人的抗战纪念馆》《信仰如山》《乡医》等4部获得中组部奖项和50余部获得省市奖项的优秀党员教育片，定期向各基层党组织更新发放党员教育视频教材。,0,0,0,陕西,咸阳,陕西,中国
2,5038641330785291,国家图书馆出版社,2024-05-27 13:52:49,【新书 | 革命历史文献专题书目（1911—1949）（全三册）】  《革命历史文献专题书目（1911—1949）》（全三册）辑录1911年至1949年9月出版的革命历史图书13869种，约1.8万个版本，是一部大型的回溯性书目。涵盖国家图书馆、上海图书馆、南京图书馆、东北师范大学图书馆等58家单位的数据，著录题名、责任说明、版本、出版发行信息、内容提要、收藏单位等，信息详尽。本书对中华人民共和国成立以前革命历史图书出版情况进行全面、集中的展示，系统梳理这段时期革命历史图书的出版脉络，不仅能更好地对这批文献进行收藏、保护和整理、利用，同时充分展现了中国共产党英勇斗争的光辉历程，可为中共党史、中国近现代史等相关领域的研究提供专业文献支撑，为研究者爬梳史料提供指南，为革命历史文献的补藏、修复等原生性保护工作提供书目参照。新书 | 革命历史文献专题书目（1911—1949）（全三册） 新书 | 革命历史文献专题书目（1911—1949）（全三册）,0,0,0,,北京,北京,中国
2,5038591480957455,图林老姜,2024-05-27 10:34:44,2024年“革命文献与民国时期文献保护计划”专题培训班成功举办网页链接 网页链接 ,0,0,0,上海,,上海,中国
2,5038331020970119,Bigping-疯狗版,2024-05-26 17:19:46,在b站看几个小时的“诸君，且听龙吟”的视频泪流满面，感恩革命先烈、感恩强大的祖国❤️  然后打开文献检索继续骂骂咧咧 ,0,4,2,广东,广州,广东,中国
2,5037722068844839,龙吟读书,2024-05-25 01:00:00,数字经济发展的驱动力机制解释了数字经济为什么会产生以及数字经济为何能持续发展。大量研究文献证实，由新一代信息技术革命而形成的智能技术被普遍认为是数字经济发生和发展的基本动力。  ——《系统集成项目管理工程师教程》 ,0,0,0,浙江,杭州,浙江,中国
2,5037142330050899,赵皓阳-Moonfans,2024-05-23 10:36:20,当年中苏论战时期的文章看着真带劲，笔笔如刀、字字见血，看成打嘴仗的历史巅峰。引用一份当年在《人民日报》（一九六三年九月十三日）公开发表的历史文献：……把赫鲁晓夫捧到天上。他们把十月革命时还不是共产党员的赫鲁晓夫，把这个在国内战争时期的低级政治工作人员，吹捧成“红军的积极缔造者”[11]。　　他们把苏联卫国战争中的决定性战役的巨大功绩完全归功于赫鲁晓夫，说什么在斯大林格勒战役中“十分经常地听到赫鲁晓夫的声音”[12]，赫鲁晓夫是“斯大林格勒人的灵魂”[13]。　　他们把核武器和火箭技术的伟大成就，完全归功于赫鲁晓夫，说他是什么“宇宙之父”[14]。但是，谁都知道，苏联造成原子弹和氢弹，都是斯大林领导时期苏联科学技术人员和苏联人民的伟大成就。火箭技术也是在斯大林领导时期奠定基础的。怎么能够把这些重要历史事实一笔抹煞呢？怎么能够把一切功劳都归于赫鲁晓夫呢？　　他们把修正了马克思列宁主义基本原理、并且认为列宁主义已经过时的赫鲁晓夫，吹捧为“创造性地发展和丰富马克思列宁主义理论的光辉范例。”[15][11] 《生活为了人民》，1961年12月7日苏联《东方曙光报》[12] 《党创造和教养出来的》，1963年第二期苏联《鼓动者》杂志[13] 崔可夫在纪念苏联卫国战争二十周年大会上的讲话，1961年6月22日[14] 格·斯·季托夫1961年10月26日在苏共第二十二次代表大会上的发言[15] 柯西金1961年10月21日在苏共第二十二次代表大会上的发言,202,204,3126,河北,石家庄,河北,中国
