页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5044824165580993,胖到一百二二,2024-06-13 15:21:11,近期读书笔记一览（部分） p1-p6莫兰复杂性理论与教育问题 p7-p10佐藤学静悄悄的革命 p11-p14诺丁斯学会关心（前3章） p15-p16赵汀阳论可能生活（前2章，看的太累了，故弃） ,0,2,0,浙江,金华,浙江,中国
2,5044565392228503,通化发布,2024-06-12 22:12:55,"【孙简带领市委理论学习中心组成员集体参观廉洁教育馆】按照党纪学习教育有关安排，6月12日，市委书记孙简带领市委理论学习中心组成员来到通化市廉洁教育馆开展集体参观学习。他强调，要深入贯彻习近平总书记关于党的自我革命的重要思想和关于党纪学习教育的重要讲话重要指示精神，持续深化以案说德、以案说纪、以案说法、以案说责，引导党员、干部真正把纪律规矩转化为政治自觉思想自觉行动自觉，推动全面从严治党向纵深发展。市委副书记、市长高山参加活动。通化市廉洁教育馆以党的自我革命为主题主线，通过“永葆生机、自我净化”“全面从严、自我完善”“正风反腐、自我革新”“涵养正气、自我提高”四个篇章，充分展现了推动全面从严治党向纵深发展的最新成果，深入剖析了近年来反腐败斗争中查处的部分腐败分子典型案例。在讲解员的带领下，孙简等市领导回顾了党的自我革命百年奋斗历程以及近年来全市在党风廉政建设和反腐败斗争方面不断深入推进的举措与成效。面对集中展示的近年来全市违纪违法的典型案例，大家以此为镜、引以为戒，深切感受到党中央全面从严治党的坚定决心。孙简指出，要坚持不懈以习近平新时代中国特色社会主义思想凝心铸魂，切实提高政治判断力、政治领悟力、政治执行力，更加自觉坚定拥护“两个确立”、坚决做到“两个维护”。要深入学习贯彻习近平总书记关于党的自我革命的重要思想，牢记全面从严治党永远在路上、党的自我革命永远在路上，把严的基调、严的措施、严的氛围长期坚持下去，持续深化正风肃纪反腐，深化清廉通化建设。要大力弘扬清廉之风，养成俭朴之风，牢固树立正确权力观，筑牢思想防线，坚守法纪红线，夯实清正廉洁思想根基。要时刻绷紧纪律规矩这根弦，从反面典型案例中汲取教训，切实筑牢党员干部拒腐防变的堤坝。要注重从通化丰富红色文化中汲取廉洁营养,继续传承和弘扬东北抗联精神、抗美援朝精神，为东北全面振兴全方位振兴注入源源不断的精神力量。孙简强调，要强化党纪学习教育的组织领导，在压实责任、强化担当上下功夫，确保党纪学习教育取得扎实成效。要把开展党纪学习教育同落实党中央决策部署和省委工作要求结合起来，同巩固拓展主题教育成果结合起来，做到两手抓两促进，以高质量的工作成效检验学习党纪、执行党纪的成果。要教育引导广大党员干部强化纪律意识、加强自我约束、积极担当作为，为新时代通化绿色转型全面振兴作出新的更大贡献。",0,0,0,,通化,吉林,中国
2,5044151383493680,新京报,2024-06-11 18:47:48,【#学者郑永年谈当代大学教育#】@新京报 与今日头条邀请香港中文大学（深圳）校长学勤讲座教授、公共政策学院院长、前海国际事务研究院院长郑永年访谈，回忆他的高考经历，就当下的大学教育分享他的观察与思考。郑永年说，21世纪需要教育革命。他还提到“文科靠背诵无法解决社会问题，好的理论需要观察社会，关心现实”。 新京报的微博视频,10,2,21,,北京,北京,中国
2,5044061339910898,评点一哥,2024-06-11 12:50:00,看看国际上对毛主席的评价：革命家、政治家、理论家、思想家、哲学家、战略家、预言家、策略家、改革家、教育家、外交家、书法家、伟大的诗人、政治家和军事巨人、精神领袖、人类导师、思想明灯、建党之父、建军之义、中国之父、独立之父、游击战之父、中国革命之父、中国工业之父等。他们有专门机构研究伟人，都是佩服有加，折服得五体投地惊为天人！再看看我们自己这些跪x的洋x，白眼x的小丑玩意，吃饱饭沒事干，成天在网上肆意妄为抹黑污名化伟人，吃着饭砸着锅大放厥词，把×鄙无x演绎得淋漓尽致，把无知写在脸上，整天天花乱坠头头是道。试问：你有什么资格不尊仰？你哪一样能比过毛主席？你有什么理由诋毁他老人家？一个有伟人的民族，不知道尊重，不懂得珍惜、拥护、爱戴、崇仰！你们都不明白，是谁让你耕者有其田、人人有饭吃？是谁让中国人真正站起来的？你们的尊严是谁给的？是谁给你们的幸福？都是毛主席和成上万的革命先烈们用生命和鲜血千辛万苦换来的！数典忘祖不怕遭天x吗？公×洋x们：你们永远会受到人民的唾弃谴责的，你们的罪x将万x不复，你们注定是历史耻辱柱上的一员。,150,103,788,北京,北京,北京,中国
2,5043510355690538,生发微机,2024-06-10 00:20:35,主席那会儿，是真造反，造的还是统治阶级的反，讲的是无产阶级专政下继续革命的理论。现在这坨不让人说话的粉红，是躲在人堆里说着大概率不会被铁拳话的怂逼。 无产阶级退化至此，流水线教育功不可没。集体荣誉感熏出来的。 ,1,33,127,上海,,上海,中国
2,5042714414678328,水墨清丽的雨后,2024-06-07 19:37:47,#高考语文# 1.特点：跨学科，通识教育；答案多角度开放性，弱化答题模版，但要求思维严密性和表达准确性。2.指导思想：党的创新理论、革命文化和爱国主义精神、传统文化和优良品德、铸魂育人与青少年成长。3.能力：逐梦与探索，思辨和创新，综合与开放。4.教学指导：聚焦语言运用、教考衔接。#高考作文#,0,0,1,福建,漳州,福建,中国
2,5042184829011409,许昌发布,2024-06-06 08:33:25,根据市委党纪学习教育工作安排，6月4日，市委理论学习中心组围绕“廉洁纪律、群众纪律”举行集体学习研讨，学习习近平总书记《论党的自我革命》和《中国共产党纪律处分条例》关于廉洁纪律、群众纪律的有关要求。市委书记史根治主持会议并讲话。市领导刘涛、黄旭东、王志宏、刘保新、王自合、李海峰、王如厂、汤超、王富民等参加集体学习。会上，市委理论学习中心组成员进行了集体学习。史根治、王自合、李成、赵鹏、马浩、郭涛作交流发言，其他成员作书面发言。史根治指出，党纪学习教育开展以来，全市上下认真落实党中央决策部署和省委、市委工作要求，高标准、高质量开展各项工作，学纪、知纪、明纪、守纪的氛围更加浓厚。下一步，要深入学习领会习近平总书记关于全面加强党的纪律建设的重要论述，进一步强化纪律意识、加强自我约束、提高免疫能力，不断增强政治定力、纪律定力、道德定力、抵腐定力，推动党纪学习教育入脑入心、走深走实。史根治强调，一要处理好“公”和“私”的关系，做到不偏向、不越界、不出格。牢固树立和践行正确权力观，坚持“权为民所赋、权为民所用”，自觉反对特权思想和特权现象，始终敬畏权力、管好权力、慎用权力，保证权力在正确的轨道上运行。二要处理好“上”和“下”的关系，做到解民忧、纾民困、暖民心。把对上负责和对下负责统一起来，把为民造福作为最重要的政绩，把尊重民意、汇聚民智、凝聚民力、改善民生贯穿到全部工作之中，扎实开展群众身边不正之风和腐败问题集中整治，切实解决好人民群众急难愁盼问题。三要处理好“勤”和“廉”的关系，做到多干事、干成事、不出事。坚持既勤政又廉政，强化担当作为，大力弘扬“三个不相信”精神，正视问题不回避、直面矛盾不绕道、遇到难题不退缩，知重负重、知难克难、知险化险，推动大事办好、急事办妥、难事办成。四要处理好“内”和“外”的关系，做到自身正、自身净、自身硬。始终牢记“清廉是福、贪欲是祸”的道理，勤掸“思想尘”、多思“贪欲害”、常破“心中贼”，以坚定的理想信念确保内无妄思，以严格的监督约束推动外无妄动，守牢拒腐防变底线，永葆共产党人政治本色。,0,0,1,,许昌,河南,中国
2,5041939919668341,绿春县检察院,2024-06-05 16:20:14,【绿春县人民检察院举行党纪学习教育“读书班”暨党组理论学习中心组2024年第四次集中学习活动】6月5日，绿春县人民检察院举行党纪学习教育“读书班”暨党组理论学习中心组2024年第四次集中学习活动，深入学习领会习近平总书记关于党的自我革命的重要思想。院党组书记、检察长余瑞松主持学习并讲话，院党支部全体党员参加学习活动。会上，余瑞松检察长领学习近平总书记关于党纪学习教育的重要讲话和重要指示精神、习近平总书记关于家庭家教家风建设的重要论述、习近平总书记在二十届中央纪委三次全会上的重要讲话精神、《中国共产党纪律处分条例》以及《红河州人民检察院党组2024年落实全面从严治党主体责任主要任务分解》等内容。相关同志围绕学习主题作了专题交流发言，其他同志进行了讨论发言。会议指出：党风廉政建设永远在路上，要坚持以习近平新时代中国特色社会主义思想为指导，持续深入学习习近平总书记关于党的自我革命的重要思想，深刻领会其精髓要义和实践要求，不断深化对我们党为什么要自我革命、为什么能自我革命、怎样推进自我革命等重大问题的认识理解。会议强调：要严格落实全面从严治党政治责任，贯彻落实习近平总书记关于力戒形式主义官僚主义的重要论述，持续深化为基层减负。深入开展党纪学习教育，深入学习《中国共产党纪律处分条例》，加强全方位管理和经常性监督，运用好《习近平总书记关于注重家庭家教家风建设论述摘编》，全面落实“清风云南”建设绿春实践要求。会议要求：一、要持续深化党纪学习教育，进一步增强党员领导干部纪律规矩意识。党员领导干部要增强学习的主动性、自主性，持续深化学习新修订的《中国共产党纪律处分条例》，把遵规守纪内化于心，外化于行。院党支部及政治部要抓好统筹协调，持续推动党纪学习教育走深走实。二、要切实履行全面从严治党的政治责任。全面从严治党永远在路上，要坚持抓住“关键少数”以上率下，切实履行好院党组的党风廉政主体责任和班子成员、部室主任的“一岗双责”责任，始终做到把纪律和规矩挺在前面，坚持严管厚爱、做到露头就打，将责任压力传导到每位干警身上，确保检察队伍清正廉洁。三、以党纪学习教育为契机，提振干事创业精气神，推动检察工作高质量发展。全体检察干警要敢担当、善作为，主动对标对表，查找检察工作短板弱项，列出重点清单攻坚推进，切实把党纪学习教育激发的动力活力，转化为推进检察工作高质量发展的实干实绩。,0,0,0,,红河哈尼族彝族自治州,云南,中国
2,5041936659908878,蚌埠检察,2024-06-05 16:07:17,【深化党纪学习教育  不断严明纪律规矩】为深入学习贯彻习近平总书记关于党的自我革命的重要思想和关于加强党的纪律建设的重要论述，持续深化对《中国共产党纪律处分条例》的学习理解，切实推动党纪学习教育走深走实，蚌埠市人民检察院于6月5日上午举办党组理论学习中心组（扩大）《中国共产党纪律处分条例》解读辅导讲座，邀请蚌埠市纪委常委、组织部部长朱付凯专题解读新修订的《中国共产党纪律处分条例》。 讲座由市院党组成员、政治部主任张余主持。市院领导、副县级干部以及市院机关全体检察人员参加学习。 朱常委通过大量生动的案例分析，深入浅出地解读了新修订《条例》的背景和主要内容，为全体党员干警准确把握、深刻理解《条例》主旨要义和实践要求提供了有力的指导和帮助。通过专题讲座，全体检察人员深刻认识到，开展党纪学习教育，是落实全面从严治党的重要举措，是加强检察队伍建设的重要途径，要深入学习贯彻《条例》，进一步强化纪律意识、加强自我约束，不断筑牢思想防线。下一步，蚌埠检察机关将以学习贯彻新修订的《中国共产党纪律处分条例》为契机，自觉把铁的纪律转化为日常习惯和行为准绳，做到学纪、知纪、明纪、守纪，切实把学习成果转化为推动检察工作创新发展的思路举措，转化为推动各项任务落地落实的实际行动，以严明的纪律护航蚌埠检察工作高质量发展。@蚌埠政法,1,1,3,,蚌埠,安徽,中国
2,5041312940425520,广州市情,2024-06-03 22:48:50,5月31日，市委党史文献研究室召开党纪学习教育专题读书班，套开市委党史文献研究室理论学习中心组第6次集体学习扩大会，集中一天时间深入学习贯彻习近平总书记关于加强党的纪律建设的重要论述精神、党的建设和党的自我革命的重要思想，认真学习新修订的《中国共产党纪律处分条例》（以下简称《条例》），围绕组织纪律、廉洁纪律进行集体学习研讨。室主任、一级巡视员黄小晶主持读书班集体研讨并讲话。室领导胡巧利、常国光、刘新峰、罗满园及全体党员干部50多人参加学习。读书班采取个人自学、辅导教学和集体研讨相结合的方式进行。31日上午全体党员干部个人原原本本学习《条例》，并通过广东省干部培训网络学院学习《习近平总书记关于严明党的纪律和规矩的重要论述》辅导讲座。在集体研讨环节，室主任黄小晶传达学习了习近平总书记在重庆、山东考察时关于开展党纪学习教育的重要讲话精神。副主任胡巧利，一级调研员贺红卫、张书英、谢建新、李启伦，年鉴工作处处长张丽蓉围绕学习《条例》的组织纪律、廉洁纪律作专题研讨发言。副主任胡巧利结合学习《条例》内容，从学习贯彻、领会理解、适用范围和严格执行方面阐述了加强《条列》学习的重要性和必要性，指出学习贯彻《条列》是一项重要的政治任务和政治要求，严格的党纪法规是对每一名干部的关心爱护，要严格遵守、彻底贯彻。一级调研员贺红卫从部门职能、岗位职责、个人行为三个层面，提出党史文献部门要加强党的纪律建设史研究，党员干部要把条例的学习贯穿于工作全过程全方位，贯穿于日常生活和人际交往中。一级调研员张书英围绕《条例》的组织纪律，分析了民主集中制、选人用人、党员权利、出入境等规定和要求，指出要以《条例》为标尺从严检身正己，把他律转化为自律，把遵规守纪刻印在心、落实在行动。一级调研员谢建新围绕《条例》第七章第七十八条、第七十九条和《党章》第三条关于对不落实组织决定行为的处分规定相关内容，指出党组织纪律是严肃的，是处理党组织之间和党组织与党员之间关系的纪律，执行党的决定，服从组织，积极完成党的任务是每一名党员必须履行的义务。一级调研员李启伦认为廉洁纪律是各级组织和全体党员在从事公务活动或者其他活动中应当遵守的廉洁用权的行为规则，《条例》明确了对各类违反廉洁纪律行为的处分规定，需要熟悉各内容要求并贯彻落实，杜绝一切违规行为，不用公权谋私利。年鉴处处长张丽蓉认为党的政治纪律和组织纪律是党的生命线，也是党外干部必须遵循的纪律规范，违反组织纪律行为是对党的团结统一领导的严重破坏，要结合我们史志单位工作实际深刻领会遵守党纪党规的重要性。黄小晶主任总结并强调，要深入学习领会习近平总书记关于加强党的纪律建设的重要论述精神，加强警示教育，以案促学，以案说纪，引导党员、干部守住法纪底线、守住公私边界、守住权责边界，真正把纪律规矩转化为政治自觉、思想自觉、行动自觉，真正让心存敬畏、手握戒尺成为日常自觉，在遵规守纪前提下，放手干事、锐意进取、积极作为。为推动学习好宣传好贯彻好《党史学习教育工作条例》，推动开展“广州党史，我来讲”“广州故事，我来讲”“新时代，我来讲”活动，学习会上，还学习交流了我室宣教展陈部党支部5名党员自编自讲自拍的5个微视频。,0,0,0,,深圳,广东,中国
3,5041217601538200,团结报团结网,2024-06-03 16:30:00,#历史那些事# 【民主革命家邓演达与黄埔军校】邓演达是孙中山革命事业的忠诚继承者、中国国民党左派领袖之一，中国农工民主党的创始人，民主革命时期杰出的革命家、思想家、军事家。邓演达参与筹办黄埔军校，并先后担任军校教练部副主任、学生总队长、教育长等职。从革命精神的养成、革命理论的探究以及鲜明的革命立场和持续革命实践看，邓演达作为革命家的生涯可以说是从黄埔军校时期开始的。网页链接,1,0,0,,北京,北京,中国
3,5041187031614604,广东哎上课苏恺老师,2024-06-03 14:28:32,【专升本教育理论小练习】下列选项中，属于内部学习动机的是（ ）A “书到用时方恨少”B “为中华之崛起而读书”C “黑发不知勤学早，白首方悔读书迟”D “我一生的嗜好，除了革命之外，就是读书”注：答案及解析见评论区【题源于哎上课专升本免费题库，刷题就用哎上课】专升本#广东哎上课专升本##广东专插本##教育理论##专升本教育理论#   网页链接,0,1,2,广东,广州,广东,中国
3,5040055393191095,中国环境,2024-05-31 11:31:48,【长江局将党纪学习教育落到实处】近日，长江局组织开展分党组理论学习中心组（扩大）学习暨党纪学习教育专题辅导，邀请湖北省纪委监委派出省委直属机关纪检监察工委副书记、一级调研员丁春旭同志作“以严明的纪律推进党的自我革命——深入学习《中国共产党纪律处分条例》”专题辅导授课。局分党组书记、局长徐翀主持会议并讲话。 长江局将党纪学习教育落到实处,2,0,1,,北京,北京,中国
3,5040018789236837,海州宣传,2024-05-31 09:06:20,#振兴新突破辽宁杠杠滴##新时代六地辽宁杠杠滴#区委党纪学习教育第2期读书班暨区委理论学习中心组（扩大）学习会议召开5月29日，区委党纪学习教育第2期读书班暨区委理论学习中心组（扩大）学习会议在区行政服务中心二楼会议室举行。会议深入学习贯彻习近平总书记关于党的自我革命的重要思想，认真学习领会新修订的《中国共产党纪律处分条例》，引导全区党员干部学纪、知纪、明纪、守纪，进一步强化纪律意识、加强自我约束、提高免疫能力，始终做到忠诚干净担当，为实施全面振兴新突破三年行动提供有力保障。区委书记李志军主持并讲话。市纪委监委案件审理室主任王艳平作辅导报告。会议指出，全面深入学习党的纪律是每一名党员和领导干部必须完成的政治任务。全区各级党组织和党员干部要在深入学纪中打牢思想基础，准确把握《条例》的重点内容和着力方向。各位区委常委要深入包保镇街和基层联系点，指导带领党员干部切实将党纪学习教育成果转化为担当作为的能力和本领，推动经济社会高质量发展不断取得新成效。会议强调，全区各级党组织和党员干部要在准确知纪中绷紧纪律之弦，要把各项纪律搞清楚，更要深入理解领会背后的精神内涵。要将《条例》作为学悟重点，推动全面从严治党向纵深发展，不断增强创造力、凝聚力和战斗力。会议强调，全区上下要在以案明纪中强化警示教育，充分发挥好警示教育作用，通过以案促学的方式，教育引导各级党员干部知底线、明边界，把党的纪律要求内化为自己的精神追求，外化为自己的行为自觉。要让警示教育入脑入心，使铁的纪律真正转化为党员干部的日常习惯和自觉遵循。会议强调，全体党员要在严格守纪中永葆政治本色，严守政治纪律、组织纪律、廉洁纪律、群众纪律、工作纪律、生活纪律，在做到“两个维护”、遵守组织原则、践行为民宗旨、永葆清廉本色、培树优良作风、锤炼道德品行上当好表率。全体党员要不断增强纪律意识，守牢纪律底线，以自我革命的精神推动全面从严治党向纵深发展。全区副县级以上领导干部，区委各部委、区直各单位、各群团组织主要负责同志参加读书班。,0,0,0,,阜新,辽宁,中国
3,5039477884719933,宁德广播电视台,2024-05-29 21:16:59,#宁德市广播电视台#【市政府党组理论学习中心组召开学习会】5月29日，市政府党组理论学习中心组召开学习会，深入学习领会习近平总书记关于党的建设的重要思想和关于党的自我革命的重要思想，结合开展党纪学习教育，开展集中交流研讨。市政府党组书记、市长张永宁主持会议并讲话。 宁德广播电视台的微博视频,0,0,0,,宁德,福建,中国
3,5039449275368403,嘹亮的号音,2024-05-29 19:23:18,1974年5月30日人民日报第3版：1.通过开门办学，学好革命理论。2.无产阶级教育革命有力地提高了教育质量。3.工人大学生积极深入一线，理论与实践相结合创造出科技成果。 ,0,0,0,河南,濮阳,河南,中国
3,5039411220188698,喀旗检察,2024-05-29 16:52:05,喀喇沁旗检察院召开党组理论学习中心组学习会暨党纪学习教育读书班5月23日至24日，喀喇沁旗人民检察院举办党组理论中心组学习会暨党纪学习教育读书班，党组书记、检察长隋亚靖主持会议，班子成员、各部门正副职参会。 本期读书班学习了习近平总书记关于党的自我革命的重要论述和《中国共产党纪律处分条例》等内容，班子成员结合学习体会和工作实际进行了交流研讨，加强了党员干部对党纪党规的理解认识，为党纪学习教育的深入开展夯实了基础。会议强调：全体党员干部要认真学习领会党纪学习教育相关要求并落实到学习工作中。要坚持深学细悟，注重融入日常、抓在经常，做到学纪、知纪、明纪、守纪，切实把铁的纪律转化为日常习惯和自觉遵循，要结合检察工作实际，着力解决工作存在的短板弱项，激发党员干部干事创业的热情，高质效办好每一起案例，以实际行动拥护“两个确立”、做到“两个维护&quot;。会议要求：领导干部要坚持以身作则、以上率下，在认真学纪、全面执纪、对标明纪、笃行守纪上当示范、作表率，当好关键少数，发挥关键作用，履行关键责任，引领带动“绝大多数&quot;。,0,0,0,,赤峰,内蒙古,中国
3,5039259279164684,wt9696,2024-05-29 06:48:20,伟大领袖毛主席是伟大的马克思主义者！伟大的革命家！伟大的政治家！伟大的哲学家！伟大的思想家！伟大的理论家！伟大的教育家！伟大的改革家！伟大的军事家！伟大的战略家！伟大的经济家！伟大的书法家！伟大的诗词家！又是各族人民伟大的领袖！伟大的统帅！伟大的舵手！伟大的导师！又是党魂！军魂和民族魂！…,2,1,1,江苏,扬州,江苏,中国
3,5037264830991830,诸事顺意wyy,2024-05-23 18:43:06,#青年学生理论学习小组##学深悟透新思想 挺膺担当建新功#     党课的目的和意义在于加强党员的思想教育和党性锻炼，提高党员的政治觉悟和思想素质，保持党的先进性和纯洁性，推动党的各项事业的顺利发展。党课让我更加深入地了解了党的历史和发展历程。通过学习党的光辉历程，我深刻感受到了党在革命、建设和改革中的伟大成就和艰辛付出。这让我更加珍惜现在的幸福生活，也更加坚定了为党的事业奋斗终身的决心。（文法学院第二十四学习小组）@文理先锋,0,0,0,四川,成都,四川,中国
