页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5045489898098106,菩提心心菩提,2024-06-15 11:26:35,（武汉 江夏 天子山爱国主义教育基地）         整体分为：展厅、葛达烈士陵墓、纪念碑、浮雕等。展厅又分两部分：一是红色革命历史展，二是廉政文化展。         注意：展厅现在在维修，一直到7月10日。 ,0,1,1,湖北,武汉,湖北,中国
2,5045182757603777,香山革命纪念馆,2024-06-14 15:06:07,【西征路上的壮烈凯歌——甘溪红军烈士纪念碑碑文敬读】 #香山革命纪念馆#,0,0,0,,,北京,中国
2,5044411157712769,绍兴文旅发布,2024-06-12 12:00:03,#名城绍兴，越来越好##人文绍兴##打卡绍兴#走进许岙战斗展陈馆，仿佛能听到历史的回声，感受到英雄先烈的奋斗与牺牲。革命烈士纪念碑、宣誓广场，强烈的代入感，让孩子们更加深刻地认识到国家的伟大、民族的坚韧和人民的力量。 ,0,0,1,,杭州,浙江,中国
2,5044392562001341,两颗太阳Show,2024-06-12 10:46:10,本期视频让我们一起游览这座个性十足的古巴首都：哈瓦那！ 包含的景点：圣玛利亚海滩、莫罗城堡、滨海大道、国会大厦、富埃尔萨城堡、主教大街、五分钱酒馆、革命广场、何塞马蒂纪念碑、哈瓦那教堂！#亿点曝光计划##带着微博去旅行##分享我的微宇宙# 两颗太阳Show的微博视频 ,0,0,0,海南,海口,海南,中国
2,5044203598124504,用户7260955303,2024-06-11 22:15:17,(朝中社平壤) 全国的妇女同盟基层宣传工作者正式启动白头山地区革命战迹地参观学习行军。行军队启程仪式８日在建立于三池渊大纪念碑的伟大领袖金日成同志的铜像前教育区举行。仪式上，朝鲜社会主义妇女同盟中央委员会副委员长李香淑致辞，多位代表先后发言。她们说，全体行军队员要通过白头山大地之行，进一步深入体会凝聚在革命战区里的卓绝伟人们的业绩和敬爱的总书记同志多次进行白头山地区革命战迹地行军的崇高意图。她们强调，全体参加人员要铭记党中央的信任，坚定走白头山地区参观学习行军路，在今天的总进军路上大力显示妇女同盟的威力，以朝鲜妇女坚强的精神力量和爱国献身精神提前迎来我们朝鲜式社会主义全面发展。仪式后，参观学习行军队员们参观了三池渊大纪念碑。,0,0,0,吉林,延边,吉林,中国
2,5043819665953277,开路先锋象哥,2024-06-10 20:49:41,#中国人的故事# 张明海，江苏扬州人，1958年出生，1978年入伍到原北京军区某部，1983年退役回到老家扬州后，张明海自学书法和石刻技术，并志愿为扬州市江都区大桥镇三江营革命烈士纪念馆的纪念碑和散落在大桥镇田间各处的烈士墓碑刻字、维护。从2020年起，张明海担负起三江营革命烈士纪念馆的守护任务，工作中，张明海尽心尽责，用心用情接待前来瞻仰烈士纪念馆的社会各界群众，宣讲红色故事。同时，张明海还积极参与革命历史资料收集和为烈士寻亲的工作，在他的带动下，越来越多的人走进三江营革命烈士纪念馆，了解红色历史，感悟革命先辈浴血奋战的家国情怀。#致敬老兵#,1,1,1,江西,抚州,江西,中国
2,5043769039133722,大大大乀贝贝Wy,2024-06-10 17:28:30,"【我们的节日·清明】春晖义工：缅怀先烈爱国魂 追寻红色英雄史 日前，衡水市春晖义工协会组织200余名志愿者在衡水市烈士陵园开展“缅怀先烈爱国魂 追寻红色英雄史”清明节扫墓活动。 活动中，志愿者们身着红色马甲，在烈士纪念碑前肃立，默哀，向革命烈士敬献鲜花，并缓步绕行革命烈士纪念碑一周， 。  展开全文,【我们的节日·清明】春晖义工：缅怀先烈爱国魂 追寻红色英雄史 日前，衡水市春晖义工协会组织200余名志愿者在衡水市烈士陵园开展“缅怀先烈爱国魂 追寻红色英雄史”清明节扫墓活动。 活动中，志愿者们身着红色马甲，在烈士纪念碑前肃立，默哀，向革命烈士敬献鲜花，并缓步绕行革命烈士纪念碑一周，深切缅怀革命先烈的丰功伟绩和崇高精神。 “多少代人的梦想，多少代人无怨无悔的付出，多少代人的双肩默默的承担，全为着实现中华民族崛起的梦想……”在烈士纪念堂，协会负责人陈奇峰带领志愿者们重温了革命烈士的丰功伟绩，在场的每一名志愿者都被革命先烈不怕牺牲的革命精神和坚定信仰感动着，大家在看、听、悟中接受到了一场鲜活而生动的党性实践教育课。随后，全体志愿者来到烈士墓前祭扫，献上深深的敬意。 青山埋忠骨，鲜血染红旗。通过这次活动，进一步坚定了广大志愿者的理想信念，更加懂得珍惜生活、心存感恩，不忘先烈，发扬志愿精神，争做优秀文明志愿者。 。",0,0,0,山东,东营,山东,中国
2,5043634059872013,不忘红色文化,2024-06-10 08:32:09,杭州红色影像：中共余杭县委员会 余杭县抗日民主政府旧址纪念碑 #爱国主义教育基地##革命烈士永垂不朽##瞻仰革命先辈##说走就走的旅行#  中共杭州市余杭区委党史研究室 不忘红色文化的微博视频 ,0,0,0,湖南,株洲,湖南,中国
2,5043495538792858,bounprem_墨墨,2024-06-09 23:21:43,缅怀革命先烈，全体青马学员及老师面对纪念碑向革命烈士默哀，以表达对先烈的尊敬。 烈士陵园里，烈士们的英勇让我动容，深知和平来之不易。因为有了他们我们才有今天和平美好的生活，我们的祖国才能如此的强大。 ,0,0,0,广西,百色,广西,中国
2,5043374316847108,陆建华摄影,2024-06-09 15:20:00,#带着微博去旅行# 位于江苏江阴市双拥路上的“江阴革命烈士纪念馆”，是一处进行爱国主义教育的好地方，纪念馆园内建有一座纪念碑、和“革命烈士纪念馆”、“渡江战役纪念馆”两个馆，其中“渡江战役纪念馆”系统地展示了发生在1949年的那场解放全中国的伟大战役，以及江阴要塞起义的详细过程，值得打卡。端午前，原本闭馆维修的“革命烈士纪念馆”，也已重新对外开放。#微博旅行家# 江阴,8,11,8,江苏,无锡,江苏,中国
