页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048226564541864,小琳追漫,2024-06-23 00:41:07,海贼王1118话情报：路飞的妈妈是天龙人  路飞的身世已经曝光了，他的家族有点厉害，父亲是革命军首领龙，爷爷是海军英雄卡普。  路飞的妈妈和奶奶都没有提到过，她们的身份到底是什么？ ,0,13,23,福建,福州,福建,中国
2,5048849263494037,柒烽,2024-06-24 17:55:30,【无聊图】“老英雄”痛说革命家史：“本喵在战场上大杀四方的时候，你们这帮臭崽子还不知道在哪儿呢”。“有图有真相”，说完，掏出了几张“老照片”…… ,0,2,0,广西,桂林,广西,中国
2,5048819915688591,社科文献-新书速报,2024-06-24 15:58:53,索恩·历史图书馆014《文明的经纬：纺织品如何塑造世界》#特装# 开售啦！书口喷绘图案和内封一致，来自中世纪的挂毯~特装设计与书封适配度超高！★ 纺织与文明进程：深入探究了自古以来纺织品如何在世界各地推动社会进步和技术革命，塑造了人类文明的现代面貌。★ 无名英雄：突出了在纺织史上女性、工匠和发明家们鲜为人知的贡献，他们的故事和成就对于行业的发展起到了关键作用。★ 纺织艺术的秘密世界：揭示了纺织品设计和制作中的隐秘知识，以及这门手工艺如何成为文化交流和创新的媒介。★ 个人叙事与历史见证：通过大量私人访谈和记录，展现了过去纺织品的织工、商人和消费者的生活方式，让我们深入了解普通人如何与纺织品互动。★ 纺织与社会秩序：探讨了纺织品在塑造社会结构、经济体系和全球化中的作用，以及它们如何影响现代社会价值观和生活方式的演变。,3,1,4,北京,北京,北京,中国
2,5048816006335138,微游甘肃,2024-06-24 15:43:21,#万千气象看甘肃# 6月20日下午，甘肃省延安精神研究会一行在会长李沛文的带领下，来到黄崖洞革命纪念地开展“学习红色文化 弘扬延安精神”学习培训活动，一起瞻仰革命旧址，寻访英雄足迹，聆听红色故事，接受红色教育。#如意甘肃##厚道甘肃# ,0,1,2,,兰州,甘肃,中国
2,5048804745416668,重庆广电第1眼,2024-06-24 14:58:36,【#红岩研学路线带你看见英雄的重庆#！】6月24日，团市委在重庆红岩革命纪念馆红岩广场举办“红岩新青年 建功新重庆”——“红岩青年行”首场市级示范活动，现场发布63条主题研学路线及10条市级精品路线，引领广大青年在行走中感悟思想伟力，在行动中擦亮青春底色。#重庆的英雄底蕴原来藏在这些地方#！10条市级精品路线渝中区：红岩革命纪念馆—《新华日报》总馆旧址—桂园—周公馆—人民解放纪念碑渝中区：抗建堂剧场—枇杷山宝库·原宙沉浸剧场—马鞍山·堂里—重庆国泰艺术中心—魁星楼·拾楼戏剧空间—戴家巷·梦回廊亭九龙坡区：万象书屋—民主村社区党群服务中心—民主村社区会客厅—青年食堂两江新区：明月湖协同创新馆—果园港国家物流枢纽—国货精品贸易中心—礼嘉智慧公园璧山区：西部(重庆)科学城整山片区数字经济展示中心—玉泉湖公园—云巴体验—云巴研学基地江津区：珞璜港—三峡电缆非公党建创新展示中心—小南垭物流中心—珞璜临港产业城—国际物流枢纽展示中心涪陵区：816地下核工程—一碗水烈士陵园—816小镇—涪陵榨菜历史记忆馆綦江区：邹进贤故居(中共綦江支部旧址)一王良同志纪念馆一王故居一石壕红军烈士墓一红一军团司令部旧址石柱县：华溪会客厅—初心小院—蜜蜂科普馆—中益研学中心—华溪村带扶车间秀山县：渝东南第一门—清水江-拉拉渡—语录塔—刘邓大军挺进大西南司令部旧址—西南服务团陈列室—洪安边城老街 重庆广电第1眼的微博视频,0,0,4,,重庆,重庆,中国
2,5048744971602306,河南青年时报,2024-06-24 11:01:05,【#巩义师生为抗战老英雄送来红色剪纸作品#】七一前夕，在巩义市教育局党组指导下，伏羲路小学教育共同体第七小学校区精心创作了红色剪纸系列作品《春风吹又生》。这套作品的主人公是巩义市抗战老英雄、老革命田又生，再现了田又生一生中的光辉历程。巩义市教育局党组书记、局长杨少辉等教育局工作人员，伏羲路小学党支部书记姜晓红，剪纸非遗传承人第七小学范秀香老师和少先队员代表，一起来到田又生老人家中，看望慰问老人，并送上红色剪纸作品《春风吹又生》。田又生“虎口脱险，坚持革命”的故事在巩义大地上广为流传，为了创作好这套作品，第七小学师生多次拜访田又生，聆听他讲述革命故事；邀请党史办做党史指导，准确把握历史事实；利用节假日精心创作，把对革命老英雄的敬仰和对中国共产党的热爱倾注到一幅幅生动的作品中，同时也表达了新时代少年儿童听党话、感党恩、跟党走，立志为强国建设、民族复兴而读书的伟大抱负。在田老家中，第七小学少先队员代表满怀敬仰地为身着戎装、佩戴多个勋章、精神矍铄的田老系上红领巾、献上鲜花，敬队礼。少先队员代表为田老讲解了红色剪纸《春风吹又生》11幅作品的内容。范秀香老师分享了该作品的创作经历和其中的革命故事、民俗元素等。（记者 李冬洁）W,0,0,0,,郑州,河南,中国
2,5048552425002749,央视一套,2024-06-23 22:15:58,【CCTV-1#国家荣光# 今晚播出】出生在海南岛的琼崖工农红军总司令、琼崖党组织早期主要领导人之一冯平，他短暂的一生充满传奇。他被捕后喊出了“革命不怕死，怕死不革命”，牺牲时年仅29岁。6月23日22:30档，关注CCTV-1《国家荣光》，关注英雄冯平的故事。@CCTV等着我 央视一套的微博视频 ,1,3,8,,北京,北京,中国
2,5048531595560927,学生仁则,2024-06-23 20:53:12,《雪豹》，反映出所谓的“清除内奸解救运动”，如此折腾冤害真正的革命同志、明显的抗日英雄。谁之罪？难了啦。而故事峰回路转企图用张某“坚定不屈”来淡化权力游戏以“观点分歧”作结。——俺们是观众，只从影视中看世界。 苏州·苏州大学(东校区) ,0,0,0,江苏,苏州,江苏,中国
2,5048520069878443,我所有前任都住德州,2024-06-23 20:07:24,榜样示范法是指用榜样人物的高尚思想、模范行为、优异成就来影响学生的思想、情感和行为的方法。其基本方式包括典范、示范和典型。典范主要包括历史伟人、民族英雄、革命导师、科学家、思想家和文学家等各行各业的杰出人物。示范主要是指家长与教师，他们的言行举止、仪态作风、志趣爱好和为人处世等都会对学生产生示范作用。典型主要是学生中涌现出来的优秀个人，如三好学生、优秀少先队员、优秀团员和优秀学生干部等。B项正确。,0,0,0,江苏,南京,江苏,中国
3,5048507773748717,维权难谁为我做主,2024-06-23 19:18:33,一个歌星有权利有资格安葬在烈士陵园吗？请武汉市退役军人事务局和相关部门解释一下！    为何烈士陵园与公墓区不分开区域？不是国家对烈士陵园的建设和改造投入了大量的资金和设计吗？      如果；烈士陵园与公墓区混和一起，那又怎么对得起我们为国捐躯的革命英雄烈士。他们牺牲奉献的光荣和尊严 ！,0,0,0,四川,成都,四川,中国
