页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048722230347210,网信古塔,2024-06-24 09:30:43,#有一种美好叫辽宁##新时代六地辽宁杠杠滴##振兴新突破辽宁杠杠滴# 【红色映象】辽宁省丹东市：踏寻先辈足迹 弘扬革命精神#追寻先烈足迹辽宁在行动# 6月18日上午，元宝区广济街道党工委与天后宫社区党委、县前一社区党委共同开展“踏寻先辈足迹 弘扬革命精神”系列活动，组织党员赴天桥沟抗联精神教育基地，参观革命遗址，聆听抗联事迹，追忆革命先辈的英勇事迹，感受伟大的抗联精神。（作者单位：丹东市融媒体中心）,0,0,0,,锦州,辽宁,中国
2,5048498944739764,英特纳宝宝,2024-06-23 18:43:28,#生活手记#Green  Earth  Action，我在行动！―党史上的今天（党史不是故事，是我们的根。）               ―人民战争就是无穷的力量！@l网页链接 GEA1937年6月23日            毛泽东再次会见彼森、贾菲等，回答他们提出的抗日民族统一战线将怎样发展和中国革命的前途问题。微博帮助手写微博春风遥GEA鑫想事成GEA环保交流社区绿动地球            毛泽东指出：统一战线将呈现出一些不同的发展阶段，这些阶段的详细情况，我们是难以预料的。信阳师范学院studywithme推文放学等我晋江文学城日常粉丝头条使用攻略         统一战线的构成，基本力量是工人阶级和农民阶级，小资产阶级在它的一翼，民族资产阶级在它的另一翼。plogCARAT手帐素材手帐         他们有一些共同的东西，也有一些不同的东西，他们之间的分歧将导致曲折的斗争。统一战线的前途还会受到发生在国际舞台上的外部事件的影响。青春爱运动郑州大学微博校园          就中国国内来说，建立民主共和国是统一战线工作在目前阶段的主要目标。民主共和国建立之后，在中国进行社会主义革命的任务将提上下一步的议事日程。河南师范大学校园清华大学            中国不可能成为帝国主义或资本主义国家，中国的前途，第一步是民主共和国，第二步是社会主义革命。河北工程大学江南大学          为什么中国不能成为资本主义国家呢？首先，中国争取独立的斗争是在无产阶级领导下进行的，这同西方建立民主制国家的历史是根本不同的，那时是资产阶级取得了领导权。          因此，中国的独立的民主共和国也就不同于历史上的资产阶级民主共和国，它是以共和国形式建立起来的无产阶级、农民阶级和一部分资产阶级的统一战线。绿植领养清华大学开学季          在中国，没有无产阶级的领导，革命是不可能成功的。这个条件决定了中国有可能不经过资本主义阶段而直接走上社会主义的前途。此外，还有国际条件，其中苏联的存在有着决定性的影响。每日一善熊猫守护者日行一善绿动地球           同日，朱德会见彼森，回答有关军事方面的问题。森林驿站          谈话指出：中国要打败日本，必须靠全国的工人和农民的力量。唯有中国共产党才能开展这场群众运动。微博          因此，南京必须跟我们合作。这场战争必定是一场总体战。国民党如果以为只要用他的精锐正规军再加上西方帝国主义的援助就行了，那他是打错了算盘。今日头条           那他是不明白，只有群众性的人民抗战才能打赢这场战争。这正是需要改革政治的理由，也正是必须给予人民民主权利最好的理由。新浪微博政委灿荣（铜为鉴，正衣冠；人为鉴，明得失；史为鉴，知兴替。）,0,0,49,四川,成都,四川,中国
2,5048569817989175,中山发布,2024-06-23 23:25:04,#数字#【今年全市已开展村庄清洁行动近6300场次】为了以最优的城乡环境迎接深中通道通车，中山各镇街正积极推进人居环境整治提升、农村厕所革命、垃圾治理、“三清三拆三整治”等工作。今年以来，全市共开展村庄清洁行动近6300场次，清理垃圾累计约1.6万吨，完成“三线”整治约2.3万处。目前，全市超99%的涉农村居达到了省美丽宜居村标准。,0,0,0,,中山,广东,中国
2,5048480468832141,爻缠万贯,2024-06-23 17:30:03,强渡乌江  强渡乌江是指1935年1月红军强渡乌江江界河渡口的军事行动，为红军赢得了宝贵的休整时间。 强渡乌江是中央红军长征以来取得的第一个伟大胜利，打破了蒋介石企图在此歼灭红军的计划，为遵义会议的召开及黔北革命根据地的建立奠定了坚实的基础。 黔南·红军抢渡乌江江界河战斗遗址 爻缠万贯的微博视频 ,0,0,0,吉林,延边朝鲜族自治州,吉林,中国
2,5048007869598037,解放军报,2024-06-22 10:12:06,【106岁老红军胡正先的奋斗观：做起而行之的行动者，当攻坚克难的奋斗者】“我的一生就干了一件事：跟党走，为党的事业努力奋斗……”“七一”前夕，笔者跟随驻北京市老干部服务管理局工作人员一行来到安徽省六安市裕安区独山镇，看望慰问老红军胡正先。这位12岁参加革命、亲历长征的“红小鬼”，今年已经106岁。86年前的那个6月，胡正先光荣加入中国共产党。4年前，胡正先从北京回到家乡独山镇安享晚年。家门口，一条蜿蜒曲折的林荫小路通向远方，让胡正先时常回想起1928年的那个秋天，也是沿着这样一条小路，父亲送10岁的他去邻村给一户人家放牛时，满脸愁容地对他说：“咱家三代篾匠，混不上一口饱饭，你要另寻一条活路啊！”胡正先说，他找到的活路就是跟着党走：“这不仅是一条活路，更是一条光明的路！”从青丝到白发，这条光明之路，胡正先一走就是94年。“认定了的路，再苦再难也要坚持走下去。”胡正先坦言，自己的从军路，一开始并不顺利，“好几次差点掉队，又坚持跟上了队伍”。第一次发生在刚入伍不久。鄂豫皖革命根据地第四次反“围剿”中，红军部队往金寨方向转移。为加快行军速度，胡正先所在的部队就地疏散。胡正先因为年纪小，被连队安排回家。胡正先坚持跟在队伍后面走，最终重新回到了队伍里。“第二次是在红军医院当护理员时，我的两只脚被开水烫伤了……”胡正先回忆，当时部队马上要翻越巴山进四川，考虑到路途艰险，医院将伤员安置到老百姓家里，准备以后再回来接。可胡正先越想越难过：“部队放下了我，我不能放下自己啊！”第二天天还没亮，他就拄着木棍去找部队。天空飘着雪花，雪水浸湿胡正先脚上的纱布，伤口一阵阵钻心地疼。可他一直坚持走，也不知走了多少天，终于在一个山坳里，听到熟悉的军号声……凭着“听党话、跟党走”的坚定信念，胡正先跟随部队爬雪山、过草地，走过万里长征路，走向最后的胜利。谈及近期驻北京市老干部服务管理局正以老干部们的奋斗故事为素材开展“新时代奋斗观”大讨论活动时，胡正先深有感触地说：“最紧要的就是跟党奋斗！”他勉励大家，要做起而行之的行动者，当攻坚克难的奋斗者。“为党的事业奋斗，吃再多苦我都不怕！”胡正先回忆，从行军打仗、学习识字到参加红军无线电培训成长为红色“听风者”屡立战功，他之所以能克服重重困难和挑战，就在于坚定了为党奋斗到底的决心意志，做好了牺牲一切的准备。那年行军路上，从没有上过学的胡正先，在部队培养下开始学习认字。“队伍里，我看着前面战友背上的识字板，今天认3个，明天认3个……一路走下来，大概认识了三四百字。正是因为有了这个识字基础，后来才能顺利参加红军无线电培训班，一边行军打仗，一边学习无线电技术。”胡正先笑着回忆，“可我脑子笨，别人学一期就毕业了，我学了两期。”1936年10月，胡正先从无线电培训班毕业，正式开启了红色“听风者”的战斗生涯。胡正先说，当年为了快速准确找到敌方电台，他和战友们日夜监控，边听边记录，研究不同发报员的手法和规律。久而久之，即使敌人把波长换了，他也能迅速判断出是哪个敌方报务员在发报。胡正先跟随部队参加过辽沈、平津、渡江、解放广州、解放海南岛等战役战斗，他和战友们提供的情报为夺取胜利作出了贡献。1984年离休后，胡正先仍坚持每日读书看报，学习党的理论。他还躬耕爱党爱国爱军教育一线，经常深入部队、学校、社区，讲述红军战斗故事和革命优良传统，宣传长征精神，弘扬红色文化。初心不与年俱老，奋斗永似少年时。驻北京市老干部服务管理局的官兵代表和胡正先进行视频连线，问道：“胡老，您对现在的青年官兵有什么建议？”“为党奋斗要不怕苦、不畏难，敢于挑最重的担子、啃最硬的骨头、闯最险的难关。”胡正先这样回答。#我为人民军队点赞# （作者：罗艺  马斌；图：1945年，胡正先（左一）与战友合影。受访者供图）,14,2,51,,北京,北京,中国
2,5048237926910504,清风hong2,2024-06-23 01:26:16,习近平总书记指出：“我们党是靠革命理想和铁的纪律组织起来的马克思主义政党，纪律严明是党的光荣传统和独特优势。”自4月起，全党如火如荼开展党纪学习教育。只有坚持不懈加强纪律建设，才能不断提高思想认识，做到心中有标尺、行动有准绳学原文，阐释解读深学。把《中国共产党纪律处分条例》作为案头书，认真钻研深刻理解此次《条例》为什么修改、改了哪些地方、修订背后的深意。进一步清晰该做什么、不该做什么，能做什么、不能做什么，全面熟知掌握、准确规范使用。同时，深入学习党内规章制度，坚持党性党风党纪一起学，贯通融合纪律教育与党的理论教育、理想信念教育、革命传统教育、党风廉政教育等。在不断学习党规党纪的过程中，校准思想行动、增强党纪意识、提高党性修养。提升遵规守纪的自觉性和坚定性，做到知行知止、令行禁止。学案例，深化以案为鉴。运用典型违纪违法典型案例，拍摄警示教育片，汇编警示录、忏悔录，开展分类分层的警示教育，用身边事教育警醒身边人。同时要确保警示教育不能走过场。有的党员干部参加警示教育，却带着“看客心心理”“猎奇心理”听故事、看热闹，自认为案例离自己很遥远，不以为然。必须教育引导党员干部摒弃，杜绝这种错误的想法，切实把自己摆进去、把职责摆进去、把工作摆进去。深入学习警示案例，揽镜自照，挖掘问题根源，吸取教训，入脑入心。不断增强警示教育的针对性与实效性，确保警示教育常在常新，让党员干部真正受警醒、明底线、知敬畏。 查自身，加强自我检视。有些违纪违法党员干部在忏悔录中说究其原因是对党规党纪不上心、不了解、不掌握。通过此次党纪学习教育，在深入学习《条例》后，要自觉查找自身不足，查问题根源。勇于自我批评，要融入日常、抓在经常，对苗头性、倾向性问题及早察觉、及早纠正。使铁的纪律转化为日常习惯和自觉遵循。增强党员干部自我约束、自我检视、自我净化、自我提升能力，努力把他律要求转化为内在追求，把遵规守纪化为“内心律令”，绷紧纪律规矩这根弦。我们要珍惜此次党纪学习教育机会，上好纪律必修课，把好信仰“方向盘”。做到学有所得、学有所悟、学有所用，努力在自觉遵守和维护党的纪律上有新进步新提升，进一步增强政治定力、纪律定力、道德定力、抵腐定力，奋进新征程、建功新时代。,0,0,0,上海,上海,上海,中国
2,5048178476846395,香山革命纪念馆,2024-06-22 21:30:02,6月21日下午，2024“‘京’彩文化 青春绽放”行动计划“红色行”之流动的爱国主义教育课堂——北京爱国主义教育基地精品展览进校园项目走进北京印刷学院。香山革命纪念馆“永葆青春活力——香山时期中国共产党自我革命实践专题展览”图片展在北京印刷学院新创大厦一层红色出版展厅展出。#香山革命纪念馆#  【“京”彩行动】“永葆青春活力”主题巡展走进北京印刷学院,0,0,0,,北京,北京,中国
2,5048172514640680,嘹亮的号音,2024-06-22 21:06:20,1974年6月23日人民日报第4版：1.魏良忠决心以身背药箱干革命，全心全意为人民的实际行动，保卫和执行教员的革命路线，为进一步办好合作医疗，彻底改变农村的卫生面貌而奋斗。2.牢牢掌握主动权。3.中国和日本射击运动员在京友谊比赛结束。 ,0,0,0,河南,濮阳,河南,中国
2,5048128291734185,mycmyc老马2016,2024-06-22 18:10:37,老革命的双脚这几天软弱无力，行走步履蹒跚，看着好辛苦但比前几天潮湿的天气今好的多了愿夏至后能好起来，恢复正常行动❤️🍎🍎 ,0,0,0,广东,梅州,广东,中国
3,5047781117395263,何天恩,2024-06-21 19:11:03,真主党战线发生革命性变化:  真主党成功实施首次使用FPV无人机的行动，摧毁了以色列铁穹导弹防御系统的目标捕获和电子战系统。。(视频来源X) 何天恩的微博视频 ,26,19,160,浙江,,浙江,中国
