页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5047046042290145,BesTV百视通,2024-06-19 18:30:09,破晓前的微光熠熠生辉，交织的战火与缠绵的爱意，共同上演一场视觉艺术盛宴，深情演绎着那永不消逝的红色经典传奇。#舞剧电影永不消逝的电波#作为@上海国际电影节 的开幕影片，来听听两位主演王佳俊@快乐的佳俊 和朱洁静@朱洁静_久而久之 讲述幕后故事～来@BesTV百视通 第26届#上海国际电影节#线上展映专区看更多精彩！ BesTV百视通的微博视频,2,0,6,,,上海,中国
2,5046974497688832,上海发布,2024-06-19 13:45:51,#舞剧电影永不消逝的电波近日上映# 【#电波故事在时代美学中不断被讲述#】1958年由孙道临主演的电影《永不消逝的电波》成为影响力极其广泛的中国影史佳作。2018年，上海歌舞团创排同名舞剧，成为上海知名的红色文化IP。2024年，同名舞剧电影上映。请问:你最喜欢哪一部呢？  网页链接 ,2,5,120,,上海,上海,中国
2,5046939793492128,飴飴爱吃糖,2024-06-19 11:27:57,其实我还是挺想夸夸导演和摄影。就不说那些黄亦玫的经典镜头了。就说有好几个空景镜头也很击中我，总是在我🧠里🔁。那个拍上海房子的镜头，镜头倾斜。看到阁楼是白色，楼下是红色，真是喜房的上面是灵堂的感觉。婚房镜头里红色是阴森的，暗示了这段婚姻的恐怖。上海房子这里的好几个镜头拍摄也让我想起了《后窗》。还有怀孕后很像阁楼里的长发公主。方协文用保护的名义把黄亦玫囚禁了。#玫瑰的故事#,0,0,1,韩国,,韩国,韩国
2,5046555507689570,华奕集团,2024-06-18 10:00:56,#华语影讯# “电波”的故事发生在上海解放前夕，以李白烈士的真实故事为素材，是由上海这座城市红色基因孵化而生的一张城市名片......#走进电影院# ,0,0,0,广东,深圳,广东,中国
2,5045943743548789,百视TV,2024-06-16 17:30:00,【小百最新播报📣第二十六届#上海国际电影节#】#共赴城市光影现场# 金爵盛典上，主演王佳俊@快乐的佳俊、@朱洁静_久而久之 在盛典现场带来舞剧电影《永不消逝的电波》片段，用舞蹈致敬红色经典故事。上海国际电影节的微博视频 ,0,0,2,,上海,上海,中国
2,5045571642199606,Kenny筱淼淼,2024-06-15 16:51:24,娱乐       以“红色筑梦，青春创想”为主题，以创意作品为媒介，讲述上海故事、传承海派文化、唱响“汇创青春”品牌文化，由上海市教育卫生工作委员会、上海市教育委员会主办，上海戏剧学院、上海音乐学院承办的第九届“汇创青春”上海大学生文化创意作品展示活动（戏剧舞蹈、音乐艺术类）近日在上海戏剧学院新剧场举行。11部参演录制的优秀作品反映当代大学生所思所感。音乐剧《终局》讲述隐蔽战线党员的艰苦斗争，《予师书》“演、诵”相结合，表达以张桂梅老师为代表的师者形象。《如梦》以国标舞刻画了革命烈士的牺牲精神，以及现代人面对困境坎坷的心路历程。《水墨中华唐韵国风》以古朴的曲风碰撞b-box的现代元素，用人声模仿中国传统器乐，描绘一幅水墨丹青、青砖黛瓦的中国画卷。《沙海丹青》在传统中国古典舞的基础上，融合敦煌舞、龟兹舞元素，展现“以神领形，以形传神”的境界。《玉珍》把自己和奶奶从小到大的故事编织到舞蹈中。《电话亭》灵感源于一座孤独的电话亭、一段跨越时空的连线。《老夫老妻》将国标舞与现代舞相结合，在舞步中揭示爱与生活的真谛。《风岚》以融合了传统与现代元素的电子音乐，结合自然之声，营造脱俗的氛围。打击乐室内协奏曲《潺动》以马林巴为主奏乐器，定音鼓、小件打击乐以及大提琴为伴奏乐器，加入视频媒体，生动表达音乐中隐含的“信息环保”主题。《巨物之城》以21世纪50年代为背景，聚焦人机共有的情感、记忆，畅想未来人类与机器人的生活。,0,0,0,上海,上海,上海,中国
2,5045475658696417,巅峰大工匠,2024-06-15 10:30:00,“电波”的故事发生在上海解放前夕，以李白烈士的#真实# 故事为素材，是由上海这座城市红色基因孵化而生的一张城市名片。舞剧电影中没有一句对白，情感的爆发淋漓尽致地表现在了身体上，从两人的舞蹈、眼神、肢体中传递彼此浓烈的爱。情感的挣扎与妥协，彼此间的感同身受比任何一句台词都具有张力，都要持久和震撼...#舞剧# #电影# --#永不消逝的电波# ，6月18日登场！期待！,0,0,2,北京,北京,北京,中国
2,5045196187764070,金凤区上海西路街道办事处,2024-06-14 15:59:29,听红色故事 习传统文化——上海西路街道银新苑南社区“扫黄打非”护苗行动      近日，上海西路街道银新苑南社区联合春花幼儿园开展“听红色故事 习传统文化”为主题的扫黄打非护苗行动，护航未成年人健康成长。       活动一是通过老党员讲红色故事，学习和传承老党员的革命奉献精神和先进事迹；二是社区工作人员指导小朋友在京剧脸谱上涂上自己喜欢的颜色，小朋友们一边拿着自己绘制的脸谱，一边听社区工作人员用生动形象的语言给小朋友们讲解“扫黄打非”的基本内容。小朋友将学到的知识对爸爸妈妈“再指导”，告诉爸爸妈妈不能买盗版图书、音像制品，远离含有宣扬邪教、暴力、迷信等影响儿童身心成长的出版物，正确上网，不随意打开网页，不玩暴力、凶杀等游戏，不观看不利于未成年人身心健康的影视资料，文明上网，传播积极向上的知识。        本次活动让孩子们感受了非遗的魅力和中华文化的博大精深，培养爱国情怀和民族自豪感。下一步，银新苑南社区将坚持以辖区少年儿童需求为导向，不断创新儿童友好社区活动内容和形式，引导年轻一代践行和弘扬红色革命精神，举办多样化的“扫黄打非”活动，与居民共同构建健康和谐的社会环境，进一步营造积极健康的文化氛围，让青少年在风清气正的环境中健康成长。,0,0,0,,石嘴山,宁夏,中国
2,5044890540706616,泡泡奶霜,2024-06-13 19:44:57,新时代的芭蕾舞剧罗朱！真不愧是马修伯恩啊！剧目的开始是一片红色大幕落下，很震撼，预示着开启了一个极具悲剧色彩的故事，而这个故事是在一所像是监狱的学校里，个人理解是这次罗朱一起向权威势力对抗，尤其上半场结束时所有学生站在朱丽叶的身后，一步步逼向教官，配合着普罗科菲耶夫的曲子，差点都落泪了，为了这几分钟我可以再看一遍！然后还有两个印象深刻的点，一个是舞会，闪耀的大灯球真的很美，还有夜晚阳台约会定情的双人舞，两人像两只比翼鸟一样，360度旋转亲吻，还在同学们的帮助下举办了一个小小婚礼，我真的哭死。这部戏个人觉得需要配合望远镜看，需要看演员的表情，他们的开心喜悦，恐惧愤怒，都是可以传达出马修伯恩的想法，也能帮助我们更好的理解剧情。最后，6.12首演是Monique和Paris，确实很符合罗朱单页上写的女性主导的亲密关系啦哈哈哈～  #上海文化广场# #马修伯恩罗密欧与朱丽叶 #@Drama观剧团,0,0,0,上海,,上海,中国
3,5044368161112783,泽普县融媒体中心,2024-06-12 09:09:12,泽普 为全面铸牢中华民族共同体意识，将红色传统和革命精神代代相传，近日，泽普县教育局邀请上海市新四军历史研究会成员及新疆伊犁军区老战士代表在县第二小学开展“文化润疆 红色故事我来讲”主题活动。@新疆泽普宣传 活动中，年过八旬的毕玉恒同志以自己入党65年、从军16年的经历为载体，讲述战争年代革命战友为国捐躯的事迹和物资匮乏的年代里中国军人如何战胜多重困难取得胜利的感人事例，让广大学生感受到今天的幸福生活来之不易，激发其爱国情和报国志。期间，受邀嘉宾们还给学生发放《红色故事我来讲》书籍，勉励大家要加倍珍惜现在来之不易的幸福生活，努力学习，传承红色基因，赓续红色血脉。泽普县第二小学六年级学生孜巴努尔·玉苏甫说：“听了英雄故事，我知道了今天的幸福生活来之不易，今后我将以先辈们为榜样，努力学习，传承好红色基因，争做新时代的好少年，长大后建设国家。”随后，老战士们与广大师生共同观看了学生们精彩表演。课本剧《金色的鱼钩》、朗诵《祖国请点名》等节目为老战士送去了敬仰之情以及最诚挚的祝福。新疆伊犁军区政治部老战士毕玉恒说：“小朋友是祖国的希望，希望他们勇敢、坚强、有智慧，接过革命前辈的班，把我们的祖国建设得更加繁荣、更加富强。”在随后举行的座谈会上，县教育局及各校负责人畅所欲言，分享红色教育的经验及做法，就日后与上海市新四军历史研究会长期合作达成共识。上海市新四军历史研究会宣传委员会副主任余江如：“今后，我们上海市新四军历史研究会将联合喀什地区各县市的中小学继续开展类似的红色教育活动，引导学生们树立正确的价值观和人生观，为培养他们成为具有爱国情怀，社会责任感的新时代少年贡献我们的力量。”据悉，“文化润疆 红色故事我来讲”主题活动将贯穿全年，通过讲述红色故事、音乐党史课、思想辩论赛、红色书画展、红色摄影展等多种形式，用足红色教育资源，开阔育人途径和渠道，为泽普县打造一批红色文化教育品牌和红色教育示范学校。@新疆泽普政务 （泽普融媒 孟宇）,0,0,1,,喀什地区,新疆,中国
