页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5049101550355780,文山发布--官方微博,2024-06-25 10:38:00,【理论之花绽放！文山州第五届“党的创新理论我来讲”理论宣讲大赛举行】6月24日，文山州第五届“党的创新理论我来讲”理论宣讲大赛在文山州一中知行馆举行。本次比赛由州委宣传部、州委网信办、州委州直机关工委、州委教育工委、州委卫生健康工委、州委国有企业工委、州文化和旅游局、共青团文山州委、州融媒体中心、文山市委宣传部主办。以“沿着习近平总书记指引的方向阔步前进 奋力谱写中国式现代化文山篇章”为主题，设语言类和文艺类两个类别，其中，语言类分宣讲展示和即兴宣讲两个环节进行。12名选手参加语言类宣讲，13组选手参加文艺类宣讲。（文山州融媒体中心）,0,0,0,,文山壮族苗族自治州,云南,中国
2,5049093006821221,昆明五华发布,2024-06-25 10:04:03,#理响五华# 【理响五华 | 以党的创新理论为指引，书写消防救援新华章】五华区积极响应昆明市“理响春城”党的创新理论学习宣讲平台创新式的宣讲方式，聚力打造“理响春城”首个县区级理论宣讲品牌 ——“理响五华”。形成党员干部示范引领、社会各界齐心合力的宣讲格局，通过内容丰富、形式多样的宣讲活动，使党的创新理论在五华落地生根。今天，云南省森林消防总队特勤大队二中队指导员高鑫为大家带来优秀宣讲作品《以党的创新理论为指引，书写消防救援新华章》。 昆明五华发布的微博视频,0,2,2,,昆明,云南,中国
2,5049091985770339,首都专家微博群,2024-06-25 10:00:00,#宣讲家课件# 【习近平总书记关于铸牢中华民族共同体意识重要论述的原创性贡献及其重大意义】铸牢中华民族共同体意识是习近平总书记提出的马克思主义民族理论的重大原创性论断，是新时代党的民族工作的“纲”。本期课件从“中华民族共同体”概念的提出、铸牢中华民族共同体意识的科学内涵等方面，对习近平总书记关于铸牢中华民族共同体意识的重要论述的原创性贡献进行分析，并指出这一重要论述是对马克思主义民族理论的创新发展。网页链接,0,0,0,,北京,北京,中国
2,5049086991925559,北疆女声,2024-06-25 09:40:08,"#小北播报#【北疆巾帼铸魂之包头篇：“鹿城巾帼之声”“三融合”宣讲模式,让党的创新理论“宣”出特色、“声”入人心】为深入学习贯彻习近平新时代中国特色社会主义思想，全面贯彻落实党的二十大、中国妇女十三大、第七次妇女儿童工作会议精神，以铸牢中华民族共同体意识为主线，讲好“六句话的事实和道理”，更好发挥理论宣讲统一思想、凝聚力量、鼓舞斗志作用，引领广大妇女拥护“两个确立”、增强“四个意识”、坚定“四个自信”，从6月份开始，自治区妇联将以“北疆巾帼铸魂”为主题，持续推送盟市妇联“十百千万”北疆巾帼大宣讲中特色亮点，为庆祝中华人民共和国成立75周年，营造爱国奉献、团结奋进的浓厚社会氛围。今天，我们为大家推送的是包头市妇联采取“三融合”宣传宣讲模式，实现宣讲队伍融合、丰富优化内容形式，实现宣讲内容融合、线上线下齐发力，实现宣讲平台融合，全力打造“鹿城巾帼之声”宣讲品牌，让党的创新理论“宣”出特色，“声”入人心，引领鹿城妇女感党恩、听党话、跟党走。来源：来源：内蒙古自治区妇联宣传部 @包头女性  #坚定跟党奋进新征程 北疆巾帼建功新时代# 北疆巾帼铸魂之包头篇：让党的创新理论“宣”出特色、“声”入人心",0,0,1,,呼和浩特,内蒙古,中国
2,5049086726113604,北方47423,2024-06-25 09:39:06,首先，我们要深入学习党的创新理论，掌握其核心要义和精神实质。我们要认真学习新时代中国特色社会主义思想，把握新时代我国社会主要矛盾的变化，增强“四个意识”，坚定“四个自信”，做到“两个维护”。其次，我们要紧密结合工作实际，用党的创新理论指导实践。我们要围绕中心、服务大局，把党的创新理论转化为工作思路和具体措施，切实解决实际问题。在工作中，我们要坚持以人民为中心的发展思想，关注人民群众的利益和需求，为人民办实事。,0,0,0,福建,莆田,福建,中国
2,5049086048995005,东营政务,2024-06-25 09:36:24,市政府党组理论学习中心组举行集体学习 陈必昌主持      6月24日，市政府党组理论学习中心组举行集体学习，深入学习习近平总书记关于党的自我革命的重要思想、关于全面加强党的纪律建设的重要论述，深研细读新修订的《中国共产党纪律处分条例》（以下简称《条例》），紧密结合思想和工作实际，围绕党的“六项纪律”开展集中研讨。市委副书记、市长、市政府党组书记陈必昌主持会议。      会议指出，习近平总书记关于党的自我革命的重要思想、关于全面加强党的纪律建设的重要论述，为我们做好相关工作指明了努力方向、提供了根本遵循。市政府党组及成员要深入学习领会，树立更高标准，落实更严要求，以实际行动推动党纪学习教育高质量开展、全面从严治党向纵深发展。      会议强调，加强纪律建设，是党的光荣传统和独特优势，是全面从严治党的治本之策，是高水平现代化强市建设的坚强保障。要把学习贯彻习近平总书记的重要思想重要论述作为党纪学习教育的重要任务，原原本本学、融会贯通学、联系实际学，坚持与学习《条例》贯通起来，一体感悟、一体把握、一体贯彻，不断增强遵规守纪的政治自觉、思想自觉、行动自觉。要加强纪律约束和党性修养，以《条例》为准绳，从维护和尊崇党章抓起，严格遵守和执行党的各项纪律，强化政治纪律和组织纪律，带动廉洁纪律、群众纪律、工作纪律、生活纪律全面从严，切实做到守住底线、不踩红线、不碰高压线。要坚持两手抓两促进，把开展党纪学习教育和推动经济社会高质量发展结合起来，强化经济运行调度，加快构建现代化产业体系，培育发展新质生产力，高效统筹发展与安全，圆满完成各项任务。,0,0,0,,东营,山东,中国
2,5049069339415417,CEC中国电子,2024-06-25 08:30:00,【中国电子召开党组理论学习中心组（扩大）学习暨党纪学习教育读书班专题研讨会】6月21日，中国电子党组书记、董事长曾毅主持召开党组理论学习中心组（扩大）学习暨党纪学习教育读书班专题研讨会，集中观看了中组部组织制作的《党章电视辅导教材》第五集《党的纪律》，深入学习《中国共产党纪律处分条例》（以下简称《条例》），紧扣党的政治纪律、组织纪律、廉洁纪律、群众纪律、工作纪律和生活纪律“六大纪律”开展研讨。党组成员、纪检监察组组长耿道宽，党组成员、副总经理陆志鹏、刘眉玄、周进军、谢庆林，党组成员、总会计师宣寅飞参加会议。        曾毅指出，《条例》是推进党的自我革命、从严管党治党的重要基础性法规。中国电子各级党员领导干部要严格按照党中央、集团公司党组的统一部署，坚持问题导向、注重实际效果，带头学习、做出表率。党的“六大纪律”是《条例》的重要内容，开列了党规党纪的“负面清单”，划出了党组织和党员不可触碰的纪律“底线”。中国电子全体党员要坚持原原本本学、带着问题学、联系实际学，深学细悟《条例》内容，深化理解和运用党的“六大纪律”，切实增强政治定力、纪律定力、道德定力、抵腐定力，进一步筑牢“知敬畏”的思想根基。        曾毅强调，要真抓实学、善始善终、善作善成抓好党纪学习教育。中国电子各级党组织要持续学深悟透习近平总书记关于全面加强党的纪律建设的重要论述，坚决贯彻落实党纪学习教育各项部署任务，深刻理解党的纪律建设的总体要求，坚持将纪律处分条例作为学习重点内容，以严明的政治纪律和政治规矩，推进全系统党的纪律建设、全面从严治党向纵深发展。要结合学习《国有企业管理人员处分条例》，加强企业管理人员队伍建设，强化全面监督和内控管理，深入推进国企改革深化提升行动。要坚持学用结合，教育引导各级党员领导干部在坚定理想信念上持续用力，在增强宗旨意识上持续用力，在强化使命担当上持续用力，把党纪学习教育与本职工作结合起来，推动各项工作落到实处。要开好警示教育大会，对集团公司查处的典型案件进行通报，用身边事教育身边人，让党员干部知敬畏、存戒惧、守底线。       会上，中国电子党组理论学习中心组成员结合自身前期学习情况，围绕《条例》作了交流研讨发言。       集团公司科技委副主任，总部各部门主要负责人列席会议。,0,0,0,,武汉,湖北,中国
2,5049064808518576,文明延庆,2024-06-25 08:12:00,#文明延庆# 【区委理论学习中心组专题学习习近平经济思想】6月21日，区委理论学习中心组举行以“深入学习贯彻党的二十大和中央经济工作会议精神，全面贯彻落实习近平经济思想，加快新质生产力发展，为推动地区高质量绿色发展提供强大动能”为主题的学习（扩大）会议。区委书记于波，区委副书记、区长叶大华，区人大常委会主任吕桂富，区委副书记刘瑞成参加学习。会议首先播放了视频纪录片《加快形成新质生产力》，随后，邀请中央党校经济学部区域经济学教研室主任、教授、博士生导师施红，就“习近平经济思想”作专题辅导报告。专题辅导中，施红紧紧围绕习近平经济思想科学内涵，对为什么要发展、实现什么样的发展、怎样实现发展、怎样保证发展四个问题作了阐释，并着重讲解了什么是新质生产力、新质生产力的内涵与特征。辅导报告内容丰富、重点突出，既有理论高度，又有实践深度，为延庆区深入抓好习近平经济思想的学习贯彻拓展了思路、开阔了视野、提供了借鉴。于波强调，高质量发展是全面建设社会主义现代化国家的首要任务，发展是我们党执政兴国的第一要务。全区各单位、各部门、各级领导干部都要持续强化学习，进一步学懂弄通习近平经济思想蕴含的世界观和方法论，不断深化新时代做好经济工作的规律性认识，持续提升抓经济、促发展的能力和水平，切实成为领导和推动经济建设和高质量发展的行家里手，在推动京津冀协同发展走深走实、加快发展低空经济领域新质生产力、打造优化营商环境“北京服务”品牌、深入推进生态文明建设和绿色低碳发展等方面实现新增长、取得新突破，为首都高质量发展作出延庆贡献。会议以视频会议形式召开，区委、区人大常委会、区政府、区政协领导，区法院领导，以及各部门单位、街道乡镇、区属国有企业负责人等在主会场和视频分会场参加。会前，区委理论学习中心组成员还围绕学习主题充分开展个人自学，认真学习了习近平总书记关于推进中国式现代化的重要论述和习近平总书记关于推动高质量发展的重要论述，仔细研读了《习近平关于金融工作论述摘编》等权威书籍。,0,0,0,,北京,北京,中国
2,5049063829669892,安徽民政,2024-06-25 08:08:07,6月24日下午，省民政厅党组召开理论学习中心组（扩大）学习会议，集体学习了习近平总书记关于全面加强党的纪律建设的重要论述和在中共中央政治局第十四次集体学习时的重要讲话精神，传达了省委常委会会议暨省委全面依法治省委员会第七次会议精神，专门学习了《深入学习习近平关于民政工作的重要论述》《中国共产党纪律处分条例》部分章节以及《中国共产党党委（党组）理论学习中心组学习规则》，并围绕“六项纪律”开展研讨交流。厅党组书记、厅长余向东主持会议并讲话。详情请关注：网页链接,0,0,0,,合肥,安徽,中国
2,5049063342866566,眉山发布,2024-06-25 08:06:10,#眉山时政# 【胡元坤主持召开市委理论学习中心组（扩大）学习会强调丨自觉在学纪知纪明纪守纪上走在前做表率 以严明纪律推动全面从严治党向纵深发展】6月24日，市委理论学习中心组召开（扩大）学习会，深入学习领会习近平总书记关于全面加强党的纪律建设的重要论述，围绕党的政治纪律、组织纪律和生活纪律，开展党纪学习教育现场学习研讨，市委书记胡元坤主持集中研讨并谈认识体会。他强调，要深入学习贯彻习近平总书记重要论述，认真落实中央、省委部署要求，自觉在学纪、知纪、明纪、守纪上走在前、做表率，以严明纪律推动全面从严治党向纵深发展，为眉山现代化建设提供坚强纪律保障。网页链接,1,0,0,,眉山,四川,中国
